# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.425
metadata : {}


# id : NWRW1800000030.425.1.1
[수도권I] 성남은 지금, 게임산업의 메카로 변신중

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
성남은	성남/NNP+은/JX
지금,	지금/MAG+,/SP
게임산업의	게임/NNG+산업/NNG+의/JKG
메카로	메카/NNG+로/JKB
변신중	변신/NNG+중/NNB


# id : NWRW1800000030.425.2.1
•NHN·네오위즈에 이어 엔씨소프트 등도 입주 예정

•NHN·네오위즈에	•/SW+NHN/SL+·/SP+네오위즈/NNP+에/JKB
이어	잇/VV+어/EC
엔씨소프트	엔씨소프트/NNP
등도	등/NNB+도/JX
입주	입주/NNG
예정	예정/NNG


# id : NWRW1800000030.425.3.1
국내 메이저 온라인 및 모바일 게임업체들이 연이어 성남 판교와 분당으로 본사 이전을 결정하면서, 성남이 국내 게임산업의 중심지로 부상하고 있다.

국내	국내/NNG
메이저	메이저/NNG
온라인	온라인/NNG
및	및/MAG
모바일	모바일/NNG
게임업체들이	게임업체/NNG+들/XSN+이/JKS
연이어	연잇/VV+어/EC
성남	성남/NNP
판교와	판교/NNP+와/JC
분당으로	분당/NNP+으로/JKB
본사	본사/NNG
이전을	이전/NNG+을/JKO
결정하면서,	결정/NNG+하/XSV+면서/EC+,/SP
성남이	성남/NNP+이/JKS
게임산업의	게임/NNG+산업/NNG+의/JKG
중심지로	중심지/NNG+로/JKB
부상하고	부상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.425.4.1
성남 분당구에는 현재 축구 게임 '피파온라인'과 1인칭 슈팅게임 '스페셜포스' 등으로 유명한 네오위즈게임즈와 '한게임'의 NHN, 나우콤, 온네트 등 온라인 게임업체와 로드컴플릿 등 모바일 게임업체가 자리잡고 있다.

성남	성남/NNP
분당구에는	분당구/NNP+에/JKB+는/JX
현재	현재/MAG
축구	축구/NNG
게임	게임/NNG
'피파온라인'과	'/SS+피파온라인/NNP+'/SS+과/JC
1인칭	1/SN+인칭/NNG
슈팅게임	슈팅/NNG+게임/NNG
'스페셜포스'	'/SS+스페셜포스/NNP+'/SS
등으로	등/NNB+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
네오위즈게임즈와	네오위즈게임즈/NNP+와/JC
'한게임'의	'/SS+한게임/NNP+'/SS+의/JKG
NHN,	NHN/SL+,/SP
나우콤,	나우콤/NNP+,/SP
온네트	온네트/NNP
등	등/NNB
온라인	온라인/NNG
게임업체와	게임업체/NNG+와/JC
로드컴플릿	로드컴플릿/NNP
모바일	모바일/NNG
게임업체가	게임업체/NNG+가/JKS
자리잡고	자리/NNG+잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.425.4.2
또 2013년까지 판교테크노밸리에는 국내 게임시장 매출 1~2위인 넥슨과 엔씨소프트를 비롯해 스마일게이트, 웹젠, JCE, YNK코리아, 컴투스 등 모두 257개 기업이 입주할 예정이다.

또	또/MAG
2013년까지	2013/SN+년/NNB+까지/JX
판교테크노밸리에는	판교테크노밸리/NNP+에/JKB+는/JX
국내	국내/NNG
게임시장	게임/NNG+시장/NNG
매출	매출/NNG
1~2위인	1/SN+~/SO+2/SN+위/NNB+이/VCP+ㄴ/ETM
넥슨과	넥슨/NNP+과/JC
엔씨소프트를	엔씨소프트/NNP+를/JKO
비롯해	비롯하/VV+아/EC
스마일게이트,	스마일게이트/NNP+,/SP
웹젠,	웹젠/NNP+,/SP
JCE,	JCE/SL+,/SP
YNK코리아,	YNK코리아/NNP+,/SP
컴투스	컴투스/NNP
등	등/NNB
모두	모두/MAG
257개	257/SN+개/NNB
기업이	기업/NNG+이/JKS
입주할	입주/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.425.4.3
분당에 사옥을 둔 게임업계 3~4위인 네오위즈게임즈와 NHN도 판교테크노밸리에 사업장을 신설할 계획이다.

분당에	분당/NNP+에/JKB
사옥을	사옥/NNG+을/JKO
둔	두/VV+ㄴ/ETM
게임업계	게임업/NNG+계/XSN
3~4위인	3/SN+~/SO+4/SN+위/NNB+이/VCP+ㄴ/ETM
네오위즈게임즈와	네오위즈게임즈/NNP+와/JC
NHN도	NHN/SL+도/JX
판교테크노밸리에	판교테크노밸리/NNP+에/JKB
사업장을	사업장/NNG+을/JKO
신설할	신설/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.425.4.4
이에 따라 2013년에는 성남지역의 게임 산업 매출이 국내 게임시장 전체 규모의 48%인 2조7000억원에 육박할 것이라는 장밋빛 전망도 나오고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
2013년에는	2013/SN+년/NNB+에/JKB+는/JX
성남지역의	성남지역/NNP+의/JKG
게임	게임/NNG
산업	산업/NNG
매출이	매출/NNG+이/JKS
국내	국내/NNG
게임시장	게임/NNG+시장/NNG
전체	전체/NNG
규모의	규모/NNG+의/JKG
48%인	48/SN+%/SW+이/VCP+ㄴ/ETM
2조7000억원에	2/SN+조/NR+7000/SN+억/NR+원/NNB+에/JKB
육박할	육박/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
장밋빛	장밋빛/NNG
전망도	전망/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.425.4.5
또 게임관련 기업만 200개가 넘고, 고용인원도 1만여명으로 증가하는 등 명실상부한 대한민국 게임산업의 메카로 자리잡게 된다.

또	또/MAG
게임관련	게임/NNG+관련/NNG
기업만	기업/NNG+만/JX
200개가	200/SN+개/NNB+가/JKS
넘고,	넘/VV+고/EC+,/SP
고용인원도	고용/NNG+인원/NNG+도/JX
1만여명으로	1/SN+만/NR+여/XSN+명/NNB+으로/JKB
증가하는	증가/NNG+하/XSV+는/ETM
등	등/NNB
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
대한민국	대한민국/NNP
게임산업의	게임/NNG+산업/NNG+의/JKG
메카로	메카/NNG+로/JKB
자리잡게	자리/NNG+잡/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.425.5.1
성남시는 이런 변화에 발맞춰 게임산업에 대한 다양한 정책개발 및 지원사업 발굴에 적극 나서기로 했다.

성남시는	성남시/NNP+는/JX
이런	이런/MMD
변화에	변화/NNG+에/JKB
발맞춰	발맞추/VV+어/EC
게임산업에	게임/NNG+산업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
정책개발	정책/NNG+개발/NNG
및	및/MAG
지원사업	지원/NNG+사업/NNG
발굴에	발굴/NNG+에/JKB
적극	적극/NNG
나서기로	나서/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.425.5.2
지난 8일에는 국내 우량게임업체 대표들을 초청해 정책간담회를 개최했다.

지난	지나/VV+ㄴ/ETM
8일에는	8/SN+일/NNB+에/JKB+는/JX
국내	국내/NNG
우량게임업체	우량/NNG+게임업체/NNG
대표들을	대표/NNG+들/XSN+을/JKO
초청해	초청/NNG+하/XSV+아/EC
정책간담회를	정책/NNG+간담회/NNG+를/JKO
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.425.5.3
간담회에는 국내 게임산업을 선도하고 있는 NHN, 나우콤, 웹젠, YNK코리아 등 판교테크노밸리에 입주했거나 입주예정인 10여개 기업 대표자들이 참석했다.

간담회에는	간담회/NNG+에/JKB+는/JX
국내	국내/NNG
게임산업을	게임/NNG+산업/NNG+을/JKO
선도하고	선도/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
NHN,	NHN/SL+,/SP
나우콤,	나우콤/NNP+,/SP
웹젠,	웹젠/NNP+,/SP
YNK코리아	YNK코리아/NNP
등	등/NNB
판교테크노밸리에	판교테크노밸리/NNP+에/JKB
입주했거나	입주/NNG+하/XSV+았/EP+거나/EC
입주예정인	입주/NNG+예정/NNG+이/VCP+ㄴ/ETM
10여개	10/SN+여/XSN+개/NNB
기업	기업/NNG
대표자들이	대표자/NNG+들/XSN+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.425.5.4
간담회에서 참석기업 대표들은 시가 게임산업을 전략산업으로 집중육성하고 있는 점을 높이 평가했다.

간담회에서	간담회/NNG+에서/JKB
참석기업	참석/NNG+기업/NNG
대표들은	대표/NNG+들/XSN+은/JX
시가	시/NNG+가/JKS
게임산업을	게임/NNG+산업/NNG+을/JKO
전략산업으로	전략/NNG+산업/NNG+으로/JKB
집중육성하고	집중/NNG+육성/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
점을	점/NNG+을/JKO
높이	높이/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.425.5.5
앞으로 시는 이들 기업과 함께 공동 인력양성 프로그램을 운영하고, 게임산업 발전기반 조성, '성남게임콘텐츠산업발전협의회' 구성 등을 추진하기로 합의했다.

앞으로	앞/NNG+으로/JKB
시는	시/NNG+는/JX
이들	이/NP+들/XSN
기업과	기업/NNG+과/JKB
함께	함께/MAG
공동	공동/NNG
인력양성	인력/NNG+양성/NNG
프로그램을	프로그램/NNG+을/JKO
운영하고,	운영/NNG+하/XSV+고/EC+,/SP
게임산업	게임/NNG+산업/NNG
발전기반	발전/NNG+기반/NNG
조성,	조성/NNG+,/SP
'성남게임콘텐츠산업발전협의회'	'/SS+성남게임콘텐츠산업발전협의회/NNP+'/SS
구성	구성/NNG
등을	등/NNB+을/JKO
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.425.6.1
시는 내년부터 게임기업의 인력난 해소를 위해 시가 교육공간을 지원하고 기업이 교육프로그램을 개발하는 방식의 일자리 창출 프로그램도 운영할 계획이다.

시는	시/NNG+는/JX
내년부터	내년/NNG+부터/JX
게임기업의	게임/NNG+기업/NNG+의/JKG
인력난	인력난/NNG
해소를	해소/NNG+를/JKO
위해	위하/VV+아/EC
시가	시/NNG+가/JKS
교육공간을	교육/NNG+공간/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
기업이	기업/NNG+이/JKS
교육프로그램을	교육/NNG+프로그램/NNG+을/JKO
개발하는	개발/NNG+하/XSV+는/ETM
방식의	방식/NNG+의/JKG
일자리	일자리/NNG
창출	창출/NNG
프로그램도	프로그램/NNG+도/JX
운영할	운영/NNG+하/XSV+ㄹ/ETM
