# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.272
metadata : {}


# id : NWRW1800000036.272.1.1
“이중간첩 누명, 사법부가 역할 못해 죄송합니다”

“이중간첩	“/SS+이중간첩/NNG
누명,	누명/NNG+,/SP
사법부가	사법부/NNG+가/JKS
역할	역할/NNG
못해	못/MAG+하/XSV+아/EC
죄송합니다”	죄송하/VA+ㅂ니다/EF+”/SS


# id : NWRW1800000036.272.2.1
[한겨레] 51년전 사형당한 심문규씨 재심

[한겨레]	[/SS+한겨레/NNP+]/SS
51년전	51/SN+년/NNB+전/NNG
사형당한	사형/NNG+당하/XSV+ㄴ/ETM
심문규씨	심문규/NNP+씨/NNB
재심	재심/NNG


# id : NWRW1800000036.272.3.1
재판부, 무죄 선고하며 사과뜻

재판부,	재판부/NNG+,/SP
무죄	무죄/NNG
선고하며	선고/NNG+하/XSV+며/EC
사과뜻	사과/NNG+뜻/NNG


# id : NWRW1800000036.272.4.1
“사법부가 본연의 역할을 다하지 못한 점에 대해 죄송함과 안타까움을 가지지 않을 수 없습니다.”

“사법부가	“/SS+사법부/NNG+가/JKS
본연의	본연/NNG+의/JKG
역할을	역할/NNG+을/JKO
다하지	다/MAG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
점에	점/NNG+에/JKB
대해	대하/VV+아/EC
죄송함과	죄송하/VA+ㅁ/ETN+과/JC
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
가지지	가지/VV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없습니다.”	없/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000036.272.5.1
22일 오전 서울중앙지법 502호 법정에서 열린 재판에서 재판부는 이중간첩의 누명을 쓰고 51년 전 형장의 이슬로 사라진 북파공작원 심문규(당시 36살)씨의 유족에게 정중한 사과를 했다.

22일	22/SN+일/NNB
오전	오전/NNG
서울중앙지법	서울중앙지법/NNP
502호	502/SN+호/NNB
법정에서	법정/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
재판에서	재판/NNG+에서/JKB
재판부는	재판부/NNG+는/JX
이중간첩의	이중간첩/NNG+의/JKG
누명을	누명/NNG+을/JKO
쓰고	쓰/VV+고/EC
51년	51/SN+년/NNB
전	전/NNG
형장의	형장/NNG+의/JKG
이슬로	이슬/NNG+로/JKB
사라진	사라지/VV+ㄴ/ETM
북파공작원	북파/NNG+공작원/NNG
심문규(당시	심문규/NNP+(/SS+당시/NNG
36살)씨의	36/SN+살/NNB+)/SS+씨/NNB+의/JKG
유족에게	유족/NNG+에게/JKB
정중한	정중하/VA+ㄴ/ETM
사과를	사과/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.272.5.2
서울중앙지법 형사21부(재판장 이원범)가 심씨의 재심 재판에서 무죄를 선고하는 자리였다.

서울중앙지법	서울중앙지법/NNP
형사21부(재판장	형사/NNG+21/SN+부/NNG+(/SS+재판장/NNG
이원범)가	이원범/NNP+)/SS+가/JKS
심씨의	심/NNP+씨/NNB+의/JKG
재심	재심/NNG
재판에서	재판/NNG+에서/JKB
무죄를	무죄/NNG+를/JKO
선고하는	선고/NNG+하/XSV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.272.6.1
심씨는 한국전쟁 직후인 1955년 북파돼 임무를 수행하다, 북한군에 붙잡혀 1년7개월 동안 대남간첩 교육을 받고 1957년 남파됐다.

심씨는	심/NNP+씨/NNB+는/JX
한국전쟁	한국/NNP+전쟁/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
1955년	1955/SN+년/NNB
북파돼	북파/NNG+되/XSV+어/EC
임무를	임무/NNG+를/JKO
수행하다,	수행/NNG+하/XSV+다/EC+,/SP
북한군에	북한군/NNG+에/JKB
붙잡혀	붙잡히/VV+어/EC
1년7개월	1/SN+년/NNB+7/SN+개월/NNB
동안	동안/NNG
대남간첩	대남/NNG+간첩/NNG
교육을	교육/NNG+을/JKO
받고	받/VV+고/EC
1957년	1957/SN+년/NNB
남파됐다.	남파/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.272.6.2
심씨는 서울에 도착하자마자 자수했지만 민간인에 대한 수사권이 없는 육군첩보부대는 심씨를 563일 동안 구금하면서 북한 관련 정보를 캐는 데 이용했다.

심씨는	심/NNP+씨/NNB+는/JX
서울에	서울/NNP+에/JKB
도착하자마자	도착/NNG+하/XSV+자마자/EC
자수했지만	자수/NNG+하/XSV+았/EP+지만/EC
민간인에	민간인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수사권이	수사/NNG+권/XSN+이/JKS
없는	없/VA+는/ETM
육군첩보부대는	육군첩보부대/NNP+는/JX
심씨를	심/NNP+씨/NNB+를/JKO
563일	563/SN+일/NNB
동안	동안/NNG
구금하면서	구금/NNG+하/XSV+면서/EC
북한	북한/NNP
관련	관련/NNG
정보를	정보/NNG+를/JKO
캐는	캐/VV+는/ETM
데	데/NNB
이용했다.	이용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.272.6.3
그 뒤 심씨는 중앙고등군법회의에서 위장자수한 이중간첩이라는 혐의(국방경비법 위반)를 뒤집어쓰고 사형을 선고받아 1961년 처형당했다.

그	그/MMD
뒤	뒤/NNG
심씨는	심/NNP+씨/NNB+는/JX
중앙고등군법회의에서	중앙/NNG+고등/NNG+군법/NNG+회의/NNG+에서/JKB
위장자수한	위장/NNG+자수/NNG+하/XSV+ㄴ/ETM
이중간첩이라는	이중간첩/NNG+이/VCP+라는/ETM
혐의(국방경비법	혐의/NNG+(/SS+국방/NNG+경비법/NNG
위반)를	위반/NNG+)/SS+를/JKO
뒤집어쓰고	뒤집어쓰/VV+고/EC
사형을	사형/NNG+을/JKO
