# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.118
metadata : {}


# id : NWRW1800000041.118.1.1
[책의 향기/글로벌 북 카페]중국 前외교부장 리자오싱의 ‘이루 다 말할 수 없는 외교’

[책의	[/SS+책/NNG+의/JKG
향기/글로벌	향기/NNG+//SP+글로벌/NNG
북	북/NNG
카페]중국	카페/NNG+]/SS+중국/NNP
前외교부장	前/SH+외교부장/NNG
리자오싱의	리자오싱/NNP+의/JKG
‘이루	‘/SS+이루/MAG
다	다/MAG
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
외교’	외교/NNG+’/SS


# id : NWRW1800000041.118.2.1
키신저와 우정 쌓고 백남순과 말다툼… 하루 저녁식사 여섯 차례 참석하기도

키신저와	키신저/NNP+와/JKB
우정	우정/NNG
쌓고	쌓/VV+고/EC
백남순과	백남순/NNP+과/JKB
말다툼…	말다툼/NNG+…/SE
하루	하루/NNG
저녁식사	저녁/NNG+식사/NNG
여섯	여섯/NR
차례	차례/NNG
참석하기도	참석/NNG+하/XSV+기/ETN+도/JX


# id : NWRW1800000041.118.3.1
지난해 말 중국 서가에 꽂힌 ‘이루 다 말할 수 없는 외교(說不盡的外交)’는 좀처럼 드러나지 않은 중국 외교의 속살을 노출한다.

지난해	지난해/NNG
말	말/NNB
중국	중국/NNP
서가에	서가/NNG+에/JKB
꽂힌	꽂히/VV+ㄴ/ETM
‘이루	‘/SS+이루/MAG
다	다/MAG
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
외교(說不盡的外交)’는	외교/NNG+(/SS+說不盡的外交/SH+)/SS+’/SS+는/JX
좀처럼	좀처럼/MAG
드러나지	드러나/VV+지/EC
않은	않/VX+은/ETM
외교의	외교/NNG+의/JKG
속살을	속살/NNG+을/JKO
노출한다.	노출/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.118.3.2
저자는 리자오싱(李肇星·73) 전 중국 외교부장.

저자는	저자/NNG+는/JX
리자오싱(李肇星·73)	리자오싱/NNP+(/SS+李肇星/SH+·/SP+73/SN+)/SS
전	전/MMD
중국	중국/NNP
외교부장.	외교부장/NNG+./SF


# id : NWRW1800000041.118.3.3
주유엔 대사와 주미 대사를 포함해 37년간 외교관으로 겪은 다양한 경험을 담은 책이다.

주유엔	주유엔/NNG
대사와	대사/NNG+와/JC
주미	주미/NNG
대사를	대사/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
37년간	37/SN+년/NNB+간/XSN
외교관으로	외교관/NNG+으로/JKB
겪은	겪/VV+은/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
경험을	경험/NNG+을/JKO
담은	담/VV+은/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.118.3.4
17세나 많은 헨리 키신저 전 미국 국무장관(90)과의 우정 등 개인적 이야기뿐 아니라 1999년 북대서양조약기구(NATO·나토)의 주유고 중국대사관 폭격, 중국과 소련 간 국경분쟁 같은 중대사건에서 중국의 정책결정 과정도 담았다.

17세나	17/SN+세/NNB+나/JX
많은	많/VA+은/ETM
헨리	헨리/NNP
키신저	키신저/NNP
전	전/MMD
미국	미국/NNP
국무장관(90)과의	국무/NNG+장관/NNG+(/SS+90/SN+)/SS+과/JKB+의/JKG
우정	우정/NNG
등	등/NNB
개인적	개인/NNG+적/XSN
이야기뿐	이야기/NNG+뿐/JX
아니라	아니/VCN+라/EC
1999년	1999/SN+년/NNB
북대서양조약기구(NATO·나토)의	북대서양조약기구/NNP+(/SS+NATO/SL+·/SP+나토/NNP+)/SS+의/JKG
주유고	주유고/NNG
중국대사관	중국/NNP+대사관/NNG
폭격,	폭격/NNG+,/SP
중국과	중국/NNP+과/JC
소련	소련/NNP
간	간/NNB
국경분쟁	국경/NNG+분쟁/NNG
같은	같/VA+은/ETM
중대사건에서	중대/NNG+사건/NNG+에서/JKB
중국의	중국/NNP+의/JKG
정책결정	정책/NNG+결정/NNG
과정도	과정/NNG+도/JX
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.118.4.1
이 책은 크게 6개 분야로 나뉜다.

이	이/MMD
책은	책/NNG+은/JX
크게	크/VA+게/EC
6개	6/SN+개/NNB
분야로	분야/NNG+로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.118.4.2
첫 분야는 미국 러시아 프랑스 영국과의 외교를 다룬 ‘대국의 옛일(大國往事)’이다.

첫	첫/MMN
분야는	분야/NNG+는/JX
미국	미국/NNP
러시아	러시아/NNP
프랑스	프랑스/NNP
영국과의	영국/NNP+과/JKB+의/JKG
외교를	외교/NNG+를/JKO
다룬	다루/VV+ㄴ/ETM
‘대국의	‘/SS+대국/NNG+의/JKG
옛일(大國往事)’이다.	옛일/NNG+(/SS+大國往事/SH+)/SS+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.118.4.3
중국은 이처럼 국가들을 대국과 소국으로 대놓고 나눈다.

중국은	중국/NNP+은/JX
이처럼	이/NP+처럼/JKB
국가들을	국가/NNG+들/XSN+을/JKO
대국과	대국/NNG+과/JC
소국으로	소국/NNG+으로/JKB
대놓고	대놓고/MAG
나눈다.	나누/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.118.4.4
특히 대국 중에서도 미국에 대해서만 60쪽 가까운 상당한 분량을 할애해 서술했다.

특히	특히/MAG
대국	대국/NNG
중에서도	중/NNB+에서/JKB+도/JX
미국에	미국/NNP+에/JKB
대해서만	대하/VV+아서/EC+만/JX
60쪽	60/SN+쪽/NNG
가까운	가깝/VA+ㄴ/ETM
상당한	상당/NNG+하/XSA+ㄴ/ETM
분량을	분량/NNG+을/JKO
할애해	할애/NNG+하/XSV+아/EC
서술했다.	서술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.118.4.5
저자가 중국의 대표적인 미국통이기 때문이지만 세계 주요 2개국(G2)으로 미국과 어깨를 나란히 하고 있다는 자신감을 보여준다.

저자가	저자/NNG+가/JKS
중국의	중국/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
미국통이기	미국통/NNG+이/VCP+기/ETN
때문이지만	때문/NNB+이/VCP+지만/EC
세계	세계/NNG
주요	주요/NNG
2개국(G2)으로	2/SN+개국/NNB+(/SS+G/SL+2/SN+)/SS+으로/JKB
미국과	미국/NNP+과/JKB
어깨를	어깨/NNG+를/JKO
나란히	나란히/MAG
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
자신감을	자신감/NNG+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.118.5.1
또 이웃나라와의 관계를 기록한 ‘먼 친척이 가까운 이웃만 못하다(遠親不如近(린,인))’ 분야도 있다.

또	또/MAG
이웃나라와의	이웃/NNG+나라/NNG+와/JKB+의/JKG
관계를	관계/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
‘먼	‘/SS+멀/VA+ㄴ/ETM
친척이	친척/NNG+이/JKS
가까운	가깝/VA+ㄴ/ETM
이웃만	이웃/NNG+만/JX
못하다(遠親不如近(린,인))’	못/MAG+하/XSA+다/EF+(/SS+遠親不如近/SH+(/SS+린/NNG+,/SP+인/NNG+)/SS+)/SS+’/SS
분야도	분야/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.118.5.2
한국은 거론하지 않았으나 조선(북한)에 관한 내용은 눈길을 끈다.

한국은	한국/NNP+은/JX
거론하지	거론/NNG+하/XSV+지/EC
않았으나	않/VX+았/EP+으나/EC
조선(북한)에	조선/NNP+(/SS+북한/NNP+)/SS+에/JKB
관한	관하/VV+ㄴ/ETM
내용은	내용/NNG+은/JX
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.118.5.3
저자는 이 책에서 1963년 베이징(北京)대 3학년 학생일 때 유학 온 강석주 북한 내각 부총리와 2인 1실로 같은 방을 썼다고 밝혔다.

저자는	저자/NNG+는/JX
이	이/MMD
책에서	책/NNG+에서/JKB
1963년	1963/SN+년/NNB
베이징(北京)대	베이징/NNP+(/SS+北京/SH+)/SS+대/NNG
3학년	3/SN+학년/NNG
학생일	학생/NNG+이/VCP+ㄹ/ETM
때	때/NNG
유학	유학/NNG
온	오/VV+ㄴ/ETM
강석주	강석주/NNP
북한	북한/NNP
내각	내각/NNG
부총리와	부총리/NNG+와/JC
2인	2/SN+인/NNG
1실로	1/SN+실/NNB+로/JKB
같은	같/VA+은/ETM
방을	방/NNG+을/JKO
썼다고	쓰/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.118.5.4
강 부총리에게 영어를 가르치며 두터운 우정을 쌓았고 이후 각각 중국 외교부장과 북한 외무성 제1부상으로 서로를 상대할 때도 우정을 되새기는 에피소드가 적잖다.

강	강/NNP
부총리에게	부총리/NNG+에게/JKB
영어를	영어/NNP+를/JKO
가르치며	가르치/VV+며/EC
