# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.74
metadata : {}


# id : NWRW1800000029.74.1.1
삼성전자, ‘어닝 쇼크’는 없다

삼성전자,	삼성전자/NNP+,/SP
‘어닝	‘/SS+어닝/NNG
쇼크’는	쇼크/NNG+’/SS+는/JX
없다	없/VA+다/EF


# id : NWRW1800000029.74.2.1
3분기 영업이익 최대 3조5000억 원 추정

3분기	3/SN+분기/NNG
영업이익	영업/NNG+이익/NNG
최대	최대/NNG
3조5000억	3/SN+조/NR+5000/SN+억/NR
원	원/NNB
추정	추정/NNG


# id : NWRW1800000029.74.3.1
어닝 시즌… 실적 급락 개연성 적어

어닝	어닝/NNG
시즌…	시즌/NNG+…/SE
실적	실적/NNG
급락	급락/NNG
개연성	개연/NNG+성/XSN
적어	적/VA+어/EF


# id : NWRW1800000029.74.4.1
7일 삼성전자의 3분기 잠정실적 발표를 시작으로 본격적인 ‘어닝 시즌’이 열린다.

7일	7/SN+일/NNB
삼성전자의	삼성전자/NNP+의/JKG
3분기	3/SN+분기/NNG
잠정실적	잠정/NNG+실적/NNG
발표를	발표/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
‘어닝	‘/SS+어닝/NNG
시즌’이	시즌/NNG+’/SS+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.74.4.2
2분기보다는 실적이 나빠지겠지만 시장이 우려하는 ‘어닝 쇼크(기대 이하의 실적 발표)’는 없을 것으로 증권 전문가들은 추정하고 있다.

2분기보다는	2/SN+분기/NNG+보다/JKB+는/JX
실적이	실적/NNG+이/JKS
나빠지겠지만	나빠지/VV+겠/EP+지만/EC
시장이	시장/NNG+이/JKS
우려하는	우려/NNG+하/XSV+는/ETM
‘어닝	‘/SS+어닝/NNG
쇼크(기대	쇼크/NNG+(/SS+기대/NNG
이하의	이하/NNG+의/JKG
실적	실적/NNG
발표)’는	발표/NNG+)/SS+’/SS+는/JX
없을	없/VA+을/ETM
