# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.9
metadata : {}


# id : NWRW1800000046.9.1.1
[월드 톡톡] 이슬람 못지않은 유대교의 '男女有別'

[월드	[/SS+월드/NNG
톡톡]	톡톡/MAG+]/SS
이슬람	이슬람/NNG
못지않은	못지않/VA+은/ETM
유대교의	유대교/NNG+의/JKG
'男女有別'	'/SS+男女有別/SH+'/SS


# id : NWRW1800000046.9.2.1
초정통파 '하레디' 일간지, '파리 테러' 규탄 행렬 사진 메르켈 등 女정상 삭제·편집

초정통파	초/XPN+정통파/NNG
'하레디'	'/SS+하레디/NNP+'/SS
일간지,	일간지/NNG+,/SP
'파리	'/SS+파리/NNP
테러'	테러/NNG+'/SS
규탄	규탄/NNG
행렬	행렬/NNG
사진	사진/NNG
메르켈	메르켈/NNP
등	등/NNB
女정상	女/SH+정상/NNG
삭제·편집	삭제/NNG+·/SP+편집/NNG


# id : NWRW1800000046.9.3.1
이슬람 원리주의자들은 종종 지나친 남녀유별 문화 등 비현실적 행태로 비판받는다.

이슬람	이슬람/NNG
원리주의자들은	원리주의자/NNG+들/XSN+은/JX
종종	종종/MAG
지나친	지나치/VA+ㄴ/ETM
남녀유별	남녀유별/NNG
문화	문화/NNG
등	등/NNB
비현실적	비/XPN+현실/NNG+적/XSN
행태로	행태/NNG+로/JKB
비판받는다.	비판/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000046.9.3.2
하지만 이스라엘에서 가장 보수적인 유대교 신자 '하레디'도 이에 못지않다.

하지만	하지만/MAJ
이스라엘에서	이스라엘/NNP+에서/JKB
가장	가장/MAG
보수적인	보수/NNG+적/XSN+이/VCP+ㄴ/ETM
유대교	유대교/NNG
신자	신자/NNG
'하레디'도	'/SS+하레디/NNP+'/SS+도/JX
이에	이/NP+에/JKB
못지않다.	못지않/VA+다/EF+./SF


# id : NWRW1800000046.9.4.1
하레디 측이 발행하는 일간 '하 메바세르'는 12일자로 전날 파리의 '샤를리 에브도 테러' 규탄 행렬 사진을 보도하면서, 앙겔라 메르켈 독일 총리 등 그 사진 속에 원래 있던 여성들을 삭제·편집해 논란을 빚었다.

하레디	하레디/NNP
측이	측/NNB+이/JKS
발행하는	발행/NNG+하/XSV+는/ETM
일간	일간/NNG
'하	'/SS+하/NNP
메바세르'는	메바세르/NNP+'/SS+는/JX
12일자로	12/SN+일/NNB+자/NNG+로/JKB
전날	전날/NNG
파리의	파리/NNP+의/JKG
'샤를리	'/SS+샤를리/NNP
에브도	에브도/NNP
테러'	테러/NNG+'/SS
규탄	규탄/NNG
행렬	행렬/NNG
사진을	사진/NNG+을/JKO
보도하면서,	보도/NNG+하/XSV+면서/EC+,/SP
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
독일	독일/NNP
총리	총리/NNG
등	등/NNB
그	그/MMD
사진	사진/NNG
속에	속/NNG+에/JKB
원래	원래/MAG
있던	있/VA+던/ETM
여성들을	여성/NNG+들/XSN+을/JKO
삭제·편집해	삭제/NNG+·/SP+편집/NNG+하/XSV+아/EC
논란을	논란/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.9.4.2
그날 행렬은 메르켈 총리, 안 이달고 파리 시장 등 여성 지도자들이 프랑수아 올랑드 프랑스 대통령과 같은 열에 나란히 선 채 진행됐다.

그날	그날/NNG
행렬은	행렬/NNG+은/JX
메르켈	메르켈/NNP
총리,	총리/NNG+,/SP
안	안/NNP
이달고	이달고/NNP
파리	파리/NNP
시장	시장/NNG
등	등/NNB
여성	여성/NNG
지도자들이	지도자/NNG+들/XSN+이/JKS
프랑수아	프랑수아/NNP
올랑드	올랑드/NNP
프랑스	프랑스/NNP
대통령과	대통령/NNG+과/JKB
같은	같/VA+은/ETM
열에	열/NNG+에/JKB
나란히	나란히/MAG
선	서/VV+ㄴ/ETM
채	채/NNB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.9.4.3
모든 언론이 이 같은 현장의 모습을 그대로 담아 보도했다.

모든	모든/MMN
언론이	언론/NNG+이/JKS
이	이/NP
같은	같/VA+은/ETM
현장의	현장/NNG+의/JKG
모습을	모습/NNG+을/JKO
그대로	그대로/MAG
담아	담/VV+아/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


