# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.102
metadata : {}


# id : NWRW1800000049.102.1.1
백남준 10주기… 추억의 퍼포먼스 재연

백남준	백남준/NNP
10주기…	10/SN+주기/NNG+…/SE
추억의	추억/NNG+의/JKG
퍼포먼스	퍼포먼스/NNG
재연	재연/NNG


# id : NWRW1800000049.102.2.1
갤러리현대 4월 3일까지 추모전… ‘TV로봇 시리즈’ 등 40여점 전시

갤러리현대	갤러리현대/NNP
4월	4/SN+월/NNB
3일까지	3/SN+일/NNB+까지/JX
추모전…	추모전/NNG+…/SE
‘TV로봇	‘/SS+TV/SL+로봇/NNG
시리즈’	시리즈/NNG+’/SS
등	등/NNB
40여점	40/SN+여/XSN+점/NNB
전시	전시/NNG


# id : NWRW1800000049.102.3.1
물방울 그림으로 유명한 김창열 화백(87)이 28일 오후 줄로 묶은 바이올린을 서울 종로구 삼청로 길바닥에서 질질 끌었다.

물방울	물방울/NNG
그림으로	그림/NNG+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
김창열	김창열/NNP
화백(87)이	화백/NNG+(/SS+87/SN+)/SS+이/JKS
28일	28/SN+일/NNB
오후	오후/NNG
줄로	줄/NNG+로/JKB
묶은	묶/VV+은/ETM
바이올린을	바이올린/NNG+을/JKO
서울	서울/NNP
종로구	종로구/NNP
삼청로	삼청로/NNP
길바닥에서	길바닥/NNG+에서/JKB
질질	질질/MAG
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.102.3.2
이윽고 갤러리현대 건물 안으로 들어간 그는 바이올린을 책상에 내리쳐 단숨에 박살냈다.

이윽고	이윽고/MAG
갤러리현대	갤러리현대/NNP
건물	건물/NNG
안으로	안/NNG+으로/JKB
들어간	들어가/VV+ㄴ/ETM
그는	그/NP+는/JX
바이올린을	바이올린/NNG+을/JKO
책상에	책상/NNG+에/JKB
내리쳐	내리치/VV+어/EC
단숨에	단숨에/MAG
박살냈다.	박살/NNG+내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.102.3.3
비디오아트를 창시한 백남준(1932∼2006)이 1962, 1963년 벌인 퍼포먼스 ‘걸음을 위한 선’ ‘바이올린 독주’를 재연한 것.

비디오아트를	비디오아트/NNG+를/JKO
창시한	창시/NNG+하/XSV+ㄴ/ETM
백남준(1932∼2006)이	백남준/NNP+(/SS+1932/SN+∼/SO+2006/SN+)/SS+이/JKS
1962,	1962/SN+,/SP
1963년	1963/SN+년/NNB
벌인	벌이/VV+ㄴ/ETM
퍼포먼스	퍼포먼스/NNG
‘걸음을	‘/SS+걸음/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
선’	선/NNG+’/SS
‘바이올린	‘/SS+바이올린/NNG
독주’를	독주/NNG+’/SS+를/JKO
재연한	재연/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000049.102.3.4
김 화백은 백남준이 프랑스 파리에서 활동할 당시부터 그와 가깝게 지냈다.

김	김/NNP
화백은	화백/NNG+은/JX
백남준이	백남준/NNP+이/JKS
프랑스	프랑스/NNP
파리에서	파리/NNP+에서/JKB
활동할	활동/NNG+하/XSV+ㄹ/ETM
당시부터	당시/NNG+부터/JX
그와	그/NP+와/JKB
가깝게	가깝/VA+게/EC
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.102.4.1
백남준이 세상을 뜬 지 29일로 10년이다.

백남준이	백남준/NNP+이/JKS
세상을	세상/NNG+을/JKO
뜬	뜨/VV+ㄴ/ETM
지	지/NNB
29일로	29/SN+일/NNB+로/JKB
10년이다.	10/SN+년/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.102.4.2
갤러리현대는 4월 3일까지 추모 전시 ‘백남준, 서울에서’를 연다.

갤러리현대는	갤러리현대/NNP+는/JX
4월	4/SN+월/NNB
3일까지	3/SN+일/NNB+까지/JX
추모	추모/NNG
전시	전시/NNG
‘백남준,	‘/SS+백남준/NNP+,/SP
서울에서’를	서울/NNP+에서/JKB+’/SS+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.102.4.3
그의 대표작인 ‘TV로봇 시리즈’를 비롯해 비디오 조각 및 평면 작품 40여 점을 전시한다.

그의	그/NP+의/JKG
대표작인	대표작/NNG+이/VCP+ㄴ/ETM
‘TV로봇	‘/SS+TV/SL+로봇/NNG
시리즈’를	시리즈/NNG+’/SS+를/JKO
비롯해	비롯하/VV+아/EC
비디오	비디오/NNG
조각	조각/NNG
및	및/MAG
평면	평면/NNG
작품	작품/NNG
40여	40/SN+여/XSN
점을	점/NNB+을/JKO
전시한다.	전시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.102.5.1
백남준이 1990년 7월 갤러리현대 뒷마당에서 벌인 진혼굿 퍼포먼스 ‘늑대 걸음으로’에서 사용했던 제기(祭器), 옷, 갓, 곰방대, 삽 등 소품들이 26년 만에 영상 기록과 함께 전시돼 주목된다.

백남준이	백남준/NNP+이/JKS
1990년	1990/SN+년/NNB
7월	7/SN+월/NNB
갤러리현대	갤러리현대/NNP
뒷마당에서	뒷마당/NNG+에서/JKB
벌인	벌이/VV+ㄴ/ETM
진혼굿	진혼굿/NNG
퍼포먼스	퍼포먼스/NNG
‘늑대	‘/SS+늑대/NNG
걸음으로’에서	걸음/NNG+으로/JKB+’/SS+에서/JKB
사용했던	사용/NNG+하/XSV+았/EP+던/ETM
제기(祭器),	제기/NNG+(/SS+祭器/SH+)/SS+,/SP
옷,	옷/NNG+,/SP
갓,	갓/NNG+,/SP
곰방대,	곰방대/NNG+,/SP
삽	삽/NNG
등	등/NNB
소품들이	소품/NNG+들/XSN+이/JKS
26년	26/SN+년/NNB
만에	만/NNB+에/JKB
영상	영상/NNG
기록과	기록/NNG+과/JKB
함께	함께/MAG
전시돼	전시/NNG+되/XSV+어/EC
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.102.5.2
그는 우연성을 중시한 플럭서스(Fluxus·전위예술운동)를 함께 전개했던 요제프 보이스를 추모하기 위한 퍼포먼스를 벌였다.

그는	그/NP+는/JX
우연성을	우연/NNG+성/XSN+을/JKO
중시한	중시/NNG+하/XSV+ㄴ/ETM
플럭서스(Fluxus·전위예술운동)를	플럭서스/NNG+(/SS+Fluxus/SL+·/SP+전위/NNG+예술/NNG+운동/NNG+)/SS+를/JKO
함께	함께/MAG
전개했던	전개/NNG+하/XSV+았/EP+던/ETM
요제프	요제프/NNP
보이스를	보이스/NNP+를/JKO
추모하기	추모/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
퍼포먼스를	퍼포먼스/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.102.5.3
당시 퍼포먼스 영상을 촬영했던 프랑스인 장폴 파르지에 씨도 추모전을 보기 위해 한국에 왔다.

당시	당시/NNG
퍼포먼스	퍼포먼스/NNG
영상을	영상/NNG+을/JKO
촬영했던	촬영/NNG+하/XSV+았/EP+던/ETM
프랑스인	프랑스인/NNG
장폴	장폴/NNP
파르지에	파르지에/NNP
씨도	씨/NNB+도/JX
추모전을	추모전/NNG+을/JKO
보기	보/VV+기/ETN
위해	위하/VV+아/EC
한국에	한국/NNP+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.102.5.4
그는 “당시 백 작가가 ‘서울에서 엄청나게 재밌는 굿판을 차릴 테니 빨리 와서 촬영해’라고 팩스를 보내 왔다”며 “백 작가는 내가 강의하는 비디오 아트 장르를 개척한 마스터”라고 회고했다.

그는	그/NP+는/JX
“당시	“/SS+당시/NNG
백	백/NNP
작가가	작가/NNG+가/JKS
‘서울에서	‘/SS+서울/NNP+에서/JKB
엄청나게	엄청나/VA+게/EC
재밌는	재밌/VA+는/ETM
굿판을	굿판/NNG+을/JKO
차릴	차리/VV+ㄹ/ETM
테니	터/NNB+이/VCP+니/EC
빨리	빨리/MAG
와서	오/VV+아서/EC
촬영해’라고	촬영/NNG+하/XSV+아/EC+’/SS+라고/JKQ
팩스를	팩스/NNG+를/JKO
보내	보내/VV+어/EC
왔다”며	오/VX+았/EP+다/EF+”/SS+며/EC
“백	“/SS+백/NNP
작가는	작가/NNG+는/JX
내가	내/NP+가/JKS
강의하는	강의/NNG+하/XSV+는/ETM
비디오	비디오/NNG
아트	아트/NNG
장르를	장르/NNG+를/JKO
개척한	개척/NNG+하/XSV+ㄴ/ETM
마스터”라고	마스터/NNG+”/SS+라고/JKQ
회고했다.	회고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.102.6.1
백남준의 예술적 스승이자 동지인 존 케이지, 샬럿 무어만을 TV 조형물로 형상화한 두 작품도 전시된다.

백남준의	백남준/NNP+의/JKG
예술적	예술/NNG+적/XSN
스승이자	스승/NNG+이/VCP+자/EC
동지인	동지/NNG+이/VCP+ㄴ/ETM
존	존/NNP
케이지,	케이지/NNP+,/SP
샬럿	샬럿/NNP
무어만을	무어만/NNP+을/JKO
TV	TV/SL
조형물로	조형물/NNG+로/JKB
형상화한	형상/NNG+화/XSN+하/XSV+ㄴ/ETM
두	두/MMN
작품도	작품/NNG+도/JX
전시된다.	전시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.102.6.2
권영숙 갤러리현대 실장은 “다른 TV 조각들이 대체로 유머러스한 분위기인데 반해 두 작품은 매우 우아하고 정제돼 있다”며 “백 작가가 생전 가장 아끼던 작품들”이라고 설명했다.

권영숙	권영숙/NNP
갤러리현대	갤러리현대/NNP
실장은	실장/NNG+은/JX
“다른	“/SS+다른/MMD
TV	TV/SL
조각들이	조각/NNG+들/XSN+이/JKS
대체로	대체로/MAG
유머러스한	유머러스/NNG+하/XSA+ㄴ/ETM
분위기인데	분위기/NNG+이/VCP+ㄴ데/EC
반해	반하/VV+아/EC
두	두/MMN
작품은	작품/NNG+은/JX
매우	매우/MAG
우아하고	우아하/VA+고/EC
정제돼	정제/NNG+되/XSV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“백	“/SS+백/NNP
작가가	작가/NNG+가/JKS
생전	생전/NNG
가장	가장/MAG
아끼던	아끼/VV+던/ETM
작품들”이라고	작품/NNG+들/XSN+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.102.7.1
‘잡동사니 벽’은 국내 처음으로 전시되는 작품이다.

‘잡동사니	‘/SS+잡동사니/NNG
벽’은	벽/NNG+’/SS+은/JX
국내	국내/NNG
처음으로	처음/NNG+으로/JKB
전시되는	전시/NNG+되/XSV+는/ETM
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.102.7.2
1995년 독일 볼프스부르크 미술관에서 연 개인전에 선보였던 것으로 백남준의 작품 세계에서 흔치 않은 현장 설치 작품이다.

1995년	1995/SN+년/NNB
독일	독일/NNP
볼프스부르크	볼프스부르크/NNP
미술관에서	미술관/NNG+에서/JKB
연	열/VV+ㄴ/ETM
개인전에	개인전/NNG+에/JKB
선보였던	선보이/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
백남준의	백남준/NNP+의/JKG
작품	작품/NNG
세계에서	세계/NNG+에서/JKB
흔치	흔하/VA+지/EC
않은	않/VX+은/ETM
현장	현장/NNG
설치	설치/NNG
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.102.7.3
그가 즐겨 사용했던 자동차, 불상, 가마, 구형 전자기기 부품 등의 오브제들이 전시장 바닥에 쏟아질 듯 뒤엉켜 있다.

그가	그/NP+가/JKS
즐겨	즐기/VV+어/EC
사용했던	사용/NNG+하/XSV+았/EP+던/ETM
자동차,	자동차/NNG+,/SP
불상,	불상/NNG+,/SP
가마,	가마/NNG+,/SP
구형	구형/NNG
전자기기	전자/NNG+기기/NNG
부품	부품/NNG
등의	등/NNB+의/JKG
오브제들이	오브제/NNG+들/XSN+이/JKS
전시장	전시장/NNG
바닥에	바닥/NNG+에/JKB
쏟아질	쏟아지/VV+ㄹ/ETM
듯	듯/NNB
뒤엉켜	뒤엉키/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.102.8.1
