# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.18
metadata : {}


# id : NWRW1800000041.18.1.1
“성실한 실패는 국가의 자산입니다”

“성실한	“/SS+성실/NNG+하/XSA+ㄴ/ETM
실패는	실패/NNG+는/JX
국가의	국가/NNG+의/JKG
자산입니다”	자산/NNG+이/VCP+ㅂ니다/EF+”/SS


# id : NWRW1800000041.18.2.1
미래부 ‘재도전 컴백 캠프’ 스타트… 창업 쓴맛 기업인 다각도로 지원

미래부	미래부/NNG
‘재도전	‘/SS+재/XPN+도전/NNG
컴백	컴백/NNG
캠프’	캠프/NNG+’/SS
스타트…	스타트/NNG+…/SE
창업	창업/NNG
쓴맛	쓴맛/NNG
기업인	기업인/NNG
다각도로	다각도/NNG+로/JKB
지원	지원/NNG


# id : NWRW1800000041.18.3.1
“실리콘밸리의 벤처투자자들은 실패한 경험이 있는 기업가에게 투자하는 것을 선호합니다.

“실리콘밸리의	“/SS+실리콘밸리/NNP+의/JKG
벤처투자자들은	벤처/NNG+투자자/NNG+들/XSN+은/JX
실패한	실패/NNG+하/XSV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있는	있/VA+는/ETM
기업가에게	기업가/NNG+에게/JKB
투자하는	투자/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
선호합니다.	선호/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000041.18.3.2
그들은 남들보다 ‘실패’라는 자산이 하나 더 있기 때문이죠.”

그들은	그/NP+들/XSN+은/JX
남들보다	남/NNG+들/XSN+보다/JKB
‘실패’라는	‘/SS+실패/NNG+’/SS+이/VCP+라는/ETM
자산이	자산/NNG+이/JKS
하나	하나/NR
더	더/MAG
있기	있/VA+기/ETN
때문이죠.”	때문/NNB+이/VCP+죠/EF+./SF+”/SS


# id : NWRW1800000041.18.4.1
29일 서울 종로구 세종대로에 위치한 창업지원센터 ‘드림엔터’.

29일	29/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
세종대로에	세종대로/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
창업지원센터	창업/NNG+지원/NNG+센터/NNG
‘드림엔터’.	‘/SS+드림엔터/NNP+’/SS+./SF


# id : NWRW1800000041.18.4.2
강연에 열중하는 청중의 눈빛에서 회한(悔恨)이 묻어났다.

강연에	강연/NNG+에/JKB
열중하는	열중/NNG+하/XSV+는/ETM
청중의	청중/NNG+의/JKG
눈빛에서	눈빛/NNG+에서/JKB
회한(悔恨)이	회한/NNG+(/SS+悔恨/SH+)/SS+이/JKS
묻어났다.	묻어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.18.4.3
미래창조과학부가 이날 개최한 ‘재도전 컴백(Comeback) 캠프’에 참가한 70여 명의 참가자 중 절반 가까이가 실패한 창업가.

미래창조과학부가	미래/NNG+창조/NNG+과학부/NNG+가/JKS
이날	이날/NNG
개최한	개최/NNG+하/XSV+ㄴ/ETM
‘재도전	‘/SS+재/XPN+도전/NNG
컴백(Comeback)	컴백/NNG+(/SS+Comeback/SL+)/SS
캠프’에	캠프/NNG+’/SS+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
70여	70/SN+여/XSN
명의	명/NNB+의/JKG
참가자	참가자/NNG
중	중/NNB
절반	절반/NNG
가까이가	가까이/NNG+가/JKS
실패한	실패/NNG+하/XSV+ㄴ/ETM
창업가.	창업가/NNG+./SF


# id : NWRW1800000041.18.4.4
소규모 제조업으로 기업을 세웠다가 실패를 맛본 한 참가자는 “지금까지 실패 경험은 자산이 아니라 ‘낙인(烙印)’이었다”며 “경험을 살려 재기할 기회가 없었다”고 말했다.

소규모	소/XPN+규모/NNG
제조업으로	제조업/NNG+으로/JKB
기업을	기업/NNG+을/JKO
세웠다가	세우/VV+었/EP+다가/EC
실패를	실패/NNG+를/JKO
맛본	맛보/VV+ㄴ/ETM
한	한/MMN
참가자는	참가자/NNG+는/JX
“지금까지	“/SS+지금/NNG+까지/JX
실패	실패/NNG
경험은	경험/NNG+은/JX
자산이	자산/NNG+이/JKC
아니라	아니/VCN+라/EC
‘낙인(烙印)’이었다”며	‘/SS+낙인/NNG+(/SS+烙印/SH+)/SS+’/SS+이/VCP+었/EP+다/EF+”/SS+며/EC
“경험을	“/SS+경험/NNG+을/JKO
살려	살리/VV+어/EC
재기할	재기/NNG+하/XSV+ㄹ/ETM
기회가	기회/NNG+가/JKS
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.18.5.1
미래부는 ‘성실 실패’를 겪은 기업인들의 재창업을 지원하기 위한 새로운 대책을 내놨다.

미래부는	미래부/NNG+는/JX
‘성실	‘/SS+성실/NNG
실패’를	실패/NNG+’/SS+를/JKO
겪은	겪/VV+은/ETM
기업인들의	기업인/NNG+들/XSN+의/JKG
재창업을	재/XPN+창업/NNG+을/JKO
지원하기	지원/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
대책을	대책/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.18.5.2
성실 실패란 창업가가 도덕적 해이나 크게 잘못된 판단 없이 경영에 임했음에도 외부 환경 등으로 겪는 실패를 뜻한다.

성실	성실/NNG
실패란	실패/NNG+란/JX
창업가가	창업가/NNG+가/JKS
도덕적	도덕/NNG+적/XSN
해이나	해이/NNG+나/JC
크게	크/VA+게/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
판단	판단/NNG
없이	없이/MAG
경영에	경영/NNG+에/JKB
임했음에도	임하/VV+았/EP+음/ETN+에/JKB+도/JX
외부	외부/NNG
환경	환경/NNG
등으로	등/NNB+으로/JKB
겪는	겪/VV+는/ETM
실패를	실패/NNG+를/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.18.5.3
대책의 골자는 창업가의 실패를 창업 경제를 일으키기 위해 ‘국가 자산화’하는 것.

대책의	대책/NNG+의/JKG
골자는	골자/NNG+는/JX
창업가의	창업가/NNG+의/JKG
실패를	실패/NNG+를/JKO
창업	창업/NNG
경제를	경제/NNG+를/JKO
일으키기	일으키/VV+기/ETN
위해	위하/VV+아/EC
‘국가	‘/SS+국가/NNG
자산화’하는	자산/NNG+화/XSN+’/SS+하/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.18.5.4
백기훈 미래부 정보통신융합정책관은 “그동안 우리나라에서는 성실성 도덕성과 무관하게 ‘루저(looser·패배자)’로 바라보는 부정적 인식이 강했다”며 “성실 실패를 용인하고 그 경험을 높이 사는 사회 분위기를 만들겠다”고 말했다.

백기훈	백기훈/NNP
미래부	미래부/NNG
정보통신융합정책관은	정보/NNG+통신/NNG+융합/NNG+정책관/NNG+은/JX
“그동안	“/SS+그동안/NNG
우리나라에서는	우리나라/NNG+에서/JKB+는/JX
성실성	성실/NNG+성/XSN
도덕성과	도덕/NNG+성/XSN+과/JKB
무관하게	무관하/VA+게/EC
‘루저(looser·패배자)’로	‘/SS+루저/NNG+(/SS+looser/SL+·/SP+패배자/NNG+)/SS+’/SS+로/JKB
바라보는	바라보/VV+는/ETM
부정적	부정/NNG+적/XSN
인식이	인식/NNG+이/JKS
강했다”며	강하/VA+았/EP+다/EF+”/SS+며/EC
“성실	“/SS+성실/NNG
실패를	실패/NNG+를/JKO
용인하고	용인/NNG+하/XSV+고/EC
그	그/MMD
경험을	경험/NNG+을/JKO
높이	높이/MAG
사는	사/VV+는/ETM
사회	사회/NNG
분위기를	분위기/NNG+를/JKO
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.18.5.5
구체적인 전략으로는 △실패한 창업가의 사회 복귀와 재도전이 용이한 환경 제공 △재창업과 성장 지원 △성실 실패에 대한 인식 개선을 꼽았다.

구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
전략으로는	전략/NNG+으로/JKB+는/JX
△실패한	△/SW+실패/NNG+하/XSV+ㄴ/ETM
창업가의	창업가/NNG+의/JKG
사회	사회/NNG
복귀와	복귀/NNG+와/JC
재도전이	재/XPN+도전/NNG+이/JKS
용이한	용이하/VA+ㄴ/ETM
환경	환경/NNG
제공	제공/NNG
△재창업과	△/SW+재/XPN+창업/NNG+과/JC
성장	성장/NNG
지원	지원/NNG
△성실	△/SW+성실/NNG
실패에	실패/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식	인식/NNG
개선을	개선/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.18.6.1
‘재도전 컴백 캠프’는 실패 이후의 상실감으로 재기 의지가 약화된 기업가들이 다시 벤처 생태계로 복귀할 수 있도록 지원하는 프로그램이다.

‘재도전	‘/SS+재/XPN+도전/NNG
컴백	컴백/NNG
캠프’는	캠프/NNG+’/SS+는/JX
실패	실패/NNG
이후의	이후/NNG+의/JKG
상실감으로	상실감/NNG+으로/JKB
재기	재기/NNG
의지가	의지/NNG+가/JKS
약화된	약화/NNG+되/XSV+ㄴ/ETM
기업가들이	기업가/NNG+들/XSN+이/JKS
다시	다시/MAG
벤처	벤처/NNG
생태계로	생태/NNG+계/XSN+로/JKB
복귀할	복귀/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원하는	지원/NNG+하/XSV+는/ETM
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.18.6.2
1년에 2회씩, 회당 4차에 걸쳐 열린다.

1년에	1/SN+년/NNB+에/JKB
2회씩,	2/SN+회/NNB+씩/XSN+,/SP
회당	회/NNB+당/XSN
4차에	4/SN+차/NNB+에/JKB
걸쳐	걸치/VV+어/EC
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.18.7.1
이날 열린 1차 캠프는 ‘만남의 장’으로 재도전 기업가들의 파트너십 구축을 위한 네트워킹을 제공하고 재도전 동기를 부여한다.

이날	이날/NNG
열린	열리/VV+ㄴ/ETM
1차	1/SN+차/NNB
캠프는	캠프/NNG+는/JX
‘만남의	‘/SS+만남/NNG+의/JKG
장’으로	장/NNG+’/SS+으로/JKB
재도전	재/XPN+도전/NNG
기업가들의	기업가/NNG+들/XSN+의/JKG
파트너십	파트너십/NNG
구축을	구축/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
네트워킹을	네트워킹/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
동기를	동기/NNG+를/JKO
부여한다.	부여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.18.7.2
6월 중순 예정된 2차 ‘소통의 장’에서는 참가자 간 창업팀 구성과 각종 정보를 지원한다.

6월	6/SN+월/NNB
중순	중순/NNG
예정된	예정/NNG+되/XSV+ㄴ/ETM
2차	2/SN+차/NNB
‘소통의	‘/SS+소통/NNG+의/JKG
장’에서는	장/NNG+’/SS+에서/JKB+는/JX
참가자	참가자/NNG
간	간/NNB
창업팀	창업/NNG+팀/NNG
구성과	구성/NNG+과/JC
각종	각종/NNG
정보를	정보/NNG+를/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.18.7.3
‘협력의 장’인 3차 캠프에서는 본격적인 멘토링과 컨설팅을 제공한다.

‘협력의	‘/SS+협력/NNG+의/JKG
장’인	장/NNG+’/SS+이/VCP+ㄴ/ETM
3차	3/SN+차/NNB
캠프에서는	캠프/NNG+에서/JKB+는/JX
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
멘토링과	멘토링/NNG+과/JC
컨설팅을	컨설팅/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.18.7.4
이후 4차 ‘재도전의 장’에서는 우수 아이템을 선정할 계획이다.

이후	이후/NNG
4차	4/SN+차/NNB
‘재도전의	‘/SS+재/XPN+도전/NNG+의/JKG
장’에서는	장/NNG+’/SS+에서/JKB+는/JX
우수	우수/NNG
아이템을	아이템/NNG+을/JKO
선정할	선정/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.18.7.5
이현식 정보통신산업진흥원 창조기반조성본부장은 “재도전에 강한 의지와 용기를 가진 기업인의 재기에 가장 적합한 프로그램으로 구성했다”고 설명했다.

이현식	이현식/NNP
정보통신산업진흥원	정보통신산업진흥원/NNP
창조기반조성본부장은	창조/NNG+기반/NNG+조성/NNG+본부장/NNG+은/JX
“재도전에	“/SS+재/XPN+도전/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
의지와	의지/NNG+와/JC
용기를	용기/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
기업인의	기업인/NNG+의/JKG
재기에	재기/NNG+에/JKB
가장	가장/MAG
적합한	적합/NNG+하/XSA+ㄴ/ETM
프로그램으로	프로그램/NNG+으로/JKB
구성했다”고	구성/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.18.8.1
한편 이날 행사에서는 시각장애인 개그맨 이동우 씨가 ‘도전 삶, 그리고 희망’이라는 주제로 특별강연을 했다.

한편	한편/MAG
이날	이날/NNG
행사에서는	행사/NNG+에서/JKB+는/JX
시각장애인	시각/NNG+장애인/NNG
개그맨	개그맨/NNG
이동우	이동우/NNP
씨가	씨/NNB+가/JKS
‘도전	‘/SS+도전/NNG
삶,	삶/NNG+,/SP
그리고	그리고/MAJ
희망’이라는	희망/NNG+’/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
특별강연을	특별/NNG+강연/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.18.8.2
이 씨는 인기 절정의 개그맨 위치에 있다 시력을 잃었지만 의지를 갖고 다시 일어선 ‘희망의 아이콘’으로 꼽힌다.

이	이/NNP
씨는	씨/NNB+는/JX
인기	인기/NNG
절정의	절정/NNG+의/JKG
개그맨	개그맨/NNG
위치에	위치/NNG+에/JKB
있다	있/VA+다/EC
시력을	시력/NNG+을/JKO
잃었지만	잃/VV+었/EP+지만/EC
의지를	의지/NNG+를/JKO
갖고	갖/VV+고/EC
다시	다시/MAG
일어선	일어서/VV+ㄴ/ETM
‘희망의	‘/SS+희망/NNG+의/JKG
아이콘’으로	아이콘/NNG+’/SS+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.18.8.3
그는 철인3종 경기에 도전하게 된 과정을 들려주며 “완주에 대한 강박을 스스로 버리니 도전할 수 있게 되더라”라고 말했다.

그는	그/NP+는/JX
철인3종	철인/NNG+3/SN+종/NNG
경기에	경기/NNG+에/JKB
도전하게	도전/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
과정을	과정/NNG+을/JKO
들려주며	들려주/VV+며/EC
“완주에	“/SS+완주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
강박을	강박/NNG+을/JKO
스스로	스스로/MAG
버리니	버리/VV+니/EC
도전할	도전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되더라”라고	되/VV+더라/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.18.8.4
실패에 대한 두려움이 없으면 훌륭한 도전을 불러올 수 있다는 것이다.

실패에	실패/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
두려움이	두려움/NNG+이/JKS
없으면	없/VA+으면/EC
