# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.1
metadata : {}


# id : NWRW1800000033.1.1.1
[부자됩시다]뻥 터질라… 정치테마주 폭탄돌리기 과열

[부자됩시다]뻥	[/SS+부자/NNG+되/XSV+ㅂ시다/EF+]/SS+뻥/MAG
터질라…	터지/VV+ㄹ라/EF+…/SE
정치테마주	정치/NNG+테마주/NNG
폭탄돌리기	폭탄/NNG+돌리/VV+기/ETN
과열	과열/NNG


# id : NWRW1800000033.1.2.1
·안철수-박근혜-문재인 테마주 코스닥 회전율 상위 휩쓸어

·안철수-박근혜-문재인	·/SP+안철수/NNP+-/SO+박근혜/NNP+-/SO+문재인/NNP
테마주	테마주/NNG
코스닥	코스닥/NNP
회전율	회전/NNG+율/XSN
상위	상위/NNG
휩쓸어	휩쓸/VV+어/EF


# id : NWRW1800000033.1.3.1
연초부터 정치인 테마주가 과열현상을 보이고 있는 가운데 지난해 코스닥시장에서 손바뀜이 가장 빈번하게 이뤄진 종목들은 정치인 테마주였던 것으로 나타났다.

연초부터	연초/NNG+부터/JX
정치인	정치인/NNG
테마주가	테마주/NNG+가/JKS
과열현상을	과열/NNG+현상/NNG+을/JKO
보이고	보이/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
지난해	지난해/NNG
코스닥시장에서	코스닥/NNP+시장/NNG+에서/JKB
손바뀜이	손/NNG+바뀜/NNG+이/JKS
가장	가장/MAG
빈번하게	빈번하/VA+게/EC
이뤄진	이뤄지/VV+ㄴ/ETM
종목들은	종목/NNG+들/XSN+은/JX
테마주였던	테마주/NNG+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.1.3.2
실적과는 상관없는 ‘폭탄 돌리기’식 이상 급등이어서 투자할 때 주의해야 한다고 전문가들은 지적했다.

실적과는	실적/NNG+과/JKB+는/JX
상관없는	상관없/VA+는/ETM
‘폭탄	‘/SS+폭탄/NNG
돌리기’식	돌리/VV+기/ETN+’/SS+식/NA
이상	이상/NNG
급등이어서	급등/NNG+이/VCP+어서/EC
투자할	투자/NNG+하/XSV+ㄹ/ETM
때	때/NNG
주의해야	주의/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
전문가들은	전문가/NNG+들/XSN+은/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.1.4.1
○ 정치인 테마주가 회전율 상위 휩쓸어

○	○/SW
정치인	정치인/NNG
테마주가	테마주/NNG+가/JKS
회전율	회전/NNG+율/XSN
상위	상위/NNG
휩쓸어	휩쓸/VV+어/EF


# id : NWRW1800000033.1.5.1
9일 한국거래소에 따르면 작년 코스닥시장에서 회전율(상장 주식 수 대비 거래량 비율)이 가장 높았던 종목들은 모두 정치인 테마주였다.

9일	9/SN+일/NNB
한국거래소에	한국거래소/NNP+에/JKB
따르면	따르/VV+면/EC
작년	작년/NNG
코스닥시장에서	코스닥/NNP+시장/NNG+에서/JKB
회전율(상장	회전/NNG+율/XSN+(/SS+상장/NNG
주식	주식/NNG
수	수/NNG
대비	대비/NNG
거래량	거래량/NNG
비율)이	비율/NNG+)/SS+이/JKS
가장	가장/MAG
높았던	높/VA+았/EP+던/ETM
종목들은	종목/NNG+들/XSN+은/JX
모두	모두/MAG
정치인	정치인/NNG
테마주였다.	테마주/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.1.5.2
코스닥시장의 정치인 테마주는 주가가 비정상적으로 급등하는 데 그치지 않고 주인 역시 평상 수준을 훨씬 뛰어넘게 자주 바뀌는 종목들이었다.

코스닥시장의	코스닥/NNP+시장/NNG+의/JKG
정치인	정치인/NNG
테마주는	테마주/NNG+는/JX
주가가	주가/NNG+가/JKS
비정상적으로	비/XPN+정상/NNG+적/XSN+으로/JKB
급등하는	급등/NNG+하/XSV+는/ETM
데	데/NNB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
주인	주인/NNG
역시	역시/MAG
평상	평상/NNG
수준을	수준/NNG+을/JKO
훨씬	훨씬/MAG
뛰어넘게	뛰어넘/VV+게/EC
자주	자주/MAG
바뀌는	바뀌/VV+는/ETM
종목들이었다.	종목/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.1.6.1
코스닥시장 회전율 1위 종목은 솔고바이오로 6502.0%에 이르렀다.

코스닥시장	코스닥/NNP+시장/NNG
회전율	회전/NNG+율/XSN
1위	1/SN+위/NNB
종목은	종목/NNG+은/JX
솔고바이오로	솔고바이오/NNP+로/JKB
6502.0%에	6502/SN+./SP+0/SN+%/SW+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.1.6.2
이는 상장주식 한 주당 손바뀜 횟수가 1년에 65회나 됐다는 뜻이다.

이는	이/NP+는/JX
상장주식	상장/NNG+주식/NNG
한	한/MMN
주당	주/NNG+당/XSN
손바뀜	손/NNG+바뀜/NNG
횟수가	횟수/NNG+가/JKS
1년에	1/SN+년/NNB+에/JKB
65회나	65/SN+회/NNB+나/JX
됐다는	되/VV+었/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.1.6.3
솔고바이오는 ‘문재인 테마주’로 분류되는 종목.

솔고바이오는	솔고바이오/NNP+는/JX
‘문재인	‘/SS+문재인/NNP
테마주’로	테마주/NNG+’/SS+로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
종목.	종목/NNG+./SF


# id : NWRW1800000033.1.6.4
박근혜 테마주인 아가방컴퍼니가 회전율 5736.6%로 2위였고 보령메디앙스는 4809.8%로 3위였다.

박근혜	박근혜/NNP
테마주인	테마주/NNG+이/VCP+ㄴ/ETM
아가방컴퍼니가	아가방컴퍼니/NNP+가/JKS
회전율	회전/NNG+율/XSN
5736.6%로	5736/SN+./SP+6/SN+%/SW+로/JKB
2위였고	2/SN+위/NNB+이/VCP+었/EP+고/EC
보령메디앙스는	보령메디앙스/NNP+는/JX
4809.8%로	4809/SN+./SP+8/SN+%/SW+로/JKB
3위였다.	3/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.1.7.1
안철수 테마주인 클루넷(4519.6%), 정몽준 테마주인 코엔텍(4099.8%)과 현대통신(3945.5%)이 4∼6위에 해당됐다.

안철수	안철수/NNP
테마주인	테마주/NNG+이/VCP+ㄴ/ETM
클루넷(4519.6%),	클루넷/NNP+(/SS+4519/SN+./SP+6/SN+%/SW+)/SS+,/SP
정몽준	정몽준/NNP
코엔텍(4099.8%)과	코엔텍/NNP+(/SS+4099/SN+./SP+8/SN+%/SW+)/SS+과/JC
현대통신(3945.5%)이	현대통신/NNP+(/SS+3945/SN+./SP+5/SN+%/SW+)/SS+이/JKS
4∼6위에	4/SN+∼/SO+6/SN+위/NNB+에/JKB
해당됐다.	해당/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.1.7.2
박근혜 테마주로 분류되는 지아이바이오(3434.2%), 웰크론(3343.6%), 메타바이오메드(3296.2%)도 7∼9위에 이름을 올렸다.

박근혜	박근혜/NNP
테마주로	테마주/NNG+로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
지아이바이오(3434.2%),	지아이바이오/NNP+(/SS+3434/SN+./SP+2/SN+%/SW+)/SS+,/SP
웰크론(3343.6%),	웰크론/NNP+(/SS+3343/SN+./SP+6/SN+%/SW+)/SS+,/SP
메타바이오메드(3296.2%)도	메타바이오메드/NNP+(/SS+3296/SN+./SP+2/SN+%/SW+)/SS+도/JX
7∼9위에	7/SN+∼/SO+9/SN+위/NNB+에/JKB
이름을	이름/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.1.8.1
손바뀜이 활발했던 종목들은 대체로 수익률도 높았다.

손바뀜이	손/NNG+바뀜/NNG+이/JKS
활발했던	활발하/VA+았/EP+던/ETM
종목들은	종목/NNG+들/XSN+은/JX
대체로	대체로/MAG
수익률도	수익/NNG+률/XSN+도/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.1.8.2
아가방컴퍼니는 작년 한 해 동안 522.4%나 올랐으며 보령메디앙스(428.8%), 솔고바이오(187.88%), 동원수산(148.2%) 등도 상승 폭이 컸다.

아가방컴퍼니는	아가방컴퍼니/NNP+는/JX
작년	작년/NNG
한	한/MMN
해	해/NNB
동안	동안/NNG
522.4%나	522/SN+./SP+4/SN+%/SW+나/JX
올랐으며	오르/VV+았/EP+으며/EC
보령메디앙스(428.8%),	보령메디앙스/NNP+(/SS+428/SN+./SP+8/SN+%/SW+)/SS+,/SP
솔고바이오(187.88%),	솔고바이오/NNP+(/SS+187/SN+./SP+88/SN+%/SW+)/SS+,/SP
동원수산(148.2%)	동원수산/NNP+(/SS+148/SN+./SP+2/SN+%/SW+)/SS
등도	등/NNB+도/JX
상승	상승/NNG
폭이	폭/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.1.8.3
정치인 테마주가 주로 코스닥시장에 있어 코스피시장 회전율 상위종목에서는 정치인 테마주가 상대적으로 적었다.

정치인	정치인/NNG
테마주가	테마주/NNG+가/JKS
주로	주로/MAG
코스닥시장에	코스닥/NNP+시장/NNG+에/JKB
있어	있/VA+어/EC
코스피시장	코스피/NNP+시장/NNG
회전율	회전/NNG+율/XSN
상위종목에서는	상위/NNG+종목/NNG+에서/JKB+는/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
적었다.	적/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.1.8.4
문재인 테마주인 대현이 회전율 2481.3%로 5위에 올랐다.

문재인	문재인/NNP
테마주인	테마주/NNG+이/VCP+ㄴ/ETM
대현이	대현/NNP+이/JKS
회전율	회전/NNG+율/XSN
2481.3%로	2481/SN+./SP+3/SN+%/SW+로/JKB
5위에	5/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.1.9.1
○ 작전세력 ‘폭탄 돌리기’ 주의

○	○/SW
작전세력	작전/NNG+세력/NNG
‘폭탄	‘/SS+폭탄/NNG
돌리기’	돌리/VV+기/ETN+’/SS
주의	주의/NNG


# id : NWRW1800000033.1.10.1
정치인 테마주들의 높은 회전율은 그만큼 이들 종목에 대한 투기적 매매가 기승을 부렸음을 보여준다.

정치인	정치인/NNG
테마주들의	테마주/NNG+들/XSN+의/JKG
높은	높/VA+은/ETM
회전율은	회전/NNG+율/XSN+은/JX
그만큼	그만큼/NNG
이들	이/NP+들/XSN
종목에	종목/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투기적	투기/NNG+적/XSN
매매가	매매/NNG+가/JKS
기승을	기승/NNG+을/JKO
부렸음을	부리/VV+었/EP+음/ETN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.1.10.2
거래소 관계자는 “회전율이 이처럼 높다는 것은 투자자들이 위험성을 알고 있으면서도 단기간 수익을 노리고 주식을 사고팔고 있음을 뜻한다”고 설명했다.

거래소	거래소/NNG
관계자는	관계자/NNG+는/JX
“회전율이	“/SS+회전/NNG+율/XSN+이/JKS
이처럼	이/NP+처럼/JKB
높다는	높/VA+다는/ETM
것은	것/NNB+은/JX
투자자들이	투자자/NNG+들/XSN+이/JKS
위험성을	위험/NNG+성/XSN+을/JKO
알고	알/VV+고/EC
있으면서도	있/VX+으면서/EC+도/JX
단기간	단기간/NNG
수익을	수익/NNG+을/JKO
노리고	노리/VV+고/EC
주식을	주식/NNG+을/JKO
사고팔고	사고팔/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
뜻한다”고	뜻/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.1.10.3
이런 상황에서는 마지막에 주식을 떠안게 된 투자자가 주가 폭락에 따른 큰 손실을 보게 될 위험이 높아 결국 ‘폭탄 돌리기’의 희생자가 될 수밖에 없다.

이런	이런/MMD
상황에서는	상황/NNG+에서/JKB+는/JX
마지막에	마지막/NNG+에/JKB
주식을	주식/NNG+을/JKO
떠안게	떠안/VV+게/EC
된	되/VV+ㄴ/ETM
투자자가	투자자/NNG+가/JKS
주가	주가/NNG
폭락에	폭락/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
보게	보/VV+게/EC
될	되/VV+ㄹ/ETM
위험이	위험/NNG+이/JKS
높아	높/VA+아/EC
결국	결국/MAG
‘폭탄	‘/SS+폭탄/NNG
