# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.303
metadata : {}


# id : NWRW1800000049.303.1.1
새누리 ‘김무성 권력자 발언’ 놓고 충돌 계속

새누리	새누리/NNP
‘김무성	‘/SS+김무성/NNP
권력자	권력자/NNG
발언’	발언/NNG+’/SS
놓고	놓/VV+고/EC
충돌	충돌/NNG
계속	계속/MAG


# id : NWRW1800000049.303.2.1
친박 “金대표 총선 몰두해 궤도이탈”… 비박 “선장 흔들면 배 난파될수밖에”

친박	친/XPN+박/NNP
“金대표	“/SS+金/SH+대표/NNG
총선	총선/NNG
몰두해	몰두/NNG+하/XSV+아/EC
궤도이탈”…	궤도/NNG+이탈/NNG+”/SS+…/SE
비박	비/XPN+박/NNP
“선장	“/SS+선장/NNG
흔들면	흔들/VV+면/EC
배	배/NNG
난파될수밖에”	난파/NNG+되/XSV+ㄹ/ETM+수/NNB+밖에/JX+”/SS


# id : NWRW1800000049.303.3.1
새누리당 김무성 대표가 박근혜 대통령을 두고 ‘권력자’라고 발언한 파문이 계속되고 있다.

새누리당	새누리당/NNP
김무성	김무성/NNP
대표가	대표/NNG+가/JKS
박근혜	박근혜/NNP
대통령을	대통령/NNG+을/JKO
두고	두/VV+고/EC
‘권력자’라고	‘/SS+권력자/NNG+’/SS+라고/JKQ
발언한	발언/NNG+하/XSV+ㄴ/ETM
파문이	파문/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.303.3.2
당 일각에서는 김 대표 체제를 대체할 ‘비상대책위원회 거사설’까지 도는 등 공천관리위원회 구성을 앞두고 계파 간 샅바 싸움이 치열하다.

당	당/NNG
일각에서는	일각/NNG+에서/JKB+는/JX
김	김/NNP
대표	대표/NNG
체제를	체제/NNG+를/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
‘비상대책위원회	‘/SS+비상/NNG+대책/NNG+위원회/NNG
거사설’까지	거사설/NNG+’/SS+까지/JX
도는	돌/VV+는/ETM
등	등/NNB
공천관리위원회	공천/NNG+관리/NNG+위원회/NNG
구성을	구성/NNG+을/JKO
앞두고	앞두/VV+고/EC
계파	계파/NNG
간	간/NNB
샅바	샅바/NNG
싸움이	싸움/NNG+이/JKS
치열하다.	치열/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.303.4.1
친박계 중진인 홍문종 의원은 29일 라디오에서 김 대표를 겨냥해 “계산된 발언이다.

친박계	친/XPN+박/NNP+계/XSN
중진인	중진/NNG+이/VCP+ㄴ/ETM
홍문종	홍문종/NNP
의원은	의원/NNG+은/JX
29일	29/SN+일/NNB
라디오에서	라디오/NNG+에서/JKB
김	김/NNP
대표를	대표/NNG+를/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
“계산된	“/SS+계산/NNG+되/XSV+ㄴ/ETM
발언이다.	발언/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.303.4.2
20대 총선에 몰두한 나머지 궤도를 이탈한 것처럼 보인다”고 지적했다.

20대	20/SN+대/NNB
총선에	총선/NNG+에/JKB
몰두한	몰두/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
궤도를	궤도/NNG+를/JKO
이탈한	이탈/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.303.4.3
김 대표의 총선 전략을 두고도 “야당은 (인재 영입 등) 새로워지고, 환골탈태하려 하는데 우리는 뭐하고 있는지 도대체 모르겠다”며 “아유, 죽겠다”고 했다.

김	김/NNP
대표의	대표/NNG+의/JKG
총선	총선/NNG
전략을	전략/NNG+을/JKO
두고도	두/VV+고/EC+도/JX
“야당은	“/SS+야당/NNG+은/JX
(인재	(/SS+인재/NNG
영입	영입/NNG
등)	등/NNB+)/SS
새로워지고,	새롭/VA+어/EC+지/VX+고/EC+,/SP
환골탈태하려	환골탈태/NNG+하/XSV+려/EC
하는데	하/VX+는데/EC
우리는	우리/NP+는/JX
뭐하고	뭐/NP+하/VV+고/EC
있는지	있/VX+는지/EF
도대체	도대체/MAG
모르겠다”며	모르/VV+겠/EP+다/EF+”/SS+며/EC
“아유,	“/SS+아유/IC+,/SP
죽겠다”고	죽/VV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.303.5.1
이인제 최고위원도 공관위 구성과 관련해 “새누리당은 집단지도체제”라며 “지도부 9명 중 5명 이상이 찬성하는 사람이 공관위원장이 되는 것”이라고 말했다.

이인제	이인제/NNP
최고위원도	최고/NNG+위원/NNG+도/JX
공관위	공관위/NNG
구성과	구성/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“새누리당은	“/SS+새누리당/NNP+은/JX
집단지도체제”라며	집단/NNG+지도/NNG+체제/NNG+”/SS+이/VCP+라며/EC
“지도부	“/SS+지도부/NNG
9명	9/SN+명/NNB
중	중/NNB
5명	5/SN+명/NNB
이상이	이상/NNG+이/JKS
찬성하는	찬성/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
공관위원장이	공관위원장/NNG+이/JKC
되는	되/VV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.303.5.2
지도부 중 친박계는 안대희 전 대법관을 포함해 6명이다.

지도부	지도부/NNG
중	중/NNB
친박계는	친/XPN+박/NNP+계/XSN+는/JX
안대희	안대희/NNP
전	전/MMD
대법관을	대/XPN+법관/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
6명이다.	6/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.303.5.3
친박계가 공관위원장으로 밀고 있는 이한구 전 원내대표를 김 대표가 계속 반대할 경우 다수결로 밀어붙일 수 있다는 뜻으로 풀이된다.

친박계가	친/XPN+박/NNP+계/XSN+가/JKS
공관위원장으로	공관위원장/NNG+으로/JKB
밀고	밀/VV+고/EC
있는	있/VX+는/ETM
이한구	이한구/NNP
전	전/MMD
원내대표를	원내/NNG+대표/NNG+를/JKO
김	김/NNP
대표가	대표/NNG+가/JKS
계속	계속/MAG
반대할	반대/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
다수결로	다수결/NNG+로/JKB
밀어붙일	밀어붙이/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
뜻으로	뜻/NNG+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.303.6.1
친박계 일부에선 더불어민주당처럼 비대위 체제로 전환해야 한다는 목소리까지 나왔다.

친박계	친/XPN+박/NNP+계/XSN
일부에선	일부/NNG+에서/JKB+ㄴ/JX
더불어민주당처럼	더불어민주당/NNP+처럼/JKB
비대위	비대위/NNG
체제로	체제/NNG+로/JKB
전환해야	전환/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
목소리까지	목소리/NNG+까지/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.303.6.2
현실화될 가능성은 낮지만 김 대표를 압박하기 위해서다.

현실화될	현실/NNG+화/XSN+되/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
낮지만	낮/VA+지만/EC
김	김/NNP
