# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.189
metadata : {}


# id : NWRW1800000046.189.1.1
한국, 자살률 OECD 1위… 항우울제 소비는 하위

한국,	한국/NNP+,/SP
자살률	자살/NNG+률/XSN
OECD	OECD/SL
1위…	1/SN+위/NNB+…/SE
항우울제	항우울제/NNG
소비는	소비/NNG+는/JX
하위	하위/NNG


# id : NWRW1800000046.189.2.1
한국은 경제협력개발기구(OECD) 회원국 중 자살률이 가장 높은 반면, 우울증 치료는 최저 수준인 것으로 조사됐다.

한국은	한국/NNP+은/JX
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국	회원국/NNG
중	중/NNB
자살률이	자살/NNG+률/XSN+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
반면,	반면/NNG+,/SP
우울증	우울증/NNG
치료는	치료/NNG+는/JX
최저	최저/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.189.2.2
이런 불균형은 정신과 진료 환자 본인과 사회의 편견 때문이란 분석이 나오고 있다.

이런	이런/MMD
불균형은	불/XPN+균형/NNG+은/JX
정신과	정신과/NNG
진료	진료/NNG
환자	환자/NNG
본인과	본인/NNG+과/JC
사회의	사회/NNG+의/JKG
편견	편견/NNG
때문이란	때문/NNB+이/VCP+란/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.189.3.1
OECD가 18일 공개한 '한눈에 보는 보건(Health at a Glance) 2015'에서 한국의 하루 항우울제 복용량은 인구 1000명당 20DDD(의약품 하루 소비량·2013년 기준)로 28개 조사 대상국 가운데 칠레에 이어 둘째로 낮았다.

OECD가	OECD/SL+가/JKS
18일	18/SN+일/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
'한눈에	'/SS+한눈/NNG+에/JKB
보는	보/VV+는/ETM
보건(Health	보건/NNG+(/SS+Health/SL
at	at/SL
a	a/SL
Glance)	Glance/SL+)/SS
2015'에서	2015/SN+'/SS+에서/JKB
한국의	한국/NNP+의/JKG
하루	하루/NNG
항우울제	항우울제/NNG
복용량은	복용량/NNG+은/JX
인구	인구/NNG
1000명당	1000/SN+명/NNB+당/XSN
20DDD(의약품	20/SN+DDD/SW+(/SS+의약품/NNG
소비량·2013년	소비량/NNG+·/SP+2013/SN+년/NNB
기준)로	기준/NNG+)/SS+로/JKB
28개	28/SN+개/NNB
조사	조사/NNG
대상국	대상국/NNG
가운데	가운데/NNG
칠레에	칠레/NNP+에/JKB
이어	잇/VV+어/EC
둘째로	둘째/NR+로/JKB
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.189.4.1
OECD 항우울제 하루 평균 소비량은 1000명당 58DDD로 한국의 2.9배였다.

OECD	OECD/SL
항우울제	항우울제/NNG
하루	하루/NNG
평균	평균/NNG
소비량은	소비량/NNG+은/JX
1000명당	1000/SN+명/NNB+당/XSN
58DDD로	58/SN+DDD/SW+로/JKB
한국의	한국/NNP+의/JKG
2.9배였다.	2/SN+./SP+9/SN+배/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.189.4.2
아이슬란드(118)와 호주(96)가 항우울제 소비량이 많았다.

아이슬란드(118)와	아이슬란드/NNP+(/SS+118/SN+)/SS+와/JC
호주(96)가	호주/NNP+(/SS+96/SN+)/SS+가/JKS
항우울제	항우울제/NNG
소비량이	소비량/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.189.4.3
한국은 항우울제 사용량이 최저 수준인 반면 감기에 걸렸을 경우 항생제 사용량이나 당뇨 치료약 사용량은 높은 편이었다.

한국은	한국/NNP+은/JX
항우울제	항우울제/NNG
사용량이	사용량/NNG+이/JKS
최저	최저/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
반면	반면/NNG
감기에	감기/NNG+에/JKB
걸렸을	걸리/VV+었/EP+을/ETM
경우	경우/NNG
항생제	항생제/NNG
사용량이나	사용량/NNG+이나/JC
당뇨	당뇨/NNG
치료약	치료/NNG+약/NNG
사용량은	사용량/NNG+은/JX
높은	높/VA+은/ETM
편이었다.	편/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.189.5.1
한편 한국의 작년 자살률은 6년 만에 가장 낮은 수치였는데도 스스로 목숨을 끊은 이가 1만3836명이었다.

한편	한편/MAG
한국의	한국/NNP+의/JKG
작년	작년/NNG
자살률은	자살/NNG+률/XSN+은/JX
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
가장	가장/MAG
낮은	낮/VA+은/ETM
수치였는데도	수치/NNG+이/VCP+었/EP+는데/EC+도/JX
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
이가	이/NNB+가/JKS
1만3836명이었다.	1/SN+만/NR+3836/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.189.5.2
OECD 통계(2013년)에서도 자살률은 인구 10만명당 29.1명으로 34개 조사 대상국 중 가장 높았다.

OECD	OECD/SL
통계(2013년)에서도	통계/NNG+(/SS+2013/SN+년/NNB+)/SS+에서/JKB+도/JX
자살률은	자살/NNG+률/XSN+은/JX
인구	인구/NNG
10만명당	10/SN+만/NR+명/NNB+당/XSN
29.1명으로	29/SN+./SP+1/SN+명/NNB+으로/JKB
34개	34/SN+개/NNB
조사	조사/NNG
대상국	대상국/NNG
중	중/NNB
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.189.6.1
이나미 정신과 전문의는 "우울증을 초기에 치료할 경우 완치 확률이 매우 높지만 이를 방치해 악화될 경우 극단적 선택을 할 가능성이 높아진다"고 말했다.

이나미	이나미/NNP
정신과	정신과/NNG
전문의는	전문의/NNG+는/JX
"우울증을	"/SS+우울증/NNG+을/JKO
초기에	초기/NNG+에/JKB
치료할	치료/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
완치	완치/NNG
확률이	확률/NNG+이/JKS
매우	매우/MAG
높지만	높/VA+지만/EC
이를	이/NP+를/JKO
방치해	방치/NNG+하/XSV+아/EC
악화될	악화/NNG+되/XSV+ㄹ/ETM
극단적	극단/NNG+적/XSN
선택을	선택/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아진다"고	높아지/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.189.6.2
이창한 정신과 전문의는 "진찰 기록이 '딱지(낙인)'로 남아 취업·결혼 등에 불이익을 받을 것이란 근거 없는 두려움, 정신과 환자를 보는 사회의 부정적 시선 때문에 병을 키우는 경우가 많다"고 말했다.

이창한	이창한/NNP
정신과	정신과/NNG
전문의는	전문의/NNG+는/JX
"진찰	"/SS+진찰/NNG
기록이	기록/NNG+이/JKS
'딱지(낙인)'로	'/SS+딱지/NNG+(/SS+낙인/NNG+)/SS+'/SS+로/JKB
남아	남/VV+아/EC
취업·결혼	취업/NNG+·/SP+결혼/NNG
등에	등/NNB+에/JKB
불이익을	불/XPN+이익/NNG+을/JKO
받을	받/VV+을/ETM
것이란	것/NNB+이/VCP+란/ETM
근거	근거/NNG
없는	없/VA+는/ETM
두려움,	두려움/NNG+,/SP
환자를	환자/NNG+를/JKO
