# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.347
metadata : {}


# id : NWRW1800000033.347.1.1
[야권 단일화 전쟁 시작]安, 文 후보확정 바로 다음날 ‘출마선언 예고’ 견제구

[야권	[/SS+야권/NNG
단일화	단일/NNG+화/XSN
전쟁	전쟁/NNG
시작]安,	시작/NNG+]/SS+安/SH+,/SP
文	文/SH
후보확정	후보/NNG+확정/NNG
바로	바로/MAG
다음날	다음날/NNG
‘출마선언	‘/SS+출마/NNG+선언/NNG
예고’	예고/NNG+’/SS
견제구	견제구/NNG


# id : NWRW1800000033.347.2.1
■ 안철수, 19일 오후 3시 구세군아트홀서 대선출마 입장 발표 安, 文 후보확정 바로 다음날 ‘출마선언 예고’ 견제구

■	■/SW
안철수,	안철수/NNP+,/SP
19일	19/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
구세군아트홀서	구세군아트홀/NNP+서/JKB
대선출마	대선/NNG+출마/NNG
입장	입장/NNG
발표	발표/NNG
安,	安/SH+,/SP
文	文/SH
후보확정	후보/NNG+확정/NNG
바로	바로/MAG
다음날	다음날/NNG
‘출마선언	‘/SS+출마/NNG+선언/NNG
예고’	예고/NNG+’/SS
견제구	견제구/NNG


# id : NWRW1800000033.347.3.1
안철수 서울대 융합과학기술대학원장이 민주통합당 대선후보 선출 바로 다음 날인 17일 ‘대선 출마 선언 예고’를 한 것은 문재인 후보와의 경쟁을 염두에 둔 맞불전략으로 보인다.

안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장이	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+이/JKS
민주통합당	민주통합당/NNP
대선후보	대선/NNG+후보/NNG
선출	선출/NNG
바로	바로/MAG
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
17일	17/SN+일/NNB
‘대선	‘/SS+대선/NNG
출마	출마/NNG
선언	선언/NNG
예고’를	예고/NNG+’/SS+를/JKO
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
문재인	문재인/NNP
후보와의	후보/NNG+와/JKB+의/JKG
경쟁을	경쟁/NNG+을/JKO
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
맞불전략으로	맞불/NNG+전략/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.347.4.1
안 원장은 그동안 대선 출마를 전제로 각계각층의 사람들을 만나면서 ‘선거를 도와줄 사람들’을 모으는 등 사실상의 대선 행보를 해왔다.

안	안/NNP
원장은	원장/NNG+은/JX
그동안	그동안/NNG
대선	대선/NNG
출마를	출마/NNG+를/JKO
전제로	전제/NNG+로/JKB
각계각층의	각계각층/NNG+의/JKG
사람들을	사람/NNG+들/XSN+을/JKO
만나면서	만나/VV+면서/EC
‘선거를	‘/SS+선거/NNG+를/JKO
도와줄	도와주/VV+ㄹ/ETM
사람들’을	사람/NNG+들/XSN+’/SS+을/JKO
모으는	모으/VV+는/ETM
등	등/NNB
사실상의	사실/NNG+상/XSN+의/JKG
행보를	행보/NNG+를/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.347.4.2
그동안 안 원장 측에 합류한다는 얘기가 나왔던 인사들 중 일부도 대선 출마 회견에 참석할 것으로 알려졌다.

그동안	그동안/NNG
안	안/NNP
원장	원장/NNG
측에	측/NNB+에/JKB
합류한다는	합류/NNG+하/XSV+ㄴ다는/ETM
얘기가	얘기/NNG+가/JKS
나왔던	나오/VV+았/EP+던/ETM
인사들	인사/NNG+들/XSN
중	중/NNB
일부도	일부/NNG+도/JX
대선	대선/NNG
출마	출마/NNG
회견에	회견/NNG+에/JKB
참석할	참석/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.347.5.1
안 원장 측이 16일 페이스북에 ‘AHN'S SPEAKER’라는 페이지를 만든 점도 눈에 띈다.

안	안/NNP
원장	원장/NNG
측이	측/NNB+이/JKS
16일	16/SN+일/NNB
페이스북에	페이스북/NNP+에/JKB
‘AHN'S	‘/SS+AHN/SL+'/SS+S/SL
SPEAKER’라는	SPEAKER/SL+’/SS+이/VCP+라는/ETM
페이지를	페이지/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
점도	점/NNG+도/JX
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.347.5.2
여기엔 ‘안철수 언론담당 페이지’라는 설명이 붙어 있다.

여기엔	여기/NP+에/JKB+ㄴ/JX
‘안철수	‘/SS+안철수/NNP
언론담당	언론/NNG+담당/NNG
페이지’라는	페이지/NNG+’/SS+이/VCP+라는/ETM
설명이	설명/NNG+이/JKS
붙어	붙/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.347.5.3
안 원장 측은 앞으로 공지사항 등을 이 페이지에 올릴 계획이어서 대선 출마 이후 소셜네트워크서비스(SNS)에서 ‘입’ 역할을 할 것으로 예상된다.

안	안/NNP
원장	원장/NNG
측은	측/NNB+은/JX
앞으로	앞/NNG+으로/JKB
공지사항	공지/NNG+사항/NNG
등을	등/NNB+을/JKO
이	이/MMD
페이지에	페이지/NNG+에/JKB
올릴	올리/VV+ㄹ/ETM
계획이어서	계획/NNG+이/VCP+어서/EC
대선	대선/NNG
출마	출마/NNG
이후	이후/NNG
소셜네트워크서비스(SNS)에서	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+에서/JKB
‘입’	‘/SS+입/NNG+’/SS
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.347.5.4
사실상의 대선캠프 공보팀인 셈이다.

사실상의	사실/NNG+상/XSN+의/JKG
대선캠프	대선/NNG+캠프/NNG
공보팀인	공보/NNG+팀/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.347.5.5
안 원장은 19일 국정 비전을 밝힌 뒤 시차를 두고 구체적인 정책과 공약을 다시 발표할 것으로 보인다.

안	안/NNP
원장은	원장/NNG+은/JX
19일	19/SN+일/NNB
국정	국정/NNG
비전을	비전/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
뒤	뒤/NNG
시차를	시차/NNG+를/JKO
두고	두/VV+고/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
정책과	정책/NNG+과/JC
공약을	공약/NNG+을/JKO
다시	다시/MAG
발표할	발표/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.347.6.1
기자회견 장소를 서울 서대문구 충정로 구세군아트홀로 정한 것에 대해 안 원장 측은 “특별한 의미가 있는 게 아니라 300∼400명의 기자를 수용할 수 있는 공간을 찾은 결과”라고 설명했다.

기자회견	기자/NNG+회견/NNG
장소를	장소/NNG+를/JKO
서울	서울/NNP
서대문구	서대문구/NNP
충정로	충정로/NNP
구세군아트홀로	구세군아트홀/NNP+로/JKB
정한	정하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
안	안/NNP
원장	원장/NNG
측은	측/NNB+은/JX
“특별한	“/SS+특별/NNG+하/XSA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
300∼400명의	300/SN+∼/SO+400/SN+명/NNB+의/JKG
기자를	기자/NNG+를/JKO
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
공간을	공간/NNG+을/JKO
찾은	찾/VV+은/ETM
결과”라고	결과/NNG+”/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.347.6.2
그러나 안 원장이 안랩 보유 주식의 절반을 털어 안철수재단을 만드는 등 ‘기부’와 ‘나눔’을 자신의 트레이드마크로 삼았다는 점에서 이를 상징할 수 있는 최적의 장소를 물색했다는 분석이 많다.

그러나	그러나/MAJ
안	안/NNP
원장이	원장/NNG+이/JKS
안랩	안랩/NNP
보유	보유/NNG
주식의	주식/NNG+의/JKG
절반을	절반/NNG+을/JKO
털어	털/VV+어/EC
안철수재단을	안철수재단/NNP+을/JKO
만드는	만들/VV+는/ETM
등	등/NNB
‘기부’와	‘/SS+기부/NNG+’/SS+와/JC
‘나눔’을	‘/SS+나누/VV+ㅁ/ETN+’/SS+을/JKO
자신의	자신/NNG+의/JKG
트레이드마크로	트레이드마크/NNG+로/JKB
삼았다는	삼/VV+았/EP+다는/ETM
점에서	점/NNG+에서/JKB
이를	이/NP+를/JKO
상징할	상징/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
최적의	최적/NNG+의/JKG
장소를	장소/NNG+를/JKO
물색했다는	물색/NNG+하/XSV+았/EP+다는/ETM
분석이	분석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.347.6.3
구세군이 주는 이미지와 딱 어울린다는 것이다.

구세군이	구세군/NNG+이/JKS
주는	주/VV+는/ETM
이미지와	이미지/NNG+와/JKB
딱	딱/MAG
어울린다는	어울리/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.347.7.1
‘빅3’ 대선주자들의 출마 선언 장소도 각양각색이다.

‘빅3’	‘/SS+빅/NNG+3/SN+’/SS
대선주자들의	대선/NNG+주자/NNG+들/XSN+의/JKG
출마	출마/NNG
선언	선언/NNG
장소도	장소/NNG+도/JX
각양각색이다.	각양각색/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.347.7.2
박근혜 새누리당 후보는 젊은이들이 몰리는 서울 영등포의 쇼핑몰 타임스퀘어 광장에서 출마를 선언했다.

박근혜	박근혜/NNP
