# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.280
metadata : {}


# id : NWRW1800000024.280.1.1
악!

악!	악/IC+!/SF


# id : NWRW1800000024.280.2.1
신지애(21·미래에셋)의 브리티시여자오픈 2연패에 다소 먹구름이 끼었다.

신지애(21·미래에셋)의	신지애/NNP+(/SS+21/SN+·/SP+미래에셋/NNP+)/SS+의/JKG
브리티시여자오픈	브리티시/NNP+여자/NNG+오픈/NNG
2연패에	2/SN+연패/NNG+에/JKB
다소	다소/MAG
먹구름이	먹구름/NNG+이/JKS
끼었다.	끼/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.280.3.1
신지애는 30일 오후(한국시각) 영국 랭커셔 블랙풀의 로열 리섬 세인트앤스 골프클럽(파72·6492야드)에서 열린 미국 여자프로골프(LPGA) 투어 시즌 마지막 메이저대회인 브리티시여자오픈(총상금 220만달러·우승상금 31만달러) 1라운드에서 5오버파 77타를 적어냈다.

신지애는	신지애/NNP+는/JX
30일	30/SN+일/NNB
오후(한국시각)	오후/NNG+(/SS+한국/NNP+시각/NNG+)/SS
영국	영국/NNP
랭커셔	랭커셔/NNP
블랙풀의	블랙풀/NNP+의/JKG
로열	로열/NNP
리섬	리섬/NNP
세인트앤스	세인트앤스/NNP
골프클럽(파72·6492야드)에서	골프클럽/NNP+(/SS+파/NNG+72/SN+·/SP+6492/SN+야드/NNB+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
미국	미국/NNP
여자프로골프(LPGA)	여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS
투어	투어/NNG
시즌	시즌/NNG
마지막	마지막/NNG
메이저대회인	메이저/NNG+대회/NNG+이/VCP+ㄴ/ETM
브리티시여자오픈(총상금	브리티시/NNP+여자/NNG+오픈/NNG+(/SS+총상금/NNG
220만달러·우승상금	220/SN+만/NR+달러/NNB+·/SP+우승/NNG+상금/NNG
31만달러)	31/SN+만/NR+달러/NNB+)/SS
1라운드에서	1/SN+라운드/NNG+에서/JKB
5오버파	5/SN+오버파/NNG
77타를	77/SN+타/NNG+를/JKO
적어냈다.	적/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.280.3.2
신지애는 마지막 17번·18번 홀에서 각각 더블보기를 기록하면서 타수를 까먹었다.

신지애는	신지애/NNP+는/JX
마지막	마지막/NNG
17번·18번	17/SN+번/NNB+·/SP+18/SN+번/NNB
홀에서	홀/NNG+에서/JKB
각각	각각/MAG
더블보기를	더블/NNG+보기/NNG+를/JKO
기록하면서	기록/NNG+하/XSV+면서/EC
타수를	타수/NNG+를/JKO
까먹었다.	까먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.280.4.1
유에스오픈 우승자 지은희(23·휠라코리아)도 4오버파 76타에 그쳤다.

유에스오픈	유에스/NNP+오픈/NNG
우승자	우승자/NNG
지은희(23·휠라코리아)도	지은희/NNP+(/SS+23/SN+·/SP+휠라코리아/NNP+)/SS+도/JX
4오버파	4/SN+오버파/NNG
76타에	76/SN+타/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.280.4.2
상금 순위 3위를 달리고 있는 김인경(21·하나금융)은 9오버파 81타로, 컷 탈락을 걱정해야 할 처지가 됐다.

상금	상금/NNG
순위	순위/NNG
3위를	3/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있는	있/VX+는/ETM
김인경(21·하나금융)은	김인경/NNP+(/SS+21/SN+·/SP+하나금융/NNP+)/SS+은/JX
9오버파	9/SN+오버파/NNG
81타로,	81/SN+타/NNG+로/JKB+,/SP
컷	컷/NNG
탈락을	탈락/NNG+을/JKO
걱정해야	걱정/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
처지가	처지/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.280.4.3
6번 홀(파5·492야드)에서 11타 만에 홀아웃해 섹스튜플보기(6오버파)를 범한 게 치명적이었다.

6번	6/SN+번/NNB
홀(파5·492야드)에서	홀/NNG+(/SS+파/NNG+5/SN+·/SP+492/SN+야드/NNB+)/SS+에서/JKB
11타	11/SN+타/NNG
만에	만/NNB+에/JKB
홀아웃해	홀아웃/NNG+하/XSV+아/EC
섹스튜플보기(6오버파)를	섹스튜플보기/NNG+(/SS+6/SN+오버파/NNG+)/SS+를/JKO
범한	범하/VV+ㄴ/ETM
게	거/NNB+이/JKS
치명적이었다.	치명/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


