# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.93
metadata : {}


# id : NWRW1800000046.93.1.1
"밋밋하지 않아요, 제 눈엔 가장 우아한 그릇이죠"

"밋밋하지	"/SS+밋밋하/VA+지/EC
않아요,	않/VX+아요/EF+,/SP
제	저/NP+의/JKG
눈엔	눈/NNG+에/JKB+ㄴ/JX
가장	가장/MAG
우아한	우아하/VA+ㄴ/ETM
그릇이죠"	그릇/NNG+이/VCP+죠/EF+"/SS


# id : NWRW1800000046.93.2.1
우리 놋그릇·옹기·백자 마니아, 메리어트동대문 총주방장 디 살보

우리	우리/NP
놋그릇·옹기·백자	놋그릇/NNG+·/SP+옹기/NNG+·/SP+백자/NNG
마니아,	마니아/NNG+,/SP
메리어트동대문	메리어트동대문/NNP
총주방장	총주방장/NNG
디	디/NNP
살보	살보/NNP


# id : NWRW1800000046.93.3.1
최근 패션 브랜드 샤넬이 서울 동대문디자인플라자(DDP)에서 연 '2015 크루즈 컬렉션 쇼'는 두 가지에서 화제였다.

최근	최근/NNG
패션	패션/NNG
브랜드	브랜드/NNG
샤넬이	샤넬/NNP+이/JKS
서울	서울/NNP
동대문디자인플라자(DDP)에서	동대문디자인플라자/NNP+(/SS+DDP/SL+)/SS+에서/JKB
연	열/VV+ㄴ/ETM
'2015	'/SS+2015/SN
크루즈	크루즈/NNP
컬렉션	컬렉션/NNG
쇼'는	쇼/NNG+'/SS+는/JX
두	두/MMN
가지에서	가지/NNG+에서/JKB
화제였다.	화제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.93.3.2
패션 거장 칼 라거펠트가 우리 고유의 옷 한복을 리조트 룩으로 멋스럽게 풀어냈다는 점, 그리고 패션쇼 뒤풀이(애프터 파티) 잔칫상에 오른 정갈한 한식이다.

패션	패션/NNG
거장	거장/NNG
칼	칼/NNP
라거펠트가	라거펠트/NNP+가/JKS
우리	우리/NP
고유의	고유/NNG+의/JKG
옷	옷/NNG
한복을	한복/NNG+을/JKO
리조트	리조트/NNG
룩으로	룩/NNG+으로/JKB
멋스럽게	멋/NNG+스럽/XSA+게/EC
풀어냈다는	풀어내/VV+었/EP+다는/ETM
점,	점/NNG+,/SP
그리고	그리고/MAJ
패션쇼	패션쇼/NNG
뒤풀이(애프터	뒤풀이/NNG+(/SS+애프터/NNG
파티)	파티/NNG+)/SS
잔칫상에	잔칫상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
정갈한	정갈하/VA+ㄴ/ETM
한식이다.	한식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.93.3.3
무형문화재 장인들이 만든 놋쇠 그릇(방짜 유기)에 갈비찜과 쌈밥, 온갖 종류의 전이 소복이 담겼고, 풋고추와 상추, 당근, 오이 등 채소 묶음이 쌈장과 함께 놓였다.

무형문화재	무형/NNG+문화재/NNG
장인들이	장인/NNG+들/XSN+이/JKS
만든	만들/VV+ㄴ/ETM
놋쇠	놋쇠/NNG
그릇(방짜	그릇/NNG+(/SS+방짜/NNG
유기)에	유기/NNG+)/SS+에/JKB
갈비찜과	갈비찜/NNG+과/JC
쌈밥,	쌈밥/NNG+,/SP
온갖	온갖/MMN
종류의	종류/NNG+의/JKG
전이	전/NNG+이/JKS
소복이	소복이/MAG
담겼고,	담기/VV+었/EP+고/EC+,/SP
풋고추와	풋/XPN+고추/NNG+와/JC
상추,	상추/NNG+,/SP
당근,	당근/NNG+,/SP
오이	오이/NNG
등	등/NNB
채소	채소/NNG
묶음이	묶음/NNG+이/JKS
쌈장과	쌈장/NNG+과/JKB
함께	함께/MAG
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.93.3.4
김이 모락모락 피어오르는 돌솥 뒤로 카멜리아(동백꽃) 6000송이를 꽂아 마을의 수호신인 당산나무처럼 꾸민 샹들리에, 그리고 우윳빛 뽀얀 달항아리가 탐스럽게 웃었다.

김이	김/NNG+이/JKS
모락모락	모락모락/MAG
피어오르는	피어오르/VV+는/ETM
돌솥	돌솥/NNG
뒤로	뒤/NNG+로/JKB
카멜리아(동백꽃)	카멜리아/NNG+(/SS+동백꽃/NNG+)/SS
