# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.146
metadata : {}


# id : NWRW1800000024.146.1.1
1918, 서반아감기

1918,	1918/SN+,/SP
서반아감기	서반아/NNP+감기/NNG


# id : NWRW1800000024.146.2.1
대한민국 건국공로훈장까지 받은 영국 태생 프랭크 윌리엄 스코필드(한국명 석호필·1889~1970) 박사는 1919년 세브란스의학교 세균학 교수로서, ‘한국의 인플루엔자 유행병’에 관한 연구를 미국의학회지에 발표했다.

대한민국	대한민국/NNP
건국공로훈장까지	건국/NNG+공로/NNG+훈장/NNG+까지/JX
받은	받/VV+은/ETM
영국	영국/NNP
태생	태생/NNG
프랭크	프랭크/NNP
윌리엄	윌리엄/NNP
스코필드(한국명	스코필드/NNP+(/SS+한국명/NNG
석호필·1889~1970)	석호필/NNP+·/SP+1889/SN+~/SO+1970/SN+)/SS
박사는	박사/NNG+는/JX
1919년	1919/SN+년/NNB
세브란스의학교	세브란스/NNP+의학교/NNG
세균학	세균학/NNG
교수로서,	교수/NNG+로서/JKB+,/SP
‘한국의	‘/SS+한국/NNP+의/JKG
인플루엔자	인플루엔자/NNG
유행병’에	유행병/NNG+’/SS+에/JKB
관한	관하/VV+ㄴ/ETM
연구를	연구/NNG+를/JKO
미국의학회지에	미국/NNP+의학회지/NNG+에/JKB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.146.2.2
수천만명의 사망자를 낸 스페인독감이 세계에 창궐했던 1918년, 조선 땅에도 들이닥친 이른바 ‘서반아감기’의 병원체를 밝히려는 실험과 백신 개발 시도를 담은 논문이었다.

수천만명의	수천만/NR+명/NNB+의/JKG
사망자를	사망자/NNG+를/JKO
낸	내/VV+ㄴ/ETM
스페인독감이	스페인/NNP+독감/NNG+이/JKS
세계에	세계/NNG+에/JKB
창궐했던	창궐/NNG+하/XSV+았/EP+던/ETM
1918년,	1918/SN+년/NNB+,/SP
조선	조선/NNP
땅에도	땅/NNG+에/JKB+도/JX
들이닥친	들이닥치/VV+ㄴ/ETM
이른바	이른바/MAG
‘서반아감기’의	‘/SS+서반아/NNP+감기/NNG+’/SS+의/JKG
병원체를	병원체/NNG+를/JKO
밝히려는	밝히/VV+려는/ETM
실험과	실험/NNG+과/JC
백신	백신/NNG
개발	개발/NNG
시도를	시도/NNG+를/JKO
담은	담/VV+은/ETM
논문이었다.	논문/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.146.3.1
그는 흉흉했던 상황을 이렇게 보고했다.

그는	그/NP+는/JX
흉흉했던	흉흉하/VA+았/EP+던/ETM
상황을	상황/NNG+을/JKO
이렇게	이렇/VA+게/EC
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.146.3.2
“한국에서 인플루엔자 대유행은 1918년 9월 처음 가시화됐다.

“한국에서	“/SS+한국/NNP+에서/JKB
인플루엔자	인플루엔자/NNG
대유행은	대/XPN+유행/NNG+은/JX
1918년	1918/SN+년/NNB
9월	9/SN+월/NNB
처음	처음/NNG
가시화됐다.	가시/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.146.3.3
… 질병은 북쪽으로부터 철도선을 따라 남쪽으로 퍼졌다.

…	…/SE
질병은	질병/NNG+은/JX
북쪽으로부터	북쪽/NNG+으로부터/JKB
철도선을	철도선/NNG+을/JKO
따라	따르/VV+아/EC
남쪽으로	남쪽/NNG+으로/JKB
퍼졌다.	퍼지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.146.3.4
… 인구의 1/4에서 1/2이 감염됐을 것이다.

…	…/SE
인구의	인구/NNG+의/JKG
1/4에서	1/SN+//SP+4/SN+에서/JKB
1/2이	1/SN+//SP+2/SN+이/JKS
감염됐을	감염/NNG+되/XSV+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.146.3.5
… 대부분의 학교는 문을 닫았다.”

…	…/SE
대부분의	대/XPN+부분/NNG+의/JKG
학교는	학교/NNG+는/JX
문을	문/NNG+을/JKO
닫았다.”	닫/VV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000024.146.3.6
이듬해 1월 <매일신보>는 조선에서 서반아감기 환자가 742만명이었고 13만9000명이 숨졌다는 경무총감부 조사 결과를 보도했다.

이듬해	이듬해/NNG
1월	1/SN+월/NNB
<매일신보>는	</SS+매일신보/NNP+>/SS+는/JX
조선에서	조선/NNP+에서/JKB
서반아감기	서반아/NNP+감기/NNG
환자가	환자/NNG+가/JKS
742만명이었고	742/SN+만/NR+명/NNB+이/VCP+었/EP+고/EC
13만9000명이	13/SN+만/NR+9000/SN+명/NNB+이/JKS
숨졌다는	숨지/VV+었/EP+다는/ETM
경무총감부	경무/NNG+총감부/NNG
조사	조사/NNG
결과를	결과/NNG+를/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.146.4.1
당시 병원체가 ‘파이퍼 바실루스’ 균이라는 설이 널리 퍼졌으나 ‘여과되지 않는 바이러스’도 병원체로 지목받고 있었다.

