# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.109
metadata : {}


# id : NWRW1800000030.109.1.1
"그날 사랑하는 이를 잃은 모두를 위해…"

"그날	"/SS+그날/NNG
사랑하는	사랑/NNG+하/XSV+는/ETM
이를	이/NNB+를/JKO
잃은	잃/VV+은/ETM
모두를	모두/NNG+를/JKO
위해…"	위하/VV+아/EF+…/SE+"/SS


# id : NWRW1800000030.109.2.1
•한덕수 주미대사, 9·11 추도 무대서 기타 치며 노래

•한덕수	•/SW+한덕수/NNP
주미대사,	주미/NNG+대사/NNG+,/SP
9·11	9/SN+·/SP+11/SN
추도	추도/NNG
무대서	무대/NNG+서/JKB
기타	기타/NNG
치며	치/VV+며/EC
노래	노래/NNG


# id : NWRW1800000030.109.3.1
11일(현지 시각) 9·11테러 10주년을 맞아 워싱턴DC 케네디센터에서 열린 '워싱턴 한인 심포니 오케스트라'(WKSO)의 '평화 콘서트'에서는 깜짝 게스트의 특별 공연이 펼쳐졌다.

11일(현지	11/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
9·11테러	9/SN+·/SP+11/SN+테러/NNG
10주년을	10/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
워싱턴DC	워싱턴DC/NNP
케네디센터에서	케네디센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
'워싱턴	'/SS+워싱턴/NNP
한인	한인/NNG
심포니	심포니/NNG
오케스트라'(WKSO)의	오케스트라/NNG+'/SS+(/SS+WKSO/SL+)/SS+의/JKG
'평화	'/SS+평화/NNG
콘서트'에서는	콘서트/NNG+'/SS+에서/JKB+는/JX
깜짝	깜짝/MAG
게스트의	게스트/NNG+의/JKG
특별	특별/NNG
공연이	공연/NNG+이/JKS
펼쳐졌다.	펼쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.109.3.2
한덕수 주미대사가 9·11 희생자 추도를 위해 기타를 들고 직접 무대에 올랐다.

한덕수	한덕수/NNP
주미대사가	주미/NNG+대사/NNG+가/JKS
9·11	9/SN+·/SP+11/SN
희생자	희생자/NNG
추도를	추도/NNG+를/JKO
위해	위하/VV+아/EC
기타를	기타/NNG+를/JKO
들고	들/VV+고/EC
직접	직접/MAG
무대에	무대/NNG+에/JKB
