# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.187
metadata : {}


# id : NWRW1800000054.187.1.1
"내 인생을 응원한다" 실버 치어리더

"내	"/SS+나/NP+의/JKG
인생을	인생/NNG+을/JKO
응원한다"	응원/NNG+하/XSV+ㄴ다/EF+"/SS
실버	실버/NNG
치어리더	치어리더/NNG


# id : NWRW1800000054.187.2.1
'낭랑스쿨' 유쾌한 제2 인생… 평균 연령 70대, 활력은 대학생

'낭랑스쿨'	'/SS+낭랑스쿨/NNP+'/SS
유쾌한	유쾌/NNG+하/XSA+ㄴ/ETM
제2	제/XPN+2/SN
인생…	인생/NNG+…/SE
평균	평균/NNG
연령	연령/NNG
70대,	70/SN+대/NNB+,/SP
활력은	활력/NNG+은/JX
대학생	대학/NNG+생/XSN


# id : NWRW1800000054.187.3.1
지난 15일 오전 서울 서초구 방배동에 있는 한 지하 연습실.

지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
서초구	서초구/NNP
방배동에	방배동/NNP+에/JKB
있는	있/VA+는/ETM
한	한/MMN
지하	지하/NNG
연습실.	연습실/NNG+./SF


# id : NWRW1800000054.187.3.2
30여명 할머니들이 뿜어내는 열기(熱氣)로 실내가 후끈 달아올랐다.

30여명	30/SN+여/XSN+명/NNB
할머니들이	할머니/NNG+들/XSN+이/JKS
뿜어내는	뿜어내/VV+는/ETM
열기(熱氣)로	열기/NNG+(/SS+熱氣/SH+)/SS+로/JKB
실내가	실내/NNG+가/JKS
후끈	후끈/MAG
달아올랐다.	달아오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.3.3
무릎 위로 떨어지는 짧은 녹색 복장을 한 이들은 음악에 맞춰 30분 동안 휴식 없이 율동을 선보였다.

무릎	무릎/NNG
위로	위/NNG+로/JKB
떨어지는	떨어지/VV+는/ETM
짧은	짧/VA+은/ETM
녹색	녹색/NNG
복장을	복장/NNG+을/JKO
한	하/VV+ㄴ/ETM
이들은	이/NNB+들/XSN+은/JX
음악에	음악/NNG+에/JKB
맞춰	맞추/VV+어/EC
30분	30/SN+분/NNB
동안	동안/NNG
휴식	휴식/NNG
없이	없이/MAG
율동을	율동/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.187.3.4
동요부터 팝송, 최신 아이돌 노래까지 여러 장르를 두루 섭렵했다.

동요부터	동요/NNG+부터/JX
팝송,	팝송/NNG+,/SP
최신	최신/NNG
아이돌	아이돌/NNG
노래까지	노래/NNG+까지/JX
여러	여러/MMN
장르를	장르/NNG+를/JKO
두루	두루/MAG
섭렵했다.	섭렵/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.187.3.5
몇몇이 녹초가 돼 바닥에 드러누웠다.

몇몇이	몇몇/NR+이/JKS
녹초가	녹초/NNG+가/JKC
돼	되/VV+어/EC
바닥에	바닥/NNG+에/JKB
드러누웠다.	드러눕/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.187.3.6
'군기 반장' 김정이(72)씨가 외쳤다.

'군기	'/SS+군기/NNG
반장'	반장/NNG+'/SS
김정이(72)씨가	김정이/NNP+(/SS+72/SN+)/SS+씨/NNB+가/JKS
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.187.3.7
"당장 대회가 코앞인데 이러기야?

"당장	"/SS+당장/NNG
대회가	대회/NNG+가/JKS
코앞인데	코앞/NNG+이/VCP+ㄴ데/EC
이러기야?	이러/VV+기/ETN+이/VCP+야/EF+?/SF


# id : NWRW1800000054.187.3.8
일어나 언니들! 다시 한 번 갈게.

일어나	일어나/VV+아/EF
언니들!	언니/NNG+들/XSN+!/SF
다시	다시/MAG
한	한/MMN
번	번/NNB
갈게.	가/VV+ㄹ게/EF+./SF


# id : NWRW1800000054.187.3.9
원,투…"

원,투…"	원/NNG+,/SP+투/NNG+…/SE+"/SS


# id : NWRW1800000054.187.4.1
2013년 출범한 국내 최초의 실버치어리더단 '낭랑스쿨'이 전국 대회를 앞두고 막바지 연습이 한창이었다.

2013년	2013/SN+년/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
국내	국내/NNG
최초의	최초/NNG+의/JKG
실버치어리더단	실버/NNG+치어리더단/NNG
'낭랑스쿨'이	'/SS+낭랑스쿨/NNP+'/SS+이/JKS
전국	전국/NNG
대회를	대회/NNG+를/JKO
앞두고	앞두/VV+고/EC
막바지	막바지/NNG
연습이	연습/NNG+이/JKS
한창이었다.	한창/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.187.4.2
