# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.370
metadata : {}


# id : NWRW1800000040.370.1.1
북 “서울·워싱턴 불바다”…남 “지휘세력도 응징”

북	북/NNP
“서울·워싱턴	“/SS+서울/NNP+·/SP+워싱턴/NNP
불바다”…남	불바다/NNG+”/SS+…/SE+남/NNP
“지휘세력도	“/SS+지휘/NNG+세력/NNG+도/JX
응징”	응징/NNG+”/SS


# id : NWRW1800000040.370.2.1
남북 군부 직접 나서 강경발언

남북	남북/NNP
군부	군부/NNG
직접	직접/MAG
나서	나서/VV+어/EC
강경발언	강경/NNG+발언/NNG


# id : NWRW1800000040.370.3.1
‘지휘세력 응징’ 공식거론 처음

‘지휘세력	‘/SS+지휘/NNG+세력/NNG
응징’	응징/NNG+’/SS
공식거론	공식/NNG+거론/NNG
처음	처음/NNG


# id : NWRW1800000040.370.4.1
케리 미 국무 “북, 협상 나서라”

케리	케리/NNP
미	미/NNP
국무	국무/NNG
“북,	“/SS+북/NNP+,/SP
협상	협상/NNG
나서라”	나서/VV+어라/EF+”/SS


# id : NWRW1800000040.370.5.1
유엔 오늘 대북제재 결의 예정

유엔	유엔/NNP
오늘	오늘/MAG
대북제재	대북/NNG+제재/NNG
결의	결의/NNG
예정	예정/NNG


# id : NWRW1800000040.370.6.1
북한 군 최고사령부가 정전협정 백지화를 선언한 데 이어 핵공격 가능성까지 언급하며 위협하자, 합동참모본부는 북의 도발시 ‘원점, 지원세력은 물론 지휘세력’까지 단호히 응징하겠다고 밝혔다.

북한	북한/NNP
군	군/NNG
최고사령부가	최고/NNG+사령부/NNG+가/JKS
정전협정	정전/NNG+협정/NNG
백지화를	백지/NNG+화/XSN+를/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
핵공격	핵/NNG+공격/NNG
가능성까지	가능/NNG+성/XSN+까지/JX
언급하며	언급/NNG+하/XSV+며/EC
위협하자,	위협/NNG+하/XSV+자/EC+,/SP
합동참모본부는	합동/NNG+참모/NNG+본부/NNG+는/JX
북의	북/NNP+의/JKG
도발시	도발/NNG+시/NNB
‘원점,	‘/SS+원점/NNG+,/SP
지원세력은	지원/NNG+세력/NNG+은/JX
물론	물론/MAG
지휘세력’까지	지휘/NNG+세력/NNG+’/SS+까지/JX
단호히	단호히/MAG
응징하겠다고	응징/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.370.6.2
북한이 한·미의 연합군사연습에 맞서 다음주 대규모 국가급 훈련을 예고한 가운데 남북의 군부가 직접 나서 강경 발언을 주고받아 긴장이 높아지고 있다.

북한이	북한/NNP+이/JKS
한·미의	한·미/NNP+의/JKG
연합군사연습에	연합/NNG+군사/NNG+연습/NNG+에/JKB
맞서	맞서/VV+어/EC
다음주	다음/NNG+주/NNG
대규모	대/XPN+규모/NNG
국가급	국가급/NNG
훈련을	훈련/NNG+을/JKO
예고한	예고/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
남북의	남북/NNP+의/JKG
군부가	군부/NNG+가/JKS
직접	직접/MAG
나서	나서/VV+어/EC
강경	강경/NNG
발언을	발언/NNG+을/JKO
주고받아	주고받/VV+아/EC
긴장이	긴장/NNG+이/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.370.7.1
김용현 합동참모본부 작전부장(육군 소장)은 6일 국방부 청사에서 “북한이 우리 국민의 생명과 안전을 위협하는 도발을 감행한다면 우리 군은 도발 원점과 도발 지원세력은 물론 그 지휘세력까지 강력하고 단호하게 응징할 것이다.

김용현	김용현/NNP
합동참모본부	합동/NNG+참모/NNG+본부/NNG
작전부장(육군	작전부장/NNG+(/SS+육군/NNG
소장)은	소장/NNG+)/SS+은/JX
6일	6/SN+일/NNB
국방부	국방부/NNG
청사에서	청사/NNG+에서/JKB
“북한이	“/SS+북한/NNP+이/JKS
우리	우리/NP
국민의	국민/NNG+의/JKG
생명과	생명/NNG+과/JC
안전을	안전/NNG+을/JKO
위협하는	위협/NNG+하/XSV+는/ETM
도발을	도발/NNG+을/JKO
감행한다면	감행/NNG+하/XSV+ㄴ다면/EC
군은	군/NNG+은/JX
도발	도발/NNG
원점과	원점/NNG+과/JC
지원세력은	지원/NNG+세력/NNG+은/JX
물론	물론/MAG
그	그/MMD
지휘세력까지	지휘/NNG+세력/NNG+까지/JX
강력하고	강력/NNG+하/XSA+고/EC
단호하게	단호하/VA+게/EC
응징할	응징/NNG+하/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.370.7.2
이를 시행하기 위한 모든 준비를 갖추고 있음을 분명하게 밝힌다”며 ‘북한 최고사령부 성명을 비롯한 북한의 군사위협에 대한 우리 군의 입장’이라는 경고 성명을 발표했다.

이를	이/NP+를/JKO
시행하기	시행/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
모든	모든/MMN
준비를	준비/NNG+를/JKO
갖추고	갖추/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
분명하게	분명/MAG+하/XSA+게/EC
밝힌다”며	밝히/VV+ㄴ다/EF+”/SS+며/EC
‘북한	‘/SS+북한/NNP
최고사령부	최고/NNG+사령부/NNG
성명을	성명/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
북한의	북한/NNP+의/JKG
군사위협에	군사/NNG+위협/NNG+에/JKB
