# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.332
metadata : {}


# id : NWRW1800000049.332.1.1
강남재건축 뜀틀 삼아 서울분양가 高高

강남재건축	강남/NNP+재/XPN+건축/NNG
뜀틀	뜀틀/NNG
삼아	삼/VV+아/EC
서울분양가	서울/NNP+분양/NNG+가/XSN
高高	高高/SH


# id : NWRW1800000049.332.2.1
3.3m²당 2237만원 역대 최고

3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
2237만원	2237/SN+만/NR+원/NNB
역대	역대/NNG
최고	최고/NNG


# id : NWRW1800000049.332.3.1
서울 아파트의 평균 분양가격이 8년 만에 3.3m²당 2000만 원을 뛰어넘어 역대 최고가로 올랐다.

서울	서울/NNP
아파트의	아파트/NNG+의/JKG
평균	평균/NNG
분양가격이	분양/NNG+가격/NNG+이/JKS
8년	8/SN+년/NNB
만에	만/NNB+에/JKB
3.3m²당	3/SN+./SP+3/SN+m²/SW+당/XSN
2000만	2000/SN+만/NR
원을	원/NNB+을/JKO
뛰어넘어	뛰어넘/VV+어/EC
역대	역대/NNG
최고가로	최고/NNG+가/XSN+로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.332.3.2
주택담보대출 규제를 받지 않는 청약시장으로 투자 수요가 몰린 데다 서울 강남권 재건축단지를 중심으로 초고가 분양이 잇따르면서 분양가 상승세가 탄력을 받은 것이다.

주택담보대출	주택/NNG+담보/NNG+대출/NNG
규제를	규제/NNG+를/JKO
받지	받/VV+지/EC
않는	않/VX+는/ETM
청약시장으로	청약/NNG+시장/NNG+으로/JKB
투자	투자/NNG
수요가	수요/NNG+가/JKS
몰린	몰리/VV+ㄴ/ETM
데다	데/NNB+다/JX
서울	서울/NNP
강남권	강남/NNP+권/XSN
재건축단지를	재/XPN+건축/NNG+단지/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
초고가	초/XPN+고가/NNG
분양이	분양/NNG+이/JKS
잇따르면서	잇따르/VV+면서/EC
분양가	분양/NNG+가/XSN
상승세가	상승세/NNG+가/JKS
탄력을	탄력/NNG+을/JKO
받은	받/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.332.4.1
부동산 전문가들은 올해까지는 강남을 중심으로 고분양가 흐름이 이어질 것으로 전망하고 있다.

부동산	부동산/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
올해까지는	올해/NNG+까지/JX+는/JX
강남을	강남/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
고분양가	고/XPN+분양/NNG+가/XSN
흐름이	흐름/NNG+이/JKS
