# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.361
metadata : {}


# id : NWRW1800000046.361.1.1
[국고보조금이 털리고 있다] (1) 멀쩡한 사찰 고쳐준다며 공사비 뻥튀기… 3년간 29억 빼돌린 업자

[국고보조금이	[/SS+국고/NNG+보조금/NNG+이/JKS
털리고	털리/VV+고/EC
있다]	있/VX+다/EF+]/SS
(1)	(/SS+1/SN+)/SS
멀쩡한	멀쩡하/VA+ㄴ/ETM
사찰	사찰/NNG
고쳐준다며	고치/VV+어/EC+주/VX+ㄴ다며/EC
공사비	공사비/NNG
뻥튀기…	뻥튀기/NNG+…/SE
3년간	3/SN+년/NNB+간/XSN
29억	29/SN+억/NR
빼돌린	빼돌리/VV+ㄴ/ETM
업자	업자/NNG


# id : NWRW1800000046.361.2.1
계단·우물 등 살짝 바꾸고 市에 1억9000만원 신청… 사찰측 "오히려 절 망쳐놔"

계단·우물	계단/NNG+·/SP+우물/NNG
등	등/NNB
살짝	살짝/MAG
바꾸고	바꾸/VV+고/EC
市에	市/SH+에/JKB
1억9000만원	1/SN+억/NR+9000/SN+만/NR+원/NNB
신청…	신청/NNG+…/SE
사찰측	사찰/NNG+측/NNB
"오히려	"/SS+오히려/MAG
절	절/NNG
망쳐놔"	망치/VV+어/EC+놓/VX+아/EF+"/SS


# id : NWRW1800000046.361.3.1
경북의 J사찰.

경북의	경북/NNP+의/JKG
J사찰.	J/SL+사찰/NNG+./SF


# id : NWRW1800000046.361.3.2
통일신라 때 처음 지어진 곳으로 1300년 역사를 가지고 있다고 전해진다.

통일신라	통일신라/NNP
때	때/NNG
처음	처음/NNG
지어진	짓/VV+어/EC+지/VX+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
1300년	1300/SN+년/NNB
역사를	역사/NNG+를/JKO
가지고	가지/VV+고/EC
있다고	있/VX+다고/EC
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.361.4.1
경내에 들어서자 황량한 느낌부터 들었다.

경내에	경내/NNG+에/JKB
들어서자	들어서/VV+자/EC
황량한	황량하/VA+ㄴ/ETM
느낌부터	느낌/NNG+부터/JX
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.361.4.2
