# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.5
metadata : {}


# id : NWRW1800000022.5.1.1
[우리 대학 비전을 말한다] 전주대학교 이남식 총장; "학생 스스로 100% 만족하는 대학으로"

[우리	[/SS+우리/NP
대학	대학/NNG
비전을	비전/NNG+을/JKO
말한다]	말/NNG+하/XSV+ㄴ다/EF+]/SS
전주대학교	전주대학교/NNP
이남식	이남식/NNP
총장;	총장/NNG+;/SP
"학생	"/SS+학생/NNG
스스로	스스로/MAG
100%	100/SN+%/SW
만족하는	만족/NNG+하/XSA+는/ETM
대학으로"	대학/NNG+으로/JKB+"/SS


# id : NWRW1800000022.5.2.1
국내 대학 몇 위, 세계 대학 몇 위… 전주대학교의 비전은 이런 남들에게 보여주기 위한 숫자에 연연해 하지 않는다.

국내	국내/NNG
대학	대학/NNG
몇	몇/NR
위,	위/NNB+,/SP
세계	세계/NNG
위…	위/NNB+…/SE
전주대학교의	전주대학교/NNP+의/JKG
비전은	비전/NNG+은/JX
이런	이런/MMD
남들에게	남/NNG+들/XSN+에게/JKB
보여주기	보이/VV+어/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
숫자에	숫자/NNG+에/JKB
연연해	연연하/VV+아/EC
하지	하/VX+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.5.2.2
전주대의 목표는 학생 스스로 100% 만족할 수 있는 대학이 되는 것이다.

전주대의	전주대/NNP+의/JKG
목표는	목표/NNG+는/JX
학생	학생/NNG
스스로	스스로/MAG
100%	100/SN+%/SW
만족할	만족/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대학이	대학/NNG+이/JKC
되는	되/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.5.3.1
이남식(54) 총장은 "학교가 세계 1등이 되는 것은 학생의 자부심을 높여줄 수는 있어도 학생을 1등으로 만들어주진 못한다. 졸업할 때 학생의 역량이 입학 당시와 비교해 크게 달라야 한다"고 역설했다.

이남식(54)	이남식/NNP+(/SS+54/SN+)/SS
총장은	총장/NNG+은/JX
"학교가	"/SS+학교/NNG+가/JKS
세계	세계/NNG
1등이	1/SN+등/NNB+이/JKC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
학생의	학생/NNG+의/JKG
자부심을	자부심/NNG+을/JKO
높여줄	높이/VV+어/EC+주/VX+ㄹ/ETM
수는	수/NNB+는/JX
있어도	있/VA+어도/EC
학생을	학생/NNG+을/JKO
1등으로	1/SN+등/NNB+으로/JKB
만들어주진	만들/VV+어/EC+주/VX+지/EC+ㄴ/JX
못한다.	못하/VX+ㄴ다/EF+./SF
졸업할	졸업/NNG+하/XSV+ㄹ/ETM
때	때/NNG
역량이	역량/NNG+이/JKS
입학	입학/NNG
당시와	당시/NNG+와/JKB
비교해	비교/NNG+하/XSV+아/EC
크게	크/VA+게/EC
달라야	다르/VA+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
역설했다.	역설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.5.3.2
"전주대는 재학생 모두 최고의 인재로 거듭날 수 있도록 끊임없이 혁신을 이뤄내고 있으며 그 성과가 하나씩 실현되고 있다"고 이 총장은 자부한다.

"전주대는	"/SS+전주대/NNP+는/JX
재학생	재학/NNG+생/XSN
모두	모두/MAG
최고의	최고/NNG+의/JKG
인재로	인재/NNG+로/JKB
거듭날	거듭나/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
끊임없이	끊임없이/MAG
혁신을	혁신/NNG+을/JKO
이뤄내고	이루/VV+어/EC+내/VX+고/EC
있으며	있/VX+으며/EC
그	그/MMD
성과가	성과/NNG+가/JKS
하나씩	하나/NR+씩/XSN
실현되고	실현/NNG+되/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
이	이/NNP
총장은	총장/NNG+은/JX
자부한다.	자부/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.5.4.1
교육혁신으로 글로컬 대학 만든다

교육혁신으로	교육/NNG+혁신/NNG+으로/JKB
글로컬	글로컬/NNG
대학	대학/NNG
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000022.5.5.1
전주대에서 '최초'라는 수식어를 찾기란 어려운 일이 아니다.

전주대에서	전주대/NNP+에서/JKB
'최초'라는	'/SS+최초/NNG+'/SS+이/VCP+라는/ETM
수식어를	수식어/NNG+를/JKO
찾기란	찾/VV+기/ETN+란/JX
어려운	어렵/VA+ㄴ/ETM
일이	일/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.5.5.2
전국 최초의 대체의학대학·문화산업대학 신설, 학장공모제 국내 최초 시행, 전국 최초의 자기주도적 학습시스템 개발, 대학 최초 지속가능경영대상 창조경영상 수상, 지역대 최초의 생산형 창업보육센터, 전국 최초 캄보디아에 교육수출 등 굵직한 내용들이 셀 수 없을 정도다.

전국	전국/NNG
최초의	최초/NNG+의/JKG
대체의학대학·문화산업대학	대체/NNG+의학/NNG+대학/NNG+·/SP+문화/NNG+산업/NNG+대학/NNG
신설,	신설/NNG+,/SP
학장공모제	학장/NNG+공모/NNG+제/XSN
국내	국내/NNG
최초	최초/NNG
시행,	시행/NNG+,/SP
자기주도적	자기/NNG+주도/NNG+적/XSN
학습시스템	학습/NNG+시스템/NNG
개발,	개발/NNG+,/SP
대학	대학/NNG
지속가능경영대상	지속/NNG+가능/NNG+경영/NNG+대상/NNG
창조경영상	창조/NNG+경영/NNG+상/NNG
수상,	수상/NNG+,/SP
지역대	지역대/NNG
생산형	생산/NNG+형/XSN
창업보육센터,	창업/NNG+보육/NNG+센터/NNG+,/SP
캄보디아에	캄보디아/NNP+에/JKB
교육수출	교육/NNG+수출/NNG
등	등/NNB
굵직한	굵직하/VA+ㄴ/ETM
내용들이	내용/NNG+들/XSN+이/JKS
셀	세/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.5.6.1
