# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.24
metadata : {}


# id : NWRW1800000033.24.1.1
일본-중국인은 쇼핑,미국인은 술값으로 긁었다

일본-중국인은	일본-중국인/NNG+은/JX
쇼핑,미국인은	쇼핑/NNG+,/SP+미국인/NNG+은/JX
술값으로	술값/NNG+으로/JKB
긁었다	긁/VV+었/EP+다/EF


# id : NWRW1800000033.24.2.1
'외환銀 지난해 외국인 신용카드 결제자료'분석해보니

'외환銀	'/SS+외환銀/NNP
지난해	지난해/NNG
외국인	외국인/NNG
신용카드	신용/NNG+카드/NNG
결제자료'분석해보니	결제/NNG+자료/NNG+'/SS+분석/NNG+하/XSV+아/EC+보/VX+니/EC


# id : NWRW1800000033.24.3.1
한국을 찾는 일본인과 중국인의 최대 관심은 쇼핑이었다.

한국을	한국/NNP+을/JKO
찾는	찾/VV+는/ETM
일본인과	일본인/NNG+과/JKB
중국인의	중국인/NNG+의/JKG
최대	최대/NNG
관심은	관심/NNG+은/JX
쇼핑이었다.	쇼핑/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.24.3.2
미국인은 유흥주점 술값으로 167억 원이나 썼다.

미국인은	미국인/NNG+은/JX
유흥주점	유흥/NNG+주점/NNG
술값으로	술값/NNG+으로/JKB
167억	167/SN+억/NR
원이나	원/NNB+이나/JX
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.24.3.3
싱가포르인은 성형에 큰돈을 썼고 태국인과 홍콩인은 고가의 건강식품을 사는 데 지갑을 활짝 열었다.

싱가포르인은	싱가포르인/NNG+은/JX
성형에	성형/NNG+에/JKB
큰돈을	큰돈/NNG+을/JKO
썼고	쓰/VV+었/EP+고/EC
태국인과	태국인/NNG+과/JC
홍콩인은	홍콩인/NNG+은/JX
고가의	고가/NNG+의/JKG
건강식품을	건강식품/NNG+을/JKO
사는	사/VV+는/ETM
데	데/NNB
지갑을	지갑/NNG+을/JKO
활짝	활짝/MAG
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.24.4.1
동아일보가 외국인 입국자 1000만 명 시대를 맞아 외환은행의 ‘2011년 외국인 카드 사용행태’ 자료를 16일 분석한 결과 국적별로 특징적인 소비행태가 드러나 눈길을 끈다.

동아일보가	동아일보/NNP+가/JKS
외국인	외국인/NNG
입국자	입국자/NNG
1000만	1000/SN+만/NR
명	명/NNB
시대를	시대/NNG+를/JKO
맞아	맞/VV+아/EC
외환은행의	외환은행/NNP+의/JKG
‘2011년	‘/SS+2011/SN+년/NNB
카드	카드/NNG
사용행태’	사용/NNG+행태/NNG+’/SS
자료를	자료/NNG+를/JKO
16일	16/SN+일/NNB
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
국적별로	국적/NNG+별/XSN+로/JKB
특징적인	특징/NNG+적/XSN+이/VCP+ㄴ/ETM
소비행태가	소비/NNG+행태/NNG+가/JKS
드러나	드러나/VV+아/EC
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.24.4.2
외환은행은 지난해 외국인들이 국내에서 쓴 비자, 마스터카드 결제액의 73%인 20억1200만 달러(약 2조3138억 원)를 매입 처리했기 때문에 이처럼 비교적 정확한 외국인 소비정보를 확보할 수 있었다.

외환은행은	외환은행/NNP+은/JX
지난해	지난해/NNG
외국인들이	외국인/NNG+들/XSN+이/JKS
국내에서	국내/NNG+에서/JKB
쓴	쓰/VV+ㄴ/ETM
비자,	비자/NNG+,/SP
마스터카드	마스터/NNG+카드/NNG
결제액의	결제액/NNG+의/JKG
73%인	73/SN+%/SW+이/VCP+ㄴ/ETM
20억1200만	20/SN+억/NR+1200/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
2조3138억	2/SN+조/NR+3138/SN+억/NR
원)를	원/NNB+)/SS+를/JKO
매입	매입/NNG
처리했기	처리/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
이처럼	이/NP+처럼/JKB
비교적	비교/NNG+적/XSN
정확한	정확/NNG+하/XSA+ㄴ/ETM
외국인	외국인/NNG
소비정보를	소비/NNG+정보/NNG+를/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.24.5.1
○ 카드 ‘큰손’은 싱가포르인

○	○/SW
카드	카드/NNG
‘큰손’은	‘/SS+큰손/NNG+’/SS+은/JX
싱가포르인	싱가포르인/NNG


# id : NWRW1800000033.24.6.1
외환은행의 분석 자료에 따르면 지난해 방한한 외국인의 신용카드 사용액은 미국 4380억 원, 일본 4355억 원, 중국 1453억 원 순으로 많았다.

외환은행의	외환은행/NNP+의/JKG
분석	분석/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
방한한	방한/NNG+하/XSV+ㄴ/ETM
외국인의	외국인/NNG+의/JKG
신용카드	신용/NNG+카드/NNG
사용액은	사용액/NNG+은/JX
미국	미국/NNP
4380억	4380/SN+억/NR
원,	원/NNB+,/SP
일본	일본/NNP
4355억	4355/SN+억/NR
중국	중국/NNP
1453억	1453/SN+억/NR
원	원/NNB
순으로	순/NNB+으로/JKB
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.24.6.2
국내 유통업계에서 큰손으로 통하는 중국인의 카드 사용실적이 생각보다 적은 것에 대해 카드업계 관계자는 “중국은 아직 카드 결제가 보편화되지 않은 나라”라며 “사용기록이 고스란히 남는 신용카드보다 현금 결제를 더 좋아하는 편”이라고 말했다.

국내	국내/NNG
유통업계에서	유통업/NNG+계/XSN+에서/JKB
큰손으로	큰손/NNG+으로/JKB
통하는	통하/VV+는/ETM
중국인의	중국인/NNG+의/JKG
카드	카드/NNG
사용실적이	사용/NNG+실적/NNG+이/JKS
생각보다	생각/NNG+보다/JKB
적은	적/VA+은/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
카드업계	카드업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“중국은	“/SS+중국/NNP+은/JX
아직	아직/MAG
