# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.94
metadata : {}


# id : NWRW1800000046.94.1.1
[추억人] '영국판 쉰들러 리스트' 니컬러스 윈턴 卿

[추억人]	[/SS+추억/NNG+人/SH+]/SS
'영국판	'/SS+영국판/NNG
쉰들러	쉰들러/NNP
리스트'	리스트/NNG+'/SS
니컬러스	니컬러스/NNP
윈턴	윈턴/NNP
卿	卿/SH


# id : NWRW1800000046.94.2.1
어린이 669명 구하고도 250명은 놓쳐 죄책감에 괴로워하며 50년이나 숨겨

어린이	어린이/NNG
669명	669/SN+명/NNB
구하고도	구하/VV+고/EC+도/JX
250명은	250/SN+명/NNB+은/JX
놓쳐	놓치/VV+어/EC
죄책감에	죄책감/NNG+에/JKB
괴로워하며	괴로워하/VV+며/EC
50년이나	50/SN+년/NNB+이나/JX
숨겨	숨기/VV+어/EF


# id : NWRW1800000046.94.3.1
2차 세계대전 발발 직전, 나치의 눈을 피해 체코슬로바키아에서 유대인 어린이 669명을 영국으로 탈출시킨 '영국판 쉰들러 리스트'의 주인공 니컬러스 윈턴 경이 1일 106세로 세상을 떠났다.

2차	2/SN+차/NNB
세계대전	세계/NNG+대전/NNG
발발	발발/NNG
직전,	직전/NNG+,/SP
나치의	나치/NNP+의/JKG
눈을	눈/NNG+을/JKO
피해	피하/VV+아/EC
체코슬로바키아에서	체코슬로바키아/NNP+에서/JKB
유대인	유대인/NNP
어린이	어린이/NNG
669명을	669/SN+명/NNB+을/JKO
영국으로	영국/NNP+으로/JKB
탈출시킨	탈출/NNG+시키/XSV+ㄴ/ETM
'영국판	'/SS+영국판/NNG
쉰들러	쉰들러/NNP
리스트'의	리스트/NNG+'/SS+의/JKG
주인공	주인공/NNG
니컬러스	니컬러스/NNP
윈턴	윈턴/NNP
경이	경/NNG+이/JKS
1일	1/SN+일/NNB
106세로	106/SN+세/NNB+로/JKB
세상을	세상/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.4.1
그는 1909년 영국에서 부유한 독일계 유대인 가정의 자녀로 태어났다.

그는	그/NP+는/JX
1909년	1909/SN+년/NNB
영국에서	영국/NNP+에서/JKB
부유한	부유/NNG+하/XSA+ㄴ/ETM
독일계	독일/NNP+계/XSN
유대인	유대인/NNP
가정의	가정/NNG+의/JKG
자녀로	자녀/NNG+로/JKB
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.4.2
성인이 된 뒤 독일·프랑스 은행에서 국제금융 업무를 담당하다가 영국으로 돌아와 주식 중개인으로서 안정적 경력을 쌓았다.

성인이	성인/NNG+이/JKC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
독일·프랑스	독일/NNP+·/SP+프랑스/NNP
은행에서	은행/NNG+에서/JKB
국제금융	국제/NNG+금융/NNG
업무를	업무/NNG+를/JKO
담당하다가	담당/NNG+하/XSV+다가/EC
영국으로	영국/NNP+으로/JKB
돌아와	돌아오/VV+아/EC
주식	주식/NNG
중개인으로서	중개인/NNG+으로서/JKB
안정적	안정/NNG+적/XSN
경력을	경력/NNG+을/JKO
쌓았다.	쌓/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.94.4.3
안락한 삶을 즐기던 그는 1938년 12월 인생의 전환점을 맞는다.

안락한	안락/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
즐기던	즐기/VV+던/ETM
그는	그/NP+는/JX
1938년	1938/SN+년/NNB
12월	12/SN+월/NNB
인생의	인생/NNG+의/JKG
전환점을	전환점/NNG+을/JKO
맞는다.	맞/VV+는다/EF+./SF


# id : NWRW1800000046.94.4.4
당시 그는 크리스마스에 스위스로 스키 여행 갈 계획을 세우고 있었는데, 체코슬로바키아에서 유대인 난민들을 위해 자원봉사하던 친구가 도와달라고 부탁한 것이다.

당시	당시/NNG
그는	그/NP+는/JX
크리스마스에	크리스마스/NNG+에/JKB
스위스로	스위스/NNP+로/JKB
스키	스키/NNG
여행	여행/NNG
갈	가/VV+ㄹ/ETM
계획을	계획/NNG+을/JKO
세우고	세우/VV+고/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
체코슬로바키아에서	체코슬로바키아/NNP+에서/JKB
유대인	유대인/NNP
