# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.229
metadata : {}


# id : NWRW1800000038.229.1.1
"절반은 2군 남는다…" 알에서 깬 공룡, 생존 경쟁

"절반은	"/SS+절반/NNG+은/JX
2군	2/SN+군/NNG
남는다…"	남/VV+는다/EF+…/SE+"/SS
알에서	알/NNG+에서/JKB
깬	깨/VV+ㄴ/ETM
공룡,	공룡/NNG+,/SP
생존	생존/NNG
경쟁	경쟁/NNG


# id : NWRW1800000038.229.2.1
프로야구 1군 합류 NC 다이노스, 새해 첫 훈련 현장

프로야구	프로/NNG+야구/NNG
1군	1/SN+군/NNG
합류	합류/NNG
NC	NC/SL
다이노스,	다이노스/NNP+,/SP
새해	새해/NNG
첫	첫/MMN
훈련	훈련/NNG
현장	현장/NNG


# id : NWRW1800000038.229.3.1
"자세가 많이 좋아졌네!" "공을 잡을 때 다리가 꼬이잖아, 정신 차려!"

"자세가	"/SS+자세/NNG+가/JKS
많이	많이/MAG
좋아졌네!"	좋/VA+아/EC+지/VX+었/EP+네/EF+!/SF+"/SS
"공을	"/SS+공/NNG+을/JKO
잡을	잡/VV+을/ETM
때	때/NNG
다리가	다리/NNG+가/JKS
꼬이잖아,	꼬이/VV+잖아/EF+,/SP
정신	정신/NNG
차려!"	차리/VV+어/EF+!/SF+"/SS


# id : NWRW1800000038.229.4.1
9일 경남 창원 마산야구장.

9일	9/SN+일/NNB
경남	경남/NNP
창원	창원/NNP
마산야구장.	마산야구장/NNP+./SF


# id : NWRW1800000038.229.4.2
코치들의 칭찬과 질책이 여기저기서 동시에 쏟아졌다.

코치들의	코치/NNG+들/XSN+의/JKG
칭찬과	칭찬/NNG+과/JC
질책이	질책/NNG+이/JKS
여기저기서	여기저기/NNG+서/JKB
동시에	동시/NNG+에/JKB
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.229.4.3
올해부터 1군 리그에 합류하는 NC 다이노스가 새해 훈련을 시작했다.

올해부터	올해/NNG+부터/JX
1군	1/SN+군/NNG
리그에	리그/NNG+에/JKB
합류하는	합류/NNG+하/XSV+는/ETM
NC	NC/SL
다이노스가	다이노스/NNP+가/JKS
새해	새해/NNG
훈련을	훈련/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.4.4
운동장 곳곳에는 아직 녹지 않은 눈이 남아 있을 정도로 차가운 날씨였다.

운동장	운동장/NNG
곳곳에는	곳곳/NNG+에/JKB+는/JX
아직	아직/MAG
녹지	녹/VV+지/EC
않은	않/VX+은/ETM
눈이	눈/NNG+이/JKS
남아	남/VV+아/EC
있을	있/VX+을/ETM
정도로	정도/NNG+로/JKB
차가운	차갑/VA+ㄴ/ETM
날씨였다.	날씨/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.229.5.1
하지만 오전 9시 30분부터 훈련이 시작되자 선수들은 이 순간을 기다렸다는 듯 힘차게 움직였다.

하지만	하지만/MAJ
오전	오전/NNG
9시	9/SN+시/NNB
30분부터	30/SN+분/NNB+부터/JX
훈련이	훈련/NNG+이/JKS
시작되자	시작/NNG+되/XSV+자/EC
선수들은	선수/NNG+들/XSN+은/JX
이	이/MMD
순간을	순간/NNG+을/JKO
기다렸다는	기다리/VV+었/EP+다는/ETM
듯	듯/NNB
힘차게	힘차/VA+게/EC
움직였다.	움직이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.229.5.2
투수조 19명이 캐치볼, 달리기 훈련을 하는 동안, 야수들은 송구와 내야 펑고 등 수비 훈련을 했다.

투수조	투수조/NNG
19명이	19/SN+명/NNB+이/JKS
캐치볼,	캐치볼/NNG+,/SP
달리기	달리기/NNG
훈련을	훈련/NNG+을/JKO
하는	하/VV+는/ETM
동안,	동안/NNG+,/SP
야수들은	야수/NNG+들/XSN+은/JX
송구와	송구/NNG+와/JC
내야	내야/NNG
펑고	펑고/NNG
등	등/NNB
수비	수비/NNG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.5.3
야수조는 14명씩 A, B조로 나뉘어 훈련했다.

야수조는	야수조/NNG+는/JX
14명씩	14/SN+명/NNB+씩/XSN
A,	A/SL+,/SP
B조로	B/SL+조/NNG+로/JKB
나뉘어	나뉘/VV+어/EC
훈련했다.	훈련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.229.5.4
A조가 타격 훈련을 하는 동안 B조 선수들이 부랴부랴 점심을 해결하고 교대했다.

