# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.113
metadata : {}


# id : NWRW1800000038.113.1.1
[월요바둑] "여성 바둑 첫 500勝 절대 양보 못해"

[월요바둑]	[/SS+월요/NNG+바둑/NNG+]/SS
"여성	"/SS+여성/NNG
바둑	바둑/NNG
첫	첫/MMN
500勝	500/SN+勝/SH
절대	절대/MAG
양보	양보/NNG
못해"	못/MAG+하/VV+아/EF+"/SS


# id : NWRW1800000038.113.2.1
박지은 22승·조혜연 25승 남아… 내년 중반쯤 주인공 나올 듯

박지은	박지은/NNP
22승·조혜연	22/SN+승/NNB+·/SP+조혜연/NNP
25승	25/SN+승/NNB
남아…	남/VV+아/EC+…/SE
내년	내년/NNG
중반쯤	중반/NNG+쯤/XSN
주인공	주인공/NNG
나올	나오/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000038.113.3.1
"500승 고지는 내가 먼저 오른다." 여성 바둑계 쌍두마차 박지은(30) 九단과 조혜연(28) 九단 사이에 통산 500승 선점 경쟁이 불붙었다.

"500승	"/SS+500/SN+승/NNB
고지는	고지/NNG+는/JX
내가	내/NP+가/JKS
먼저	먼저/MAG
오른다."	오르/VV+ㄴ다/EF+./SF+"/SS
여성	여성/NNG
바둑계	바둑/NNG+계/XSN
쌍두마차	쌍두마차/NNG
박지은(30)	박지은/NNP+(/SS+30/SN+)/SS
九단과	九/SH+단/NNG+과/JC
조혜연(28)	조혜연/NNP+(/SS+28/SN+)/SS
九단	九/SH+단/NNG
사이에	사이/NNG+에/JKB
통산	통산/NNG
500승	500/SN+승/NNB
선점	선점/NNG
경쟁이	경쟁/NNG+이/JKS
불붙었다.	불붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.113.3.2
현재 박지은은 478승(2무 357패), 조혜연은 475승(1무 363패)을 기록 중이다(이하 8월 25일 기준).

현재	현재/MAG
박지은은	박지은/NNP+은/JX
478승(2무	478/SN+승/NNB+(/SS+2/SN+무/NNB
357패),	357/SN+패/NNB+)/SS+,/SP
조혜연은	조혜연/NNP+은/JX
475승(1무	475/SN+승/NNB+(/SS+1/SN+무/NNB
363패)을	363/SN+패/NNB+)/SS+을/JKO
기록	기록/NNG
중이다(이하	중/NNB+이/VCP+다/EF+(/SS+이하/NNG
8월	8/SN+월/NNB
25일	25/SN+일/NNB
기준).	기준/NNG+)/SS+./SF


# id : NWRW1800000038.113.3.3
중국에 복귀한 루이나이웨이(芮乃偉)의 국내 기록이 448승(262패)으로 마감됐고, 선두 추격자 김혜민은 아직 305승에 불과하다.

중국에	중국/NNP+에/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
루이나이웨이(芮乃偉)의	루이나이웨이/NNP+(/SS+芮乃偉/SH+)/SS+의/JKG
국내	국내/NNG
기록이	기록/NNG+이/JKS
448승(262패)으로	448/SN+승/NNB+(/SS+262/SN+패/NNB+)/SS+으로/JKB
마감됐고,	마감/NNG+되/XSV+었/EP+고/EC+,/SP
선두	선두/NNG
추격자	추격자/NNG
김혜민은	김혜민/NNP+은/JX
아직	아직/MAG
305승에	305/SN+승/NNB+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000038.113.4.1
전체 다승 1~3위인 조훈현(1899승) 이창호(1644승) 서봉수(1537승)의 기록엔 비할 수 없지만 첫 '여성 500승'의 상징성은 제법 크다.

전체	전체/NNG
다승	다승/NNG
