# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.154
metadata : {}


# id : NWRW1800000026.154.1.1
민병철 교수, 제자들과 거리에서 '에티켓 운동';"G20 열리는 나라답게 국격 높여야죠"

민병철	민병철/NNP
교수,	교수/NNG+,/SP
제자들과	제자/NNG+들/XSN+과/JKB
거리에서	거리/NNG+에서/JKB
'에티켓	'/SS+에티켓/NNG
운동';"G20	운동/NNG+'/SS+;/SW+"/SS+G/SL+20/SN
열리는	열리/VV+는/ETM
나라답게	나라/NNG+답/XSA+게/EC
국격	국격/NNG
높여야죠"	높이/VV+어야지/EF+요/JX+"/SS


# id : NWRW1800000026.154.2.1
민병철(59) 건국대 교수가 오는 11월 서울서 열리는 '2010 G20 정상회의'를 앞두고 제자들과 함께 '글로벌 에티켓' 운동에 나선다.

민병철(59)	민병철/NNP+(/SS+59/SN+)/SS
건국대	건국대/NNP
교수가	교수/NNG+가/JKS
오는	오/VV+는/ETM
11월	11/SN+월/NNB
서울서	서울/NNP+서/JKB
열리는	열리/VV+는/ETM
'2010	'/SS+2010/SN
G20	G/SL+20/SN
정상회의'를	정상/NNG+회의/NNG+'/SS+를/JKO
앞두고	앞두/VV+고/EC
제자들과	제자/NNG+들/XSN+과/JKB
함께	함께/MAG
'글로벌	'/SS+글로벌/NNG
에티켓'	에티켓/NNG+'/SS
운동에	운동/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.154.2.2
민 교수는 건국대 국제학부에서 비즈니스 영어수업을 듣는 제자들과 함께 6일부터 서울 시내를 돌며 시민들에게 글로벌 예절에 대해 설명할 계획이다.

민	민/NNP
교수는	교수/NNG+는/JX
건국대	건국대/NNP
국제학부에서	국제학부/NNG+에서/JKB
비즈니스	비즈니스/NNG
영어수업을	영어/NNP+수업/NNG+을/JKO
듣는	듣/VV+는/ETM
제자들과	제자/NNG+들/XSN+과/JKB
함께	함께/MAG
6일부터	6/SN+일/NNB+부터/JX
서울	서울/NNP
시내를	시내/NNG+를/JKO
돌며	돌/VV+며/EC
시민들에게	시민/NNG+들/XSN+에게/JKB
글로벌	글로벌/NNG
예절에	예절/NNG+에/JKB
대해	대하/VV+아/EC
설명할	설명/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.154.3.1
