# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.236
metadata : {}


# id : NWRW1800000044.236.1.1
방통위, 지상파 광고총량제 도입 “방송 상업화 가속” 우려 목소리

방통위,	방통위/NNG+,/SP
지상파	지상파/NNG
광고총량제	광고/NNG+총량/NNG+제/XSN
도입	도입/NNG
“방송	“/SS+방송/NNG
상업화	상업/NNG+화/XSN
가속”	가속/NNG+”/SS
우려	우려/NNG
목소리	목소리/NNG


# id : NWRW1800000044.236.2.1
[한겨레] 총량만 제한…횟수·시간 등 자율화

[한겨레]	[/SS+한겨레/NNP+]/SS
총량만	총량/NNG+만/JX
제한…횟수·시간	제한/NNG+…/SE+횟수/NNG+·/SP+시간/NNG
등	등/NNB
자율화	자율/NNG+화/XSN


# id : NWRW1800000044.236.3.1
언론단체 “시청권 침해할 것” 지적

언론단체	언론/NNG+단체/NNG
“시청권	“/SS+시청/NNG+권/XSN
침해할	침해/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS
지적	지적/NNG


# id : NWRW1800000044.236.4.1
중간광고 도입은 당분간 보류키로

중간광고	중간/NNG+광고/NNG
도입은	도입/NNG+은/JX
당분간	당분간/MAG
보류키로	보류/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000044.236.5.1
방송통신위원회(방통위)가 지상파 방송사에 대해 ‘광고 총량제’를 올해 안에 도입하기로 해 논란이 되고 있다.

방송통신위원회(방통위)가	방송/NNG+통신/NNG+위원회/NNG+(/SS+방통위/NNG+)/SS+가/JKS
지상파	지상파/NNG
방송사에	방송사/NNG+에/JKB
대해	대하/VV+아/EC
‘광고	‘/SS+광고/NNG
총량제’를	총량/NNG+제/XSN+’/SS+를/JKO
올해	올해/NNG
안에	안/NNG+에/JKB
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
해	하/VV+아/EC
논란이	논란/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.236.5.2
광고 총량제는 총 광고량을 법으로 제한하는 대신 광고 횟수나 시간 등을 방송사들이 자율적으로 결정하는 방식이다.

광고	광고/NNG
총량제는	총량/NNG+제/XSN+는/JX
총	총/MMA
광고량을	광고량/NNG+을/JKO
법으로	법/NNG+으로/JKB
제한하는	제한/NNG+하/XSV+는/ETM
대신	대신/NNG
횟수나	횟수/NNG+나/JC
시간	시간/NNG
등을	등/NNB+을/JKO
방송사들이	방송사/NNG+들/XSN+이/JKS
자율적으로	자율/NNG+적/XSN+으로/JKB
결정하는	결정/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.236.5.3
언론단체들은 방송의 상업화를 우려하고 있다.

언론단체들은	언론/NNG+단체/NNG+들/XSN+은/JX
방송의	방송/NNG+의/JKG
상업화를	상업/NNG+화/XSN+를/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.236.6.1
최성준 방통위 위원장은 4일 ‘3기 방통위 비전 및 주요 정책과제’를 발표하면서 “올해 안에 지상파 방송에 대한 광고 총량제를 실시하겠다”고 밝혔다.

최성준	최성준/NNP
방통위	방통위/NNG
위원장은	위원장/NNG+은/JX
4일	4/SN+일/NNB
‘3기	‘/SS+3/SN+기/NNG
비전	비전/NNG
및	및/MAG
주요	주요/NNG
정책과제’를	정책/NNG+과제/NNG+’/SS+를/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
“올해	“/SS+올해/NNG
안에	안/NNG+에/JKB
지상파	지상파/NNG
방송에	방송/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
광고	광고/NNG
총량제를	총량/NNG+제/XSN+를/JKO
실시하겠다”고	실시/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.236.6.2
광고 총량제는 방송법 시행령 개정으로 도입이 가능하기 때문에 국회 통과 절차가 필요 없다.

광고	광고/NNG
총량제는	총량/NNG+제/XSN+는/JX
방송법	방송법/NNG
시행령	시행령/NNG
개정으로	개정/NNG+으로/JKB
도입이	도입/NNG+이/JKS
가능하기	가능/NNG+하/XSA+기/ETN
때문에	때문/NNB+에/JKB
국회	국회/NNG
통과	통과/NNG
절차가	절차/NNG+가/JKS
필요	필요/NNG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.236.7.1
현행 지상파 방송 광고는 광고 유형별로 규제를 받는다.

현행	현행/NNG
지상파	지상파/NNG
방송	방송/NNG
광고는	광고/NNG+는/JX
광고	광고/NNG
유형별로	유형/NNG+별/XSN+로/JKB
규제를	규제/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000044.236.7.2
60분짜리 프로그램을 기준으로 보면, 시작 타이틀과 본방송 시작 사이에 나가는 프로그램 광고는 6분(방송시간 10%) 이내이다.

60분짜리	60/SN+분/NNB+짜리/XSN
프로그램을	프로그램/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
보면,	보/VV+면/EC+,/SP
시작	시작/NNG
타이틀과	타이틀/NNG+과/JC
본방송	본방송/NNG
사이에	사이/NNG+에/JKB
나가는	나가/VV+는/ETM
프로그램	프로그램/NNG
광고는	광고/NNG+는/JX
6분(방송시간	6/SN+분/NNB+(/SS+방송/NNG+시간/NNG
10%)	10/SN+%/SW+)/SS
이내이다.	이내/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.236.7.3
여기에 다른 프로그램과의 사이에 나가는 토막광고(매시간 2회, 3분)와 자막광고(매시간 4회, 40초), 시보광고(매시간 2회, 20초) 등을 더하더라도 60분짜리 프로그램의 광고 시간은 최대 10분으로 제한된다.

여기에	여기/NP+에/JKB
다른	다른/MMD
프로그램과의	프로그램/NNG+과/JKB+의/JKG
사이에	사이/NNG+에/JKB
나가는	나가/VV+는/ETM
토막광고(매시간	토막/NNG+광고/NNG+(/SS+매시간/NNG
2회,	2/SN+회/NNB+,/SP
3분)와	3/SN+분/NNB+)/SS+와/JC
자막광고(매시간	자막/NNG+광고/NNG+(/SS+매시간/NNG
4회,	4/SN+회/NNB+,/SP
40초),	40/SN+초/NNB+)/SS+,/SP
시보광고(매시간	시보/NNG+광고/NNG+(/SS+매시간/NNG
20초)	20/SN+초/NNB+)/SS
등을	등/NNB+을/JKO
더하더라도	더/MAG+하/XSV+더라도/EC
60분짜리	60/SN+분/NNB+짜리/XSN
프로그램의	프로그램/NNG+의/JKG
광고	광고/NNG
시간은	시간/NNG+은/JX
최대	최대/NNG
10분으로	10/SN+분/NNB+으로/JKB
제한된다.	제한/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.236.7.4
인기 드라마에 붙는 광고는 값이 비싸, 방송사들은 드라마에 광고를 집중배치할 수 있는 광고 총량제의 도입을 요구해 왔다.

인기	인기/NNG
드라마에	드라마/NNG+에/JKB
붙는	붙/VV+는/ETM
광고는	광고/NNG+는/JX
값이	값/NNG+이/JKS
비싸,	비싸/VA+아/EC+,/SP
방송사들은	방송사/NNG+들/XSN+은/JX
광고를	광고/NNG+를/JKO
집중배치할	집중/NNG+배치/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
광고	광고/NNG
총량제의	총량/NNG+제/XSN+의/JKG
도입을	도입/NNG+을/JKO
요구해	요구/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.236.8.1
방통위는 광고 총량제 도입 이유의 하나로 “한류 동력의 저하”를 들고 있다.

방통위는	방통위/NNG+는/JX
광고	광고/NNG
총량제	총량/NNG+제/XSN
도입	도입/NNG
이유의	이유/NNG+의/JKG
하나로	하나/NR+로/JKB
“한류	“/SS+한류/NNG
동력의	동력/NNG+의/JKG
저하”를	저하/NNG+”/SS+를/JKO
들고	들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.236.8.2
광고가 축소되면 방송 콘텐츠의 질이 떨어지고 그에 따라 한류 확산에 장애가 생긴다는 것이다.

광고가	광고/NNG+가/JKS
축소되면	축소/NNG+되/XSV+면/EC
방송	방송/NNG
콘텐츠의	콘텐츠/NNG+의/JKG
질이	질/NNG+이/JKS
떨어지고	떨어지/VV+고/EC
그에	그/NP+에/JKB
따라	따르/VV+아/EC
한류	한류/NNG
확산에	확산/NNG+에/JKB
장애가	장애/NNG+가/JKS
생긴다는	생기/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.236.8.3
다만, 논란이 예상되는 중간광고는 “광고시장과 시청권에 대한 영향 등을 감안해 다양한 방안을 검토해야 한다”며 당분간 결정을 보류했다.

다만,	다만/MAG+,/SP
논란이	논란/NNG+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
중간광고는	중간/NNG+광고/NNG+는/JX
“광고시장과	“/SS+광고/NNG+시장/NNG+과/JC
시청권에	시청/NNG+권/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
영향	영향/NNG
등을	등/NNB+을/JKO
감안해	감안/NNG+하/XSV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
방안을	방안/NNG+을/JKO
검토해야	검토/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
당분간	당분간/MAG
결정을	결정/NNG+을/JKO
보류했다.	보류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.236.8.4
하지만 이미 광고 총량제를 실시하고 있는 종합편성채널(종편) 등을 볼 때 지상파의 중간광고 도입은 시간문제로 보인다.

하지만	하지만/MAJ
이미	이미/MAG
광고	광고/NNG
총량제를	총량/NNG+제/XSN+를/JKO
실시하고	실시/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
종합편성채널(종편)	종합/NNG+편성/NNG+채널/NNG+(/SS+종편/NNG+)/SS
등을	등/NNB+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
지상파의	지상파/NNG+의/JKG
중간광고	중간/NNG+광고/NNG
도입은	도입/NNG+은/JX
시간문제로	시간문제/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.236.9.1
이번 방통위 결정을 보는 지상파와 유료방송 사업자의 시각은 엇갈린다.

이번	이번/NNG
방통위	방통위/NNG
결정을	결정/NNG+을/JKO
보는	보/VV+는/ETM
지상파와	지상파/NNG+와/JC
유료방송	유료/NNG+방송/NNG
사업자의	사업자/NNG+의/JKG
시각은	시각/NNG+은/JX
엇갈린다.	엇갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.236.9.2
지상파 쪽은 광고 규제가 사라지니 ‘앓던 이’가 빠진 상황이다.

지상파	지상파/NNG
쪽은	쪽/NNB+은/JX
광고	광고/NNG
규제가	규제/NNG+가/JKS
사라지니	사라지/VV+니/EC
‘앓던	‘/SS+앓/VV+던/ETM
이’가	이/NNG+’/SS+가/JKS
빠진	빠지/VV+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.236.9.3
한 지상파 방송사 관계자는 “반대하지는 않는다”며 우회적으로 환영의 뜻을 표시했다.

한	한/MMN
지상파	지상파/NNG
방송사	방송사/NNG
관계자는	관계자/NNG+는/JX
“반대하지는	“/SS+반대/NNG+하/XSV+지/EC+는/JX
않는다”며	않/VX+는다/EF+”/SS+며/EC
우회적으로	우회/NNG+적/XSN+으로/JKB
환영의	환영/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.236.9.4
하지만 유료방송 사업자 모임인 방송채널사용사업자(PP)협의회는 이날 성명을 내어 “지상파 광고 총량제가 실시되면 지상파 3사가 연간 약 1000억원 규모의 추가 수익을 올리게 될 것으로 예상된다”며 “그만큼 유료방송 사업자들은 광고매출이 줄어들 것”이라고 주장했다.

하지만	하지만/MAJ
유료방송	유료/NNG+방송/NNG
사업자	사업자/NNG
모임인	모임/NNG+이/VCP+ㄴ/ETM
방송채널사용사업자(PP)협의회는	방송/NNG+채널/NNG+사용/NNG+사업자/NNG+(/SS+PP/SL+)/SS+협의회/NNG+는/JX
이날	이날/NNG
성명을	성명/NNG+을/JKO
내어	내/VV+어/EC
“지상파	“/SS+지상파/NNG
광고	광고/NNG
총량제가	총량/NNG+제/XSN+가/JKS
