# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.204
metadata : {}


# id : NWRW1800000054.204.1.1
[서초동 24시] "北 해킹 막아라" 대검서 열공하는 외교부 사무관

[서초동	[/SS+서초동/NNP
24시]	24/SN+시/NNB+]/SS
"北	"/SS+北/SH
해킹	해킹/NNG
막아라"	막/VV+아라/EF+"/SS
대검서	대검/NNG+서/JKB
열공하는	열공/NNG+하/XSV+는/ETM
외교부	외교부/NNG
사무관	사무관/NNG


# id : NWRW1800000054.204.2.1
해킹 대응할 전문가 양성, 디지털포렌식 교육 받아

해킹	해킹/NNG
대응할	대응/NNG+하/XSV+ㄹ/ETM
전문가	전문가/NNG
양성,	양성/NNG+,/SP
디지털포렌식	디지털포렌식/NNG
교육	교육/NNG
받아	받/VV+아/EF


# id : NWRW1800000054.204.3.1
지난 7월 31일 오전 말쑥한 정장 차림의 한 외교부 사무관이 서울 서초동 대검찰청 디지털포렌식센터 교육실에 들어섰다.

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
31일	31/SN+일/NNB
오전	오전/NNG
말쑥한	말쑥하/VA+ㄴ/ETM
정장	정장/NNG
차림의	차림/NNG+의/JKG
한	한/MMN
외교부	외교부/NNG
사무관이	사무관/NNG+이/JKS
서울	서울/NNP
서초동	서초동/NNP
대검찰청	대/XPN+검찰청/NNG
디지털포렌식센터	디지털포렌식/NNG+센터/NNG
교육실에	교육실/NNG+에/JKB
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.204.3.2
강의가 시작되자 외교부 사무관은 두꺼운 노트에 복잡한 전문 용어 등을 빼곡히 적어 내려갔다.

강의가	강의/NNG+가/JKS
시작되자	시작/NNG+되/XSV+자/EC
외교부	외교부/NNG
사무관은	사무관/NNG+은/JX
두꺼운	두껍/VA+ㄴ/ETM
노트에	노트/NNG+에/JKB
복잡한	복잡하/VA+ㄴ/ETM
전문	전문/NNG
용어	용어/NNG
등을	등/NNB+을/JKO
빼곡히	빼곡히/MAG
적어	적/VV+어/EC
내려갔다.	내려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.204.3.3
이 사무관은 앞으로 6개월간 대검에서 디지털포렌식 교육을 받게 된다.

이	이/MMD
사무관은	사무관/NNG+은/JX
앞으로	앞/NNG+으로/JKB
6개월간	6/SN+개월/NNB+간/XSN
대검에서	대검/NNG+에서/JKB
디지털포렌식	디지털포렌식/NNG
교육을	교육/NNG+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.204.3.4
디지털포렌식 기술은 컴퓨터 및 휴대전화 등 디지털 기기에서 각종 정보를 복원하고 추출하는 것으로 주로 범죄 수사에 이용된다.

디지털포렌식	디지털포렌식/NNG
기술은	기술/NNG+은/JX
컴퓨터	컴퓨터/NNG
및	및/MAG
휴대전화	휴대/NNG+전화/NNG
등	등/NNB
디지털	디지털/NNG
기기에서	기기/NNG+에서/JKB
각종	각종/NNG
정보를	정보/NNG+를/JKO
복원하고	복원/NNG+하/XSV+고/EC
추출하는	추출/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
주로	주로/MAG
범죄	범죄/NNG
수사에	수사/NNG+에/JKB
이용된다.	이용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.204.4.1
대검 관계자는 "외교부가 작년부터 외부의 해킹 공격에 즉각 대응할 수 있는 자체 전문가를 양성하고 싶다면서 포렌식 교육 참가 의사를 밝혀 왔다"며 "외교부 공무원이 참여한 것은 이번이 처음"이라고 했다.

대검	대검/NNG
관계자는	관계자/NNG+는/JX
"외교부가	"/SS+외교부/NNG+가/JKS
작년부터	작년/NNG+부터/JX
외부의	외부/NNG+의/JKG
해킹	해킹/NNG
공격에	공격/NNG+에/JKB
즉각	즉각/MAG
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자체	자체/NNG
전문가를	전문가/NNG+를/JKO
양성하고	양성/NNG+하/XSV+고/EC
싶다면서	싶/VX+다면서/EC
포렌식	포렌식/NNG
교육	교육/NNG
참가	참가/NNG
의사를	의사/NNG+를/JKO
밝혀	밝히/VV+어/EC
왔다"며	오/VX+았/EP+다/EF+"/SS+며/EC
"외교부	"/SS+외교부/NNG
공무원이	공무원/NNG+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음"이라고	처음/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.204.5.1
외교부는 지난해 초부터 크고 작은 해킹 시도에 시달려 왔다.

외교부는	외교부/NNG+는/JX
지난해	지난해/NNG
초부터	초/NNB+부터/JX
크고	크/VA+고/EC
작은	작/VA+은/ETM
해킹	해킹/NNG
시도에	시도/NNG+에/JKB
시달려	시달리/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.204.5.2
북한 해킹 조직은 작년 1~6월 외교부·국방부 공무원 등 90명의 이메일 계정에 대한 해킹 작업을 벌여 56명의 이메일 비밀번호를 빼내 갔다.

북한	북한/NNP
해킹	해킹/NNG
조직은	조직/NNG+은/JX
작년	작년/NNG
1~6월	1/SN+~/SO+6/SN+월/NNB
외교부·국방부	외교부/NNG+·/SP+국방부/NNG
공무원	공무원/NNG
등	등/NNB
90명의	90/SN+명/NNB+의/JKG
이메일	이메일/NNG
계정에	계정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
작업을	작업/NNG+을/JKO
벌여	벌이/VV+어/EC
56명의	56/SN+명/NNB+의/JKG
비밀번호를	비밀번호/NNG+를/JKO
빼내	빼내/VV+어/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.204.5.3
올 3월엔 중국 해커 조직이 한국의 사드(고고도 미사일 방어체계) 배치와 관련해 한국에 대한 사이버 보복을 예고한 일도 있었다.

올	올/NNG
