# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.97
metadata : {}


# id : NWRW1800000046.97.1.1
"北의 대인(對人) 지뢰 도발은 야만의 극치"

"北의	"/SS+北/SH+의/JKG
그 고통을 외면할 수 없어 나섰는데 벌써 20년이 다 돼 가네요."

그	그/MMD
고통을	고통/NNG+을/JKO
외면할	외면/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
나섰는데	나서/VV+었/EP+는데/EC
벌써	벌써/MAG
20년이	20/SN+년/NNB+이/JKS
다	다/MAG
돼	되/VV+어/EC
가네요."	가/VX+네요/EF+./SF+"/SS


# id : NWRW1800000046.97.7.1
북한이 도발을 일삼는 현실을 외면한 채 무작정 지뢰를 없애자는 것은 아니다.

북한이	북한/NNP+이/JKS
도발을	도발/NNG+을/JKO
일삼는	일삼/VV+는/ETM
현실을	현실/NNG+을/JKO
외면한	외면/NNG+하/XSV+ㄴ/ETM
채	채/NNB
무작정	무작정/MAG
지뢰를	지뢰/NNG+를/JKO
없애자는	없애/VV+자는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.97.7.2
전국에 매설된 100만개 가운데 군사적 필요가 사라진 80%를 제거하자는 것.

전국에	전국/NNG+에/JKB
매설된	매설/NNG+되/XSV+ㄴ/ETM
100만개	100/SN+만/NR+개/NNB
가운데	가운데/NNG
군사적	군사/NNG+적/XSN
필요가	필요/NNG+가/JKS
사라진	사라지/VV+ㄴ/ETM
80%를	80/SN+%/SW+를/JKO
제거하자는	제거/NNG+하/XSV+자는/ETM
것.	것/NNB+./SF


# id : NWRW1800000046.97.7.3
"서울 우면산과 부산 중리산을 비롯해 후방 지역 36곳에 지뢰가 있어요.

"서울	"/SS+서울/NNP
우면산과	우면산/NNP+과/JC
부산	부산/NNP
중리산을	중리산/NNP+을/JKO
비롯해	비롯하/VV+아/EC
후방	후방/NNG
지역	지역/NNG
36곳에	36/SN+곳/NNG+에/JKB
지뢰가	지뢰/NNG+가/JKS
있어요.	있/VA+어요/EF+./SF


# id : NWRW1800000046.97.7.4
6·25전쟁 당시 우리가 방어용으로 매설했거나 미군이 군사 시설을 지키기 위해 설치한 뒤 제거하지 않은 것이죠.

6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
당시	당시/NNG
우리가	우리/NP+가/JKS
방어용으로	방어/NNG+용/XSN+으로/JKB
매설했거나	매설/NNG+하/XSV+았/EP+거나/EC
미군이	미군/NNG+이/JKS
군사	군사/NNG
시설을	시설/NNG+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
설치한	설치/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
제거하지	제거/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것이죠.	것/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000046.97.7.5
다 없애려면 489년이나 걸린다는군요.

다	다/MAG
없애려면	없애/VV+려면/EC
489년이나	489/SN+년/NNB+이나/JX
걸린다는군요.	걸리/VV+ㄴ다는군/EF+요/JX+./SF


# id : NWRW1800000046.97.7.6
하루빨리, 그리고 적극 나서야지요."

하루빨리,	하루빨리/MAG+,/SP
그리고	그리고/MAJ
적극	적극/NNG
나서야지요."	나서/VV+어야지/EF+요/JX+./SF+"/SS


# id : NWRW1800000046.97.8.1
그는 지난해 그토록 염원해온 '지뢰 피해자 지원에 관한 특별법' 제정을 이끌어냈다.

그는	그/NP+는/JX
지난해	지난해/NNG
그토록	그토록/MAG
염원해온	염원/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
'지뢰	'/SS+지뢰/NNG
피해자	피해자/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
특별법'	특별법/NNG+'/SS
제정을	제정/NNG+을/JKO
이끌어냈다.	이끌/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.97.8.2
평화나눔회가 14년이나 공들인 역점 사업이었다.

평화나눔회가	평화나눔회/NNP+가/JKS
14년이나	14/SN+년/NNB+이나/JX
공들인	공들이/VV+ㄴ/ETM
역점	역점/NNG
사업이었다.	사업/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.97.8.3
조 이사장은 이런 공로 등을 인정받아 지난 5월 연세대 창립 130주년 기념식에서 '사회봉사상 개인 부문 대상'을 받았다.

조	조/NNP
이사장은	이사장/NNG+은/JX
이런	이런/MMD
공로	공로/NNG
등을	등/NNB+을/JKO
인정받아	인정/NNG+받/XSV+아/EC
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
연세대	연세대/NNP
창립	창립/NNG
130주년	130/SN+주년/NNB
기념식에서	기념식/NNG+에서/JKB
'사회봉사상	'/SS+사회봉사/NNG+상/NNG
개인	개인/NNG
부문	부문/NNG
대상'을	대상/NNG+'/SS+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.97.8.4
그는 "그동안은 후원자들이 낸 돈으로 피해자들에게 쌀과 생활비 조금 지원해온 정도였다"고 말했다.

그는	그/NP+는/JX
"그동안은	"/SS+그동안/NNG+은/JX
후원자들이	후원자/NNG+들/XSN+이/JKS
낸	내/VV+ㄴ/ETM
돈으로	돈/NNG+으로/JKB
피해자들에게	피해자/NNG+들/XSN+에게/JKB
쌀과	쌀/NNG+과/JC
생활비	생활비/NNG
조금	조금/MAG
지원해온	지원/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
정도였다"고	정도/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.97.8.5
특별법 시행 넉 달 만에 200여명이 위로금을 신청했지만 넘어야 할 산이 또 생겼다.

특별법	특별법/NNG
시행	시행/NNG
넉	넉/MMN
달	달/NNB
만에	만/NNB+에/JKB
200여명이	200/SN+여/XSN+명/NNB+이/JKS
위로금을	위로금/NNG+을/JKO
신청했지만	신청/NNG+하/XSV+았/EP+지만/EC
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
산이	산/NNG+이/JKS
또	또/MAG
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.97.8.6
위로금 산정 방식에서 비롯된 문제다.

위로금	위로금/NNG
산정	산정/NNG
방식에서	방식/NNG+에서/JKB
비롯된	비롯되/VV+ㄴ/ETM
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.97.8.7
그는 "2012년에 사고당한 사람은 2억원을 받지만 1954년의 피해자는 5만원밖에 받지 못한다"면서 "그간 그들이 겪은 고통까지 감안하면 정말 말이 안 되는 일이니 입법 취지에 맞게 개정해야 한다"고 말했다.

그는	그/NP+는/JX
"2012년에	"/SS+2012/SN+년/NNB+에/JKB
사고당한	사고/NNG+당하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
2억원을	2/SN+억/NR+원/NNB+을/JKO
받지만	받/VV+지만/EC
1954년의	1954/SN+년/NNB+의/JKG
피해자는	피해자/NNG+는/JX
5만원밖에	5/SN+만/NR+원/NNB+밖에/JX
받지	받/VV+지/EC
못한다"면서	못하/VX+ㄴ다/EF+"/SS+면서/EC
"그간	"/SS+그/NP+간/XSN
그들이	그/NP+들/XSN+이/JKS
겪은	겪/VV+은/ETM
고통까지	고통/NNG+까지/JX
감안하면	감안/NNG+하/XSV+면/EC
정말	정말/MAG
말이	말/NNG+이/JKC
안	안/MAG
되는	되/VV+는/ETM
일이니	일/NNG+이/VCP+니/EC
입법	입법/NNG
취지에	취지/NNG+에/JKB
맞게	맞/VV+게/EC
개정해야	개정/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


