# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.262
metadata : {}


# id : NWRW1800000048.262.1.1
대법, 전교조 ‘법외노조 효력정지’ 무효화

대법,	대법/NNG+,/SP
전교조	전교조/NNP
‘법외노조	‘/SS+법외/NNG+노조/NNG
효력정지’	효력/NNG+정지/NNG+’/SS
무효화	무효/NNG+화/XSN


# id : NWRW1800000048.262.2.1
“헌재 합헌결정따라 재심리 필요”

“헌재	“/SS+헌재/NNG
합헌결정따라	합헌/NNG+결정/NNG+따르/VV+아/EC
재심리	재/XPN+심리/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000048.262.3.1
효력정지 결정 파기환송

효력정지	효력/NNG+정지/NNG
결정	결정/NNG
파기환송	파기/NNG+환송/NNG


# id : NWRW1800000048.262.4.1
대법원 1부(주심 고영한 대법관)는 3일 고용노동부가 전국교직원노동조합(전교조)에 대한 법외노조 통보 효력을 정지시킨 서울고법의 결정을 풀어달라며 낸 재항고를 받아들였다고 밝혔다.

대법원	대/XPN+법원/NNG
1부(주심	1/SN+부/NNG+(/SS+주심/NNG
고영한	고영한/NNP
대법관)는	대/XPN+법관/NNG+)/SS+는/JX
3일	3/SN+일/NNB
고용노동부가	고용/NNG+노동부/NNG+가/JKS
전국교직원노동조합(전교조)에	전국교직원노동조합/NNP+(/SS+전교조/NNP+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
법외노조	법외/NNG+노조/NNG
통보	통보/NNG
효력을	효력/NNG+을/JKO
정지시킨	정지/NNG+시키/XSV+ㄴ/ETM
서울고법의	서울고법/NNP+의/JKG
결정을	결정/NNG+을/JKO
풀어달라며	풀/VV+어/EC+달/VX+라며/EC
낸	내/VV+ㄴ/ETM
재항고를	재/XPN+항고/NNG+를/JKO
받아들였다고	받아들이/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.262.4.2
이 결정으로 고용부의 법외노조 통보 효력이 되살아났다.

이	이/MMD
결정으로	결정/NNG+으로/JKB
고용부의	고용부/NNG+의/JKG
법외노조	법외/NNG+노조/NNG
통보	통보/NNG
효력이	효력/NNG+이/JKS
되살아났다.	되살아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.262.4.3
앞서 서울고법은 항소심이 끝날 때까지 법외노조 통보 처분의 효력을 정지시켰는데, 대법원은 헌법재판소의 합헌 결정이 나오자 곧바로 이를 무효화한 것이다.

앞서	앞서/MAG
서울고법은	서울고법/NNP+은/JX
항소심이	항소심/NNG+이/JKS
끝날	끝나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
법외노조	법외/NNG+노조/NNG
통보	통보/NNG
처분의	처분/NNG+의/JKG
효력을	효력/NNG+을/JKO
정지시켰는데,	정지/NNG+시키/XSV+었/EP+는데/EC+,/SP
대법원은	대/XPN+법원/NNG+은/JX
헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
합헌	합헌/NNG
결정이	결정/NNG+이/JKS
나오자	나오/VV+자/EC
곧바로	곧바로/MAG
이를	이/NP+를/JKO
무효화한	무효/NNG+화/XSN+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.262.5.1
대법원은 “헌재가 지난달 28일 교원노조법 제2조에 합헌 결정을 함에 따라, 해당 조항에 대해 위헌법률심판 제청을 했다는 전제로 법외노조 통보의 효력정지 사유가 있다고 본 원심의 판단은 잘못됐으므로 효력정지 필요성을 다시 심리해야 한다”며 사건을 서울고법으로 돌려보냈다.

대법원은	대/XPN+법원/NNG+은/JX
“헌재가	“/SS+헌재/NNG+가/JKS
지난달	지난달/NNG
28일	28/SN+일/NNB
교원노조법	교원/NNG+노조법/NNG
제2조에	제/XPN+2/SN+조/NNB+에/JKB
합헌	합헌/NNG
결정을	결정/NNG+을/JKO
함에	하/VV+ㅁ/ETN+에/JKB
따라,	따르/VV+아/EC+,/SP
해당	해당/NNG
조항에	조항/NNG+에/JKB
대해	대하/VV+아/EC
위헌법률심판	위헌/NNG+법률/NNG+심판/NNG
제청을	제청/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
전제로	전제/NNG+로/JKB
법외노조	법외/NNG+노조/NNG
통보의	통보/NNG+의/JKG
효력정지	효력/NNG+정지/NNG
사유가	사유/NNG+가/JKS
있다고	있/VA+다고/EC
본	보/VV+ㄴ/ETM
원심의	원심/NNG+의/JKG
판단은	판단/NNG+은/JX
잘못됐으므로	잘못/MAG+되/XSV+었/EP+으므로/EC
필요성을	필요/NNG+성/XSN+을/JKO
다시	다시/MAG
심리해야	심리/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
사건을	사건/NNG+을/JKO
서울고법으로	서울고법/NNP+으로/JKB
돌려보냈다.	돌려보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.262.5.2
파기환송심은 효력정지 결정을 한 재판부가 아닌 다른 재판부가 맡게 된다.

파기환송심은	파기/NNG+환송심/NNG+은/JX
효력정지	효력/NNG+정지/NNG
결정을	결정/NNG+을/JKO
한	하/VV+ㄴ/ETM
재판부가	재판부/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
맡게	맡/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.262.6.1
법외노조 처분 취소 소송의 항소심을 맡은 서울고법 행정7부는 지난해 9월 이 처분의 근거로 쓰인 교원노조법 2조에 위헌 소지가 있다며 헌재에 위헌법률심판을 제청했다.

법외노조	법외/NNG+노조/NNG
처분	처분/NNG
취소	취소/NNG
소송의	소송/NNG+의/JKG
항소심을	항소심/NNG+을/JKO
맡은	맡/VV+은/ETM
서울고법	서울고법/NNP
행정7부는	행정/NNG+7/SN+부/NNG+는/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
이	이/MMD
처분의	처분/NNG+의/JKG
근거로	근거/NNG+로/JKB
쓰인	쓰이/VV+ㄴ/ETM
교원노조법	교원/NNG+노조법/NNG
2조에	2/SN+조/NNB+에/JKB
위헌	위헌/NNG
소지가	소지/NNG+가/JKS
있다며	있/VA+다며/EC
헌재에	헌재/NNG+에/JKB
위헌법률심판을	위헌/NNG+법률/NNG+심판/NNG+을/JKO
제청했다.	제청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.262.6.2
동시에 전교조에 생길 회복하기 어려운 손해를 예방할 필요가 인정된다며 법외노조 통보 효력도 정지시켰다.

동시에	동시/NNG+에/JKB
전교조에	전교조/NNP+에/JKB
생길	생기/VV+ㄹ/ETM
회복하기	회복/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
손해를	손해/NNG+를/JKO
예방할	예방/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
인정된다며	인정/NNG+되/XSV+ㄴ다며/EC
법외노조	법외/NNG+노조/NNG
통보	통보/NNG
효력도	효력/NNG+도/JX
정지시켰다.	정지/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.262.6.3
하지만 헌재는 해직 교사에게 조합원 자격을 부여할 수 없도록 한 교원노조법 제2조는 합헌이라고 결정했다.

하지만	하지만/MAJ
헌재는	헌재/NNG+는/JX
해직	해직/NNG
교사에게	교사/NNG+에게/JKB
조합원	조합원/NNG
자격을	자격/NNG+을/JKO
부여할	부여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
한	하/VX+ㄴ/ETM
교원노조법	교원/NNG+노조법/NNG
제2조는	제/XPN+2/SN+조/NNB+는/JX
합헌이라고	합헌/NNG+이/VCP+라고/EC
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.262.7.1
대법원 결정으로 정부는 전교조를 법외노조로 간주할 수 있게 됐다.

대법원	대/XPN+법원/NNG
결정으로	결정/NNG+으로/JKB
정부는	정부/NNG+는/JX
전교조를	전교조/NNP+를/JKO
법외노조로	법외/NNG+노조/NNG+로/JKB
간주할	간주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.262.7.2
하지만 교육부는 전임자 복귀 등 후속 조처는 파기환송심 결정이 날 때까지 기다린다는 방침이어서 당장 ‘혼란’은 발생하지 않을 것으로 보인다.

하지만	하지만/MAJ
교육부는	교육부/NNG+는/JX
전임자	전임자/NNG
복귀	복귀/NNG
등	등/NNB
후속	후속/NNG
조처는	조처/NNG+는/JX
파기환송심	파기/NNG+환송심/NNG
결정이	결정/NNG+이/JKS
날	나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
기다린다는	기다리/VV+ㄴ다는/ETM
방침이어서	방침/NNG+이/VCP+어서/EC
당장	당장/NNG
‘혼란’은	‘/SS+혼란/NNG+’/SS+은/JX
발생하지	발생/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.262.7.3
효력정지 여부와 별도로 법외노조 처분 취소 본안소송은 계속 진행될 예정이다.

효력정지	효력/NNG+정지/NNG
여부와	여부/NNG+와/JKB
별도로	별도/NNG+로/JKB
법외노조	법외/NNG+노조/NNG
처분	처분/NNG
취소	취소/NNG
본안소송은	본안/NNG+소송/NNG+은/JX
계속	계속/MAG
진행될	진행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.262.8.1
민주사회를 위한 변호사모임은 대법원 결정에 대해 “헌재는 교원노조법을 합헌이라고 판단했지만, 이를 근거로 전교조의 법적 지위를 박탈하는 게 항상 적법하지는 않다고 밝혔다.

민주사회를	민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사모임은	변호사/NNG+모임/NNG+은/JX
대법원	대/XPN+법원/NNG
결정에	결정/NNG+에/JKB
대해	대하/VV+아/EC
“헌재는	“/SS+헌재/NNG+는/JX
교원노조법을	교원/NNG+노조법/NNG+을/JKO
합헌이라고	합헌/NNG+이/VCP+라고/EC
판단했지만,	판단/NNG+하/XSV+았/EP+지만/EC+,/SP
이를	이/NP+를/JKO
근거로	근거/NNG+로/JKB
전교조의	전교조/NNP+의/JKG
법적	법/NNG+적/XSN
지위를	지위/NNG+를/JKO
박탈하는	박탈/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
항상	항상/MAG
적법하지는	적법/NNG+하/XSA+지/EC+는/JX
않다고	않/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.262.8.2
그런데도 효력정지 결정을 파기한 것은 헌재 결정 취지와 맞지 않는다”고 비판했다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
효력정지	효력/NNG+정지/NNG
결정을	결정/NNG+을/JKO
파기한	파기/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
헌재	헌재/NNG
결정	결정/NNG
취지와	취지/NNG+와/JKB
맞지	맞/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


