# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.338
metadata : {}


# id : NWRW1800000053.338.1.1
조국의 ‘검증 이중잣대’ 2탄

조국의	조국/NNP+의/JKG
‘검증	‘/SS+검증/NNG
이중잣대’	이중/NNG+잣대/NNG+’/SS
2탄	2/SN+탄/NNB


# id : NWRW1800000053.338.2.1
강경화 이어 조대엽 음주운전도 문제 안삼아 朴정부 ‘음주운전 이철성’ 임명땐, “美선 청문회 대상이 안돼” 비난

강경화	강경화/NNP
이어	잇/VV+어/EC
조대엽	조대엽/NNP
음주운전도	음주/NNG+운전/NNG+도/JX
문제	문제/NNG
안삼아	안/MAG+삼/VV+아/EC
朴정부	朴/SH+정부/NNG
‘음주운전	‘/SS+음주/NNG+운전/NNG
이철성’	이철성/NNP+’/SS
임명땐,	임명/NNG+때/NNG+ㄴ/JX+,/SP
“美선	“/SS+美/SH+서/JKB+ㄴ/JX
청문회	청문회/NNG
대상이	대상/NNG+이/JKC
안돼”	안/MAG+되/XSV+어/EF+”/SS
비난	비난/NNG


# id : NWRW1800000053.338.3.1
조국 대통령민정수석비서관(사진)이 과거 고위공직자의 음주운전 전력을 비판했던 글이 다시 회자되고 있다.

조국	조국/NNP
대통령민정수석비서관(사진)이	대통령/NNG+민정/NNG+수석/NNG+비서관/NNG+(/SS+사진/NNG+)/SS+이/JKS
과거	과거/NNG
고위공직자의	고위/NNG+공직자/NNG+의/JKG
음주운전	음주/NNG+운전/NNG
전력을	전력/NNG+을/JKO
비판했던	비판/NNG+하/XSV+았/EP+던/ETM
글이	글/NNG+이/JKS
다시	다시/MAG
회자되고	회자/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.338.3.2
조 수석이 과거에 글에서 보였던 소신과 달리 음주운전 전력의 조대엽 고용노동부 장관 후보자를 인사 검증에서 거르지 않은 것은 ‘이중 잣대’ 아니냐는 지적이 나온다.

조	조/NNP
수석이	수석/NNG+이/JKS
과거에	과거/NNG+에/JKB
글에서	글/NNG+에서/JKB
보였던	보이/VV+었/EP+던/ETM
소신과	소신/NNG+과/JKB
달리	달리/MAG
음주운전	음주/NNG+운전/NNG
전력의	전력/NNG+의/JKG
조대엽	조대엽/NNP
고용노동부	고용/NNG+노동부/NNG
장관	장관/NNG
후보자를	후보자/NNG+를/JKO
인사	인사/NNG
검증에서	검증/NNG+에서/JKB
거르지	거르/VV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
‘이중	‘/SS+이중/NNG
잣대’	잣대/NNG+’/SS
아니냐는	아니/VCN+냐는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.338.4.1
조 수석은 지난해 8월 박근혜 전 대통령이 음주운전 전력으로 논란이 됐던 이철성 경찰청장을 임명하자 소셜네트워크서비스(SNS)에 “음주운전 단속의 주무 부처 총책임자가 과거 이런 범죄를 범하고 은폐까지 하였는데도 임명했다”며 “미국 같으면 애초 청문회 대상 자체가 될 수 없는 사람”이라고 비판했다.

조	조/NNP
수석은	수석/NNG+은/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
박근혜	박근혜/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
음주운전	음주/NNG+운전/NNG
전력으로	전력/NNG+으로/JKB
논란이	논란/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
이철성	이철성/NNP
경찰청장을	경찰청장/NNG+을/JKO
임명하자	임명/NNG+하/XSV+자/EF
소셜네트워크서비스(SNS)에	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+에/JKB
“음주운전	“/SS+음주/NNG+운전/NNG
단속의	단속/NNG+의/JKG
주무	주무/NNG
부처	부처/NNG
총책임자가	총책임자/NNG+가/JKS
과거	과거/NNG
이런	이런/MMD
범죄를	범죄/NNG+를/JKO
범하고	범하/VV+고/EC
은폐까지	은폐/NNG+까지/JX
하였는데도	하/VV+았/EP+는데/EC+도/JX
임명했다”며	임명/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“미국	“/SS+미국/NNP
같으면	같/VA+으면/EC
애초	애초/NNG
청문회	청문회/NNG
대상	대상/NNG
자체가	자체/NNG+가/JKS
될	되/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사람”이라고	사람/NNG+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.338.5.1
앞서 조 수석은 2010년 이명박 정부 국무위원 후보자들의 위장전입을 칼럼을 통해 비판했으면서도 최근에는 강경화 외교부 장관 후보자 등의 위장전입을 문제 삼지 않았다는 비판을 받기도 했다.

앞서	앞서/MAG
조	조/NNP
수석은	수석/NNG+은/JX
2010년	2010/SN+년/NNB
이명박	이명박/NNP
정부	정부/NNG
국무위원	국무/NNG+위원/NNG
후보자들의	후보자/NNG+들/XSN+의/JKG
위장전입을	위장/NNG+전입/NNG+을/JKO
칼럼을	칼럼/NNG+을/JKO
통해	통하/VV+아/EC
비판했으면서도	비판/NNG+하/XSV+았/EP+으면서/EC+도/JX
최근에는	최근/NNG+에/JKB+는/JX
강경화	강경화/NNP
외교부	외교부/NNG
장관	장관/NNG
후보자	후보자/NNG
등의	등/NNB+의/JKG
문제	문제/NNG
삼지	삼/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
비판을	비판/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.338.6.1
조 수석은 동아일보와의 통화에서 “음주운전은 어떤 상황에서건 잘못된 행위”라고 전제하면서도 “당시 음주단속 업무를 맡고 있고 단속 당하며 경찰 신분까지 속이려 했던 이 청장과 교수 신분임을 순순히 밝힌 조 후보자는 상황 자체가 많이 다르다”고 말했다.

조	조/NNP
수석은	수석/NNG+은/JX
동아일보와의	동아일보/NNP+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“음주운전은	“/SS+음주/NNG+운전/NNG+은/JX
어떤	어떤/MMD
상황에서건	상황/NNG+에서/JKB+이/VCP+건/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
행위”라고	행위/NNG+”/SS+라고/JKQ
전제하면서도	전제/NNG+하/XSV+면서/EC+도/JX
“당시	“/SS+당시/NNG
음주단속	음주/NNG+단속/NNG
업무를	업무/NNG+를/JKO
맡고	맡/VV+고/EC
있고	있/VX+고/EC
단속	단속/NNG
당하며	당하/VV+며/EC
경찰	경찰/NNG
신분까지	신분/NNG+까지/JX
속이려	속이/VV+려/EC
했던	하/VX+았/EP+던/ETM
이	이/NNP
청장과	청장/NNG+과/JC
교수	교수/NNG
신분임을	신분/NNG+이/VCP+ㅁ/ETN+을/JKO
순순히	순순히/MAG
밝힌	밝히/VV+ㄴ/ETM
후보자는	후보자/NNG+는/JX
상황	상황/NNG
자체가	자체/NNG+가/JKS
많이	많이/MAG
다르다”고	다르/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.338.7.1
조 후보자도 이날 라디오 인터뷰에서 10년 전 음주운전에 대해 “입이 열 개라도 할 말이 없는 게 사실”이라면서도 당시 상황을 적극 해명했다.

조	조/NNP
후보자도	후보자/NNG+도/JX
이날	이날/NNG
라디오	라디오/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
10년	10/SN+년/NNB
전	전/NNG
음주운전에	음주/NNG+운전/NNG+에/JKB
대해	대하/VV+아/EC
“입이	“/SS+입/NNG+이/JKS
열	열/NR
개라도	개/NNB+이/VCP+라도/EC
할	하/VV+ㄹ/ETM
말이	말/NNG+이/JKS
없는	없/VA+는/ETM
게	거/NNB+이/JKS
사실”이라면서도	사실/NNG+”/SS+이/VCP+라면서/EC+도/JX
당시	당시/NNG
상황을	상황/NNG+을/JKO
적극	적극/NNG
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.338.7.2
조 후보자는 “2007년 고려대 학생 출교사건 당시 총장 후보인 한 법학과 교수와 만나 ‘학생들의 복권’을 약속받고, 학생들의 농성 해제를 설득하는 과정에서 술을 먹었고, 귀가 과정에서 단속됐다”고 밝혔다.

조	조/NNP
후보자는	후보자/NNG+는/JX
“2007년	“/SS+2007/SN+년/NNB
고려대	고려대/NNP
학생	학생/NNG
출교사건	출교/NNG+사건/NNG
당시	당시/NNG
총장	총장/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
한	한/MMN
법학과	법학과/NNG
교수와	교수/NNG+와/JKB
만나	만나/VV+아/EC
‘학생들의	‘/SS+학생/NNG+들/XSN+의/JKG
복권’을	복권/NNG+’/SS+을/JKO
약속받고,	약속/NNG+받/XSV+고/EC+,/SP
학생들의	학생/NNG+들/XSN+의/JKG
농성	농성/NNG
해제를	해제/NNG+를/JKO
설득하는	설득/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
술을	술/NNG+을/JKO
먹었고,	먹/VV+었/EP+고/EC+,/SP
귀가	귀가/NNG
단속됐다”고	단속/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


