# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.317
metadata : {}


# id : NWRW1800000046.317.1.1
[이완구 총리 인준] 본회의 불참땐 逆風… 충청 민심도 부담

[이완구	[/SS+이완구/NNP
총리	총리/NNG
인준]	인준/NNG+]/SS
본회의	본회의/NNG
불참땐	불참/NNG+때/NNG+ㄴ/JX
逆風…	逆風/SH+…/SE
충청	충청/NNP
민심도	민심/NNG+도/JX
부담	부담/NNG


# id : NWRW1800000046.317.2.1
野 왜 표결 참여했나 "의회주의 원칙 따르는 달라진 모습 보여주자" 우윤근 원내대표 투표 독려

野	野/SH
왜	왜/MAG
표결	표결/NNG
참여했나	참여/NNG+하/XSV+았/EP+나/EC
"의회주의	"/SS+의회주의/NNG
원칙	원칙/NNG
따르는	따르/VV+는/ETM
달라진	달라지/VV+ㄴ/ETM
모습	모습/NNG
보여주자"	보이/VV+어/EC+주/VX+자/EF+"/SS
우윤근	우윤근/NNP
원내대표	원내/NNG+대표/NNG
투표	투표/NNG
독려	독려/NNG


# id : NWRW1800000046.317.3.1
새정치민주연합은 이완구 국무총리 임명 동의안 표결이 있던 16일 오전까지만 해도 표결 참여가 불투명했다.

새정치민주연합은	새정치민주연합/NNP+은/JX
이완구	이완구/NNP
국무총리	국무총리/NNG
임명	임명/NNG
동의안	동의안/NNG
표결이	표결/NNG+이/JKS
있던	있/VA+던/ETM
16일	16/SN+일/NNB
오전까지만	오전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
표결	표결/NNG
참여가	참여/NNG+가/JKS
불투명했다.	불/XPN+투명/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.317.3.2
"부적격 총리"라는 강경 목소리 때문이었다.

"부적격	"/SS+부/XPN+적격/NNG
총리"라는	총리/NNG+"/SS+이/VCP+라는/ETM
강경	강경/NNG
목소리	목소리/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.317.3.3
그러나 의원총회에서는 "정정당당하게 반대 의사를 밝히자"는 쪽으로 공감대가 형성됐다.

그러나	그러나/MAJ
의원총회에서는	의원/NNG+총회/NNG+에서/JKB+는/JX
"정정당당하게	"/SS+정정당당하/VA+게/EC
반대	반대/NNG
의사를	의사/NNG+를/JKO
밝히자"는	밝히/VV+자/EF+"/SS+는/ETM
쪽으로	쪽/NNB+으로/JKB
공감대가	공감대/NNG+가/JKS
형성됐다.	형성/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.317.3.4
최근 문재인 대표가 이 총리 인준 문제를 여론조사로 정하자고 해 논란이 일고 있는데, 괜히 본회의를 보이콧하거나 하면 되레 역풍을 맞을 수 있기 때문이다.

최근	최근/MAG
문재인	문재인/NNP
대표가	대표/NNG+가/JKS
이	이/NNP
총리	총리/NNG
인준	인준/NNG
문제를	문제/NNG+를/JKO
여론조사로	여론/NNG+조사/NNG+로/JKB
정하자고	정하/VV+자고/EC
해	하/VV+아/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
괜히	괜히/MAG
본회의를	본회의/NNG+를/JKO
보이콧하거나	보이콧/NNG+하/XSV+거나/EC
하면	하/VV+면/EC
되레	되레/MAG
역풍을	역풍/NNG+을/JKO
맞을	맞/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.317.3.5
이 총리 고향인 충청권 여론도 부담으로 작용했다.

이	이/NNP
총리	총리/NNG
고향인	고향/NNG+이/VCP+ㄴ/ETM
충청권	충청/NNP+권/XSN
여론도	여론/NNG+도/JX
부담으로	부담/NNG+으로/JKB
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.317.4.1
안규백 원내수석부대표는 이날 본지 통화에서 "여야가 타협과 조정을 통해 (본회의를 열기로) 합의한 사안을 지키지 않으면, 국민은 '역시 오합지졸이고 무책임한 발목 잡기 정당'이라고 생각했을 것"이라고 했다.

안규백	안규백/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
이날	이날/NNG
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"여야가	"/SS+여야/NNG+가/JKS
타협과	타협/NNG+과/JC
조정을	조정/NNG+을/JKO
통해	통하/VV+아/EC
(본회의를	(/SS+본회의/NNG+를/JKO
열기로)	열/VV+기/ETN+로/JKB+)/SS
합의한	합의/NNG+하/XSV+ㄴ/ETM
사안을	사안/NNG+을/JKO
지키지	지키/VV+지/EC
않으면,	않/VX+으면/EC+,/SP
국민은	국민/NNG+은/JX
'역시	'/SS+역시/MAG
오합지졸이고	오합지졸/NNG+이/VCP+고/EC
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
발목	발목/NNG
잡기	잡/VV+기/ETN
정당'이라고	정당/NNG+'/SS+이라고/JKQ
생각했을	생각/NNG+하/XSV+았/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.317.4.2
다른 원내 관계자는 "문 대표가 실수한 부분(여론조사 제안)을 빨리 희석시켜야 한다는 의견도 작용한 것 같다"고 했다.

다른	다른/MMD
원내	원내/NNG
관계자는	관계자/NNG+는/JX
"문	"/SS+문/NNP
대표가	대표/NNG+가/JKS
실수한	실수/NNG+하/XSV+ㄴ/ETM
부분(여론조사	부분/NNG+(/SS+여론/NNG+조사/NNG
