# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.150
metadata : {}


# id : NWRW1800000028.150.1.1
모처럼 외식, 공짜여행 ‘행운’ 잡아볼까

모처럼	모처럼/MAG
외식,	외식/NNG+,/SP
공짜여행	공짜/NNG+여행/NNG
‘행운’	‘/SS+행운/NNG+’/SS
잡아볼까	잡/VV+아/EC+보/VX+ㄹ까/EF


# id : NWRW1800000028.150.2.1
5월은 ‘가정의 달’로 외식 나들이가 많은 때다.

5월은	5/SN+월/NNB+은/JX
‘가정의	‘/SS+가정/NNG+의/JKG
달’로	달/NNG+’/SS+로/JKB
외식	외식/NNG
나들이가	나들이/NNG+가/JKS
많은	많/VA+은/ETM
때다.	때/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.150.2.2
게다가 6월 월드컵이 다가오고 있어, 외식 업계는 일찌감치 축제 분위기 띄우기에 들어갔다.

게다가	게다가/MAG
6월	6/SN+월/NNB
월드컵이	월드컵/NNG+이/JKS
다가오고	다가오/VV+고/EC
있어,	있/VX+어/EC+,/SP
외식	외식/NNG
업계는	업계/NNG+는/JX
일찌감치	일찌감치/MAG
축제	축제/NNG
분위기	분위기/NNG
띄우기에	띄우/VV+기/ETN+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.150.2.3
기왕에 나간 나들이라면, 보물찾기 하는 기분으로 이벤트에 도전해보자.

기왕에	기왕에/MAG
나간	나가/VV+ㄴ/ETM
나들이라면,	나들이/NNG+이/VCP+라면/EC+,/SP
보물찾기	보물찾기/NNG
하는	하/VV+는/ETM
기분으로	기분/NNG+으로/JKB
이벤트에	이벤트/NNG+에/JKB
도전해보자.	도전/NNG+하/XSV+아/EC+보/VX+자/EF+./SF


# id : NWRW1800000028.150.2.4
외국으로의 여름휴가나, 공짜 식사권, 공짜 와인 등 다양한 행운 선물이 기다리고 있을지도 모른다.

외국으로의	외국/NNG+으로/JKB+의/JKG
여름휴가나,	여름휴가/NNG+나/JC+,/SP
공짜	공짜/NNG
식사권,	식사/NNG+권/XSN+,/SP
와인	와인/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
행운	행운/NNG
선물이	선물/NNG+이/JKS
기다리고	기다리/VV+고/EC
있을지도	있/VX+을지/EF+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.150.3.1
