# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.204
metadata : {}


# id : NWRW1800000044.204.1.1
[단독] MBC 보도국장, 유족 ‘깡패’ 지칭 논란

[단독]	[/SS+단독/NNG+]/SS
MBC	MBC/SL
보도국장,	보도국장/NNG+,/SP
유족	유족/NNG
‘깡패’	‘/SS+깡패/NNG+’/SS
지칭	지칭/NNG
논란	논란/NNG


# id : NWRW1800000044.204.2.1
[한겨레] “편집회의에서 ‘완전 깡패네, 유족 맞아요?’” 참석자 전해

[한겨레]	[/SS+한겨레/NNP+]/SS
“편집회의에서	“/SS+편집/NNG+회의/NNG+에서/JKB
‘완전	‘/SS+완전/MAG
깡패네,	깡패/NNG+이/VCP+네/EF+,/SP
유족	유족/NNG
맞아요?’”	맞/VV+아요/EF+?/SF+’/SS+”/SS
참석자	참석자/NNG
전해	전하/VV+아/EF


# id : NWRW1800000044.204.3.1
‘국민 수준’ 발언도…김장겸 국장 “그런 말 안했다” 부인

‘국민	‘/SS+국민/NNG
수준’	수준/NNG+’/SS
발언도…김장겸	발언/NNG+도/JX+…/SE+김장겸/NNP
국장	국장/NNG
“그런	“/SS+그런/MMD
말	말/NNG
안했다”	안/MAG+하/VV+았/EP+다/EF+”/SS
부인	부인/NNG


# id : NWRW1800000044.204.4.1
<문화방송>(MBC) 김장겸 보도국장이 보도국 회의 도중 세월호 실종자 가족들에 대해 “완전 깡패네”라고 말하는 등 가족을 비하했다는 주장이 나왔다.

<문화방송>(MBC)	</SS+문화방송/NNP+>/SS+(/SS+MBC/SL+)/SS
김장겸	김장겸/NNP
보도국장이	보도국장/NNG+이/JKS
보도국	보도국/NNG
회의	회의/NNG
도중	도중/NNG
세월호	세월호/NNP
실종자	실종자/NNG
가족들에	가족/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
“완전	“/SS+완전/MAG
깡패네”라고	깡패/NNG+이/VCP+네/EF+”/SS+라고/JKQ
말하는	말/NNG+하/XSV+는/ETM
등	등/NNB
가족을	가족/NNG+을/JKO
비하했다는	비하/NNG+하/XSV+았/EP+다는/ETM
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.204.4.2
“국가가 아프리카 수준”이라고도 했다는데, 김 국장은 이를 부인했다.

“국가가	“/SS+국가/NNG+가/JKS
아프리카	아프리카/NNP
수준”이라고도	수준/NNG+”/SS+이라고/JKQ+도/JX
했다는데,	하/VV+았/EP+다는데/EC+,/SP
김	김/NNP
국장은	국장/NNG+은/JX
이를	이/NP+를/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.204.5.1
12일 <한겨레> 취재 결과를 종합하면, 김장겸 보도국장은 지난달 25일 오전 편집회의에서 세월호 사고 실종자 가족들을 두고 “완전 깡패네. 유족 맞아요?”라고 말했다.

12일	12/SN+일/NNB
<한겨레>	</SS+한겨레/NNP+>/SS
취재	취재/NNG
결과를	결과/NNG+를/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
김장겸	김장겸/NNP
보도국장은	보도국장/NNG+은/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
오전	오전/NNG
편집회의에서	편집/NNG+회의/NNG+에서/JKB
세월호	세월호/NNP
사고	사고/NNG
실종자	실종자/NNG
가족들을	가족/NNG+들/XSN+을/JKO
두고	두/VV+고/EC
“완전	“/SS+완전/MAG
깡패네.	깡패/NNG+이/VCP+네/EF+./SF
유족	유족/NNG
맞아요?”라고	맞/VV+아요/EF+?/SF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.204.5.2
이는 박상후 보도국 전국부장으로부터 이날 새벽까지 이어진 해양수산부 장관, 해양경찰청장과 가족들의 대화 현장 상황을 보고받은 뒤 한 말이다.

이는	이/NP+는/JX
박상후	박상후/NNP
보도국	보도국/NNG
전국부장으로부터	전국부장/NNG+으로부터/JKB
이날	이날/NNG
새벽까지	새벽/NNG+까지/JX
이어진	이어지/VV+ㄴ/ETM
해양수산부	해양/NNG+수산부/NNG
장관,	장관/NNG+,/SP
해양경찰청장과	해양/NNG+경찰청장/NNG+과/JKB
