# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.41
metadata : {}


# id : NWRW1800000036.41.1.1
삼성 휴대폰 ‘나홀로 쑥쑥’

삼성	삼성/NNP
휴대폰	휴대폰/NNG
‘나홀로	‘/SS+나/NP+홀로/MAG
쑥쑥’	쑥쑥/MAG+’/SS


# id : NWRW1800000036.41.2.1
[한겨레] 2분기 판매량 1년새 29.5% ↑

[한겨레]	[/SS+한겨레/NNP+]/SS
2분기	2/SN+분기/NNG
판매량	판매량/NNG
1년새	1/SN+년/NNB+새/NNG
29.5%	29/SN+./SP+5/SN+%/SW
↑	↑/SW


# id : NWRW1800000036.41.3.1
1분기 이어 시장점유율도 1위

1분기	1/SN+분기/NNG
이어	잇/VV+어/EC
시장점유율도	시장/NNG+점유/NNG+율/XSN+도/JX
1위	1/SN+위/NNB


# id : NWRW1800000036.41.4.1
세계 휴대전화 시장이 축소되고 있지만, 삼성전자는 성장세 속에 경쟁업체들과 격차를 벌렸다.

세계	세계/NNG
휴대전화	휴대/NNG+전화/NNG
시장이	시장/NNG+이/JKS
축소되고	축소/NNG+되/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
삼성전자는	삼성전자/NNP+는/JX
성장세	성장세/NNG
속에	속/NNG+에/JKB
경쟁업체들과	경쟁업체/NNG+들/XSN+과/JKB
격차를	격차/NNG+를/JKO
벌렸다.	벌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.41.5.1
미국의 시장조사업체 가트너는 지난 14일(현지시각) 올해 2분기 세계 휴대전화 판매량이 4억1900만대로 지난해 같은 기간보다 2.3% 감소했다고 밝혔다.

미국의	미국/NNP+의/JKG
시장조사업체	시장/NNG+조사/NNG+업체/NNG
가트너는	가트너/NNP+는/JX
지난	지나/VV+ㄴ/ETM
14일(현지시각)	14/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
올해	올해/NNG
2분기	2/SN+분기/NNG
세계	세계/NNG
휴대전화	휴대/NNG+전화/NNG
판매량이	판매량/NNG+이/JKS
4억1900만대로	4/SN+억/NR+1900/SN+만/NR+대/NNB+로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
2.3%	2/SN+./SP+3/SN+%/SW
감소했다고	감소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.41.5.2
가트너의 애널리스트 안슐 굽타는 “애플의 아이폰5 등 신제품 출시에 대한 기대감으로 소비자들이 휴대전화 교체를 미루는데다 피처폰(일반 휴대전화) 수요가 계속 줄어들고 있다”고 분석했다.

가트너의	가트너/NNP+의/JKG
애널리스트	애널리스트/NNG
안슐	안슐/NNP
굽타는	굽타/NNP+는/JX
“애플의	“/SS+애플/NNP+의/JKG
아이폰5	아이폰5/NNP
등	등/NNB
신제품	신/XPN+제품/NNG
출시에	출시/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감으로	기대감/NNG+으로/JKB
소비자들이	소비자/NNG+들/XSN+이/JKS
휴대전화	휴대/NNG+전화/NNG
교체를	교체/NNG+를/JKO
미루는데다	미루/VV+는/ETM+데/NNB+다/JX
피처폰(일반	피처폰/NNG+(/SS+일반/NNG
휴대전화)	휴대/NNG+전화/NNG+)/SS
수요가	수요/NNG+가/JKS
계속	계속/MAG
줄어들고	줄어들/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.41.6.1
다만 삼성전자는 더욱 성장했다.

다만	다만/MAG
삼성전자는	삼성전자/NNP+는/JX
더욱	더욱/MAG
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.41.6.2
삼성전자의 2분기 휴대전화 판매량은 9043만대로 1년 새 29.5% 늘었다.

삼성전자의	삼성전자/NNP+의/JKG
2분기	2/SN+분기/NNG
휴대전화	휴대/NNG+전화/NNG
판매량은	판매량/NNG+은/JX
9043만대로	9043/SN+만/NR+대/NNB+로/JKB
1년	1/SN+년/NNB
새	새/NNG
29.5%	29/SN+./SP+5/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.41.6.3
시장점유율도 지난해 같은 기간보다 5.3%포인트 늘어난 21.6%로, 1분기에 이어 1위를 유지했다.

시장점유율도	시장/NNG+점유/NNG+율/XSN+도/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
5.3%포인트	5/SN+./SP+3/SN+%포인트/NNG
늘어난	늘어나/VV+ㄴ/ETM
21.6%로,	21/SN+./SP+6/SN+%/SW+로/JKB+,/SP
1분기에	1/SN+분기/NNG+에/JKB
이어	잇/VV+어/EC
1위를	1/SN+위/NNB+를/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.41.6.4
갤럭시에스(S)3이 출시 2개월 만에 1000만대 팔린 덕분이다.

갤럭시에스(S)3이	갤럭시에스/NNP+(/SS+S/SL+)/SS+3/SN+이/JKS
출시	출시/NNG
2개월	2/SN+개월/NNB
만에	만/NNB+에/JKB
1000만대	1000/SN+만/NR+대/NNB
팔린	팔리/VV+ㄴ/ETM
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.41.6.5
스마트폰만 만드는 애플은 2분기 2893만대를 팔아 지난해 같은 기간보다 2.3%포인트 높은 점유율(6.9%)을 기록하며 3위를 차지했다.

스마트폰만	스마트폰/NNG+만/JX
만드는	만들/VV+는/ETM
애플은	애플/NNP+은/JX
2분기	2/SN+분기/NNG
2893만대를	2893/SN+만/NR+대/NNB+를/JKO
팔아	팔/VV+아/EC
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
2.3%포인트	2/SN+./SP+3/SN+%포인트/NNG
높은	높/VA+은/ETM
점유율(6.9%)을	점유/NNG+율/XSN+(/SS+6/SN+./SP+9/SN+%/SW+)/SS+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
3위를	3/SN+위/NNB+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.41.6.6
굽타는 “삼성과 애플이 스마트폰의 지배적 사업자로 자리잡고 두 회사가 전체 휴대전화 시장의 절반을 차지할 것”이라고 내다봤다.

굽타는	굽타/NNP+는/JX
“삼성과	“/SS+삼성/NNP+과/JC
애플이	애플/NNP+이/JKS
스마트폰의	스마트폰/NNG+의/JKG
지배적	지배/NNG+적/XSN
사업자로	사업자/NNG+로/JKB
자리잡고	자리/NNG+잡/VV+고/EC
두	두/MMN
회사가	회사/NNG+가/JKS
전체	전체/NNG
휴대전화	휴대/NNG+전화/NNG
시장의	시장/NNG+의/JKG
절반을	절반/NNG+을/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.41.7.1
올해 1분기에 1위 자리를 삼성에 내준 핀란드의 노키아는 2분기에도 8342만대를 팔아 2위에 머물렀다.

올해	올해/NNG
1분기에	1/SN+분기/NNG+에/JKB
1위	1/SN+위/NNB
자리를	자리/NNG+를/JKO
삼성에	삼성/NNP+에/JKB
내준	내주/VV+ㄴ/ETM
핀란드의	핀란드/NNP+의/JKG
노키아는	노키아/NNP+는/JX
2분기에도	2/SN+분기/NNG+에/JKB+도/JX
8342만대를	8342/SN+만/NR+대/NNB+를/JKO
팔아	팔/VV+아/EC
2위에	2/SN+위/NNB+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.41.7.2
점유율은 19.9%로 1년 전보다 2.9%포인트 하락했다.

점유율은	점유/NNG+율/XSN+은/JX
19.9%로	19/SN+./SP+9/SN+%/SW+로/JKB
1년	1/SN+년/NNB
전보다	전/NNG+보다/JKB
2.9%포인트	2/SN+./SP+9/SN+%포인트/NNG
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.41.7.3
이밖에 중국 중싱통신(ZTE)과 엘지(LG)전자가 각각 점유율 4.3%와 3.4%로 5위 안에 들었다.

이밖에	이/NP+밖/NNG+에/JKB
중국	중국/NNP
중싱통신(ZTE)과	중싱통신/NNP+(/SS+ZTE/SL+)/SS+과/JC
엘지(LG)전자가	엘지/NNP+(/SS+LG/SL+)/SS+전자/NNG+가/JKS
각각	각각/MAG
점유율	점유/NNG+율/XSN
4.3%와	4/SN+./SP+3/SN+%/SW+와/JC
3.4%로	3/SN+./SP+4/SN+%/SW+로/JKB
5위	5/SN+위/NNB
안에	안/NNG+에/JKB
들었다.	들/VV+었/EP+다/EF+./SF


