# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.151
metadata : {}


# id : NWRW1800000024.151.1.1
“이것이 엘지 야구다” 6연승 신바람

“이것이	“/SS+이것/NP+이/JKS
엘지	엘지/NNP
야구다”	야구/NNG+이/VCP+다/EF+”/SS
6연승	6/SN+연승/NNG
신바람	신바람/NNG


# id : NWRW1800000024.151.2.1
경기 전 엘지 쪽에 물었다.

경기	경기/NNG
전	전/NNG
엘지	엘지/NNP
쪽에	쪽/NNB+에/JKB
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.151.2.2
“팀 상승세의 원인이 뭐냐”고.

“팀	“/SS+팀/NNG
상승세의	상승세/NNG+의/JKG
원인이	원인/NNG+이/JKS
뭐냐”고.	뭐/NP+이/VCP+냐/EF+”/SS+고/JKQ+./SF


# id : NWRW1800000024.151.2.3
김재박 감독은 “이진영·정성훈 영입으로 팀내 경쟁체제가 자리잡았기 때문”이라고 했다.

김재박	김재박/NNP
감독은	감독/NNG+은/JX
“이진영·정성훈	“/SS+이진영/NNP+·/SP+정성훈/NNP
영입으로	영입/NNG+으로/JKB
팀내	팀/NNG+내/NNB
경쟁체제가	경쟁/NNG+체제/NNG+가/JKS
자리잡았기	자리/NNG+잡/VV+았/EP+기/ETN
때문”이라고	때문/NNB+”/SS+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.151.2.4
덕아웃 기록을 맡고 있는 임승규 운영팀 차장은 “박용택의 독보적 활약”이라고 답했다.

덕아웃	덕아웃/NNG
기록을	기록/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
임승규	임승규/NNP
운영팀	운영/NNG+팀/NNG
차장은	차장/NNG+은/JX
“박용택의	“/SS+박용택/NNP+의/JKG
독보적	독보/NNG+적/XSN
활약”이라고	활약/NNG+”/SS+이라고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.151.2.5
종합하면, 최근 엘지 상승세의 원동력은 박용택 복귀로 촉발된 긍정적 에너지의 폭발인 셈이다.

종합하면,	종합/NNG+하/XSV+면/EC+,/SP
최근	최근/NNG
엘지	엘지/NNP
상승세의	상승세/NNG+의/JKG
원동력은	원동력/NNG+은/JX
박용택	박용택/NNP
복귀로	복귀/NNG+로/JKB
촉발된	촉발/NNG+되/XSV+ㄴ/ETM
긍정적	긍정/NNG+적/XSN
에너지의	에너지/NNG+의/JKG
폭발인	폭발/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.151.3.1
엘지는 7일 잠실구장에서 열린 맞수 두산과 경기에서 7-1 완승을 거뒀다.

엘지는	엘지/NNP+는/JX
7일	7/SN+일/NNB
잠실구장에서	잠실구장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
맞수	맞수/NNG
두산과	두산/NNP+과/JC
경기에서	경기/NNG+에서/JKB
7-1	7/SN+-/SO+1/SN
완승을	완승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.151.3.2
2005년 7월 이후 처음으로 두산과의 3연전을 싹쓸이하며 전날 움켜쥔 2위 자리를 단단히 지켰다.

2005년	2005/SN+년/NNB
7월	7/SN+월/NNB
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
두산과의	두산/NNP+과/JKB+의/JKG
3연전을	3/SN+연전/NNG+을/JKO
싹쓸이하며	싹쓸이/NNG+하/XSV+며/EC
전날	전날/NNG
움켜쥔	움켜쥐/VV+ㄴ/ETM
2위	2/SN+위/NNB
자리를	자리/NNG+를/JKO
단단히	단단히/MAG
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.151.3.3
엘지가 6연승을 달린 것도 지난 2007년 4월 이후 처음이다.

엘지가	엘지/NNP+가/JKS
6연승을	6/SN+연승/NNG+을/JKO
달린	달리/VV+ㄴ/ETM
것도	것/NNB+도/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
4월	4/SN+월/NNB
이후	이후/NNG
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.151.3.4
김재박 감독은 “봉중근-김정민 배터리가 완벽하게 막아줘 6연승을 할 수 있는 계기가 됐다”고 했다.

김재박	김재박/NNP
감독은	감독/NNG+은/JX
“봉중근-김정민	“/SS+봉중근/NNP+-/SO+김정민/NNP
배터리가	배터리/NNG+가/JKS
완벽하게	완벽/NNG+하/XSA+게/EC
막아줘	막/VV+아/EC+주/VX+어/EC
6연승을	6/SN+연승/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
계기가	계기/NNG+가/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.151.4.1
엘지는 득점권에 주자가 있을 때마다 적시타가 터졌다.

엘지는	엘지/NNP+는/JX
득점권에	득점/NNG+권/XSN+에/JKB
주자가	주자/NNG+가/JKS
있을	있/VA+을/ETM
때마다	때/NNG+마다/JX
적시타가	적시타/NNG+가/JKS
터졌다.	터지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.151.4.2
1회초 2사 2루에서 페타지니의 우중간 2루타로 선취점을 뽑고, 2회초 2사 2·3루에선 박용택의 2타점 적시타가 나왔다.

1회초	1/SN+회/NNB+초/NNB
2사	2/SN+사/NNG
2루에서	2루/NNG+에서/JKB
페타지니의	페타지니/NNP+의/JKG
우중간	우중간/NNG
2루타로	2루타/NNG+로/JKB
선취점을	선취점/NNG+을/JKO
뽑고,	뽑/VV+고/EC+,/SP
2회초	2/SN+회/NNB+초/NNB
2·3루에선	2/SN+·/SP+3루/NNG+에서/JKB+ㄴ/JX
박용택의	박용택/NNP+의/JKG
2타점	2/SN+타점/NNG
적시타가	적시타/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.151.4.3
6회초에는 대거 4점을 뽑아내 완전히 승기를 잡았다.

6회초에는	6/SN+회/NNB+초/NNB+에/JKB+는/JX
대거	대거/MAG
4점을	4/SN+점/NNB+을/JKO
뽑아내	뽑아내/VV+어/EC
완전히	완전히/MAG
승기를	승기/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.151.4.4
엘지 선발 봉중근은 8이닝 2안타(1홈런) 1볼넷 1실점으로 승리투수가 됐다.

엘지	엘지/NNP
선발	선발/NNG
봉중근은	봉중근/NNP+은/JX
8이닝	8/SN+이닝/NNG
2안타(1홈런)	2/SN+안타/NNG+(/SS+1/SN+홈런/NNG+)/SS
1볼넷	1/SN+볼넷/NNG
1실점으로	1/SN+실점/NNG+으로/JKB
승리투수가	승리/NNG+투수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.151.4.5
최고 148㎞ 직구를 앞세워 삼진을 9개나 낚아냈다.

최고	최고/NNG
148㎞	148/SN+㎞/SW
직구를	직구/NNG+를/JKO
앞세워	앞세우/VV+어/EC
삼진을	삼진/NNG+을/JKO
9개나	9/SN+개/NNB+나/JX
낚아냈다.	낚/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.151.4.6
그는 “직구가 좋았고, 3점 이상 줘도 이길 것 같았다”고 했다.

그는	그/NP+는/JX
“직구가	“/SS+직구/NNG+가/JKS
좋았고,	좋/VA+았/EP+고/EC+,/SP
3점	3/SN+점/NNB
이상	이상/NNG
줘도	주/VV+어도/EC
이길	이기/VV+ㄹ/ETM
것	것/NNB
같았다”고	같/VA+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.151.4.7
두산은 4연패.

두산은	두산/NNP+은/JX
4연패.	4/SN+연패/NNG+./SF


# id : NWRW1800000024.151.5.1
기아 김상현은 ‘만루의 사나이’가 됐다.

기아	기아/NNP
김상현은	김상현/NNP+은/JX
‘만루의	‘/SS+만루/NNG+의/JKG
사나이’가	사나이/NNG+’/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.151.5.2
1-1로 팽팽하던 5회초 1사 만루에서 히어로즈 구원투수 조용훈을 상대로 좌월홈런을 뽑아냈다.

1-1로	1/SN+-/SO+1/SN+로/JKB
팽팽하던	팽팽하/VA+던/ETM
5회초	5/SN+회/NNB+초/NNB
1사	1/SN+사/NNG
만루에서	만루/NNG+에서/JKB
히어로즈	히어로즈/NNP
구원투수	구원/NNG+투수/NNG
조용훈을	조용훈/NNP+을/JKO
상대로	상대/NNG+로/JKB
좌월홈런을	좌월/NNG+홈런/NNG+을/JKO
뽑아냈다.	뽑아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.151.5.3
시즌 3호로, 앞선 2개의 홈런도 모두 만루포였다.

시즌	시즌/NNG
3호로,	3/SN+호/NNB+로/JKB+,/SP
앞선	앞서/VV+ㄴ/ETM
2개의	2/SN+개/NNB+의/JKG
홈런도	홈런/NNG+도/JX
모두	모두/MAG
만루포였다.	만루포/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.151.5.4
최희섭은 7회초 좌월 솔로포를 터뜨리며 가장 먼저 두자릿수 홈런 고지를 밟았다.

최희섭은	최희섭/NNP+은/JX
7회초	7/SN+회/NNB+초/NNB
좌월	좌월/NNG
솔로포를	솔로포/NNG+를/JKO
터뜨리며	터뜨리/VV+며/EC
가장	가장/MAG
먼저	먼저/MAG
두자릿수	두/MMN+자릿수/NNG
홈런	홈런/NNG
고지를	고지/NNG+를/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.151.5.5
롯데는 선발 장원준의 호투(8이닝 9안타 3실점)와 고빗길에 나온 호수비 덕에 4-3으로 이기고 에스케이전 15연패에서 벗어났다.

롯데는	롯데/NNP+는/JX
선발	선발/NNG
장원준의	장원준/NNP+의/JKG
호투(8이닝	호투/NNG+(/SS+8/SN+이닝/NNG
9안타	9/SN+안타/NNG
3실점)와	3/SN+실점/NNG+)/SS+와/JC
고빗길에	고빗길/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
호수비	호수비/NNG
덕에	덕/NNG+에/JKB
4-3으로	4/SN+-/SO+3/SN+으로/JKB
이기고	이기/VV+고/EC
에스케이전	에스케이전/NNG
15연패에서	15/SN+연패/NNG+에서/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.151.5.6
삼성도 한화에 6-5로 승리하며 주중 3연전을 쓸어담았다.

삼성도	삼성/NNP+도/JX
한화에	한화/NNP+에/JKB
6-5로	6/SN+-/SO+5/SN+로/JKB
승리하며	승리/NNG+하/XSV+며/EC
주중	주중/NNG
3연전을	3/SN+연전/NNG+을/JKO
쓸어담았다.	쓸/VV+어/EC+담/VV+았/EP+다/EF+./SF


