# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.389
metadata : {}


# id : NWRW1800000026.389.1.1
[글로벌 명문 한양대] 김종량 한양대 총장 인터뷰;"대한민국 근대화 이끈 한양人 일류국가 도약에도 앞장설 것"

[글로벌	[/SS+글로벌/NNG
명문	명문/NNG
한양대]	한양대/NNP+]/SS
김종량	김종량/NNP
한양대	한양대/NNP
총장	총장/NNG
인터뷰;"대한민국	인터뷰/NNG+;/SP+"/SS+대한민국/NNP
근대화	근대/NNG+화/XSN
이끈	이끌/VV+ㄴ/ETM
한양人	한양/NNP+人/SH
일류국가	일류/NNG+국가/NNG
도약에도	도약/NNG+에/JKB+도/JX
앞장설	앞장서/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000026.389.2.1
김종량 한양대 총장은 "올해가 경부고속도로 개통 40주년이 되는 해인데, 그 도로를 만드는 과정에 많은 한양공대 출신들이 헌신했다"며 "한양대의 역사는 대한민국 근대화 과정과 함께 했다"고 말했다.

김종량	김종량/NNP
한양대	한양대/NNP
총장은	총장/NNG+은/JX
"올해가	"/SS+올해/NNG+가/JKS
경부고속도로	경부고속도로/NNP
개통	개통/NNG
40주년이	40/SN+주년/NNB+이/JKC
되는	되/VV+는/ETM
해인데,	해/NNG+이/VCP+ㄴ데/EC+,/SP
그	그/MMD
도로를	도로/NNG+를/JKO
만드는	만들/VV+는/ETM
과정에	과정/NNG+에/JKB
많은	많/VA+은/ETM
한양공대	한양/NNP+공대/NNG
출신들이	출신/NNG+들/XSN+이/JKS
헌신했다"며	헌신/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"한양대의	"/SS+한양대/NNP+의/JKG
역사는	역사/NNG+는/JX
대한민국	대한민국/NNP
근대화	근대/NNG+화/XSN
과정과	과정/NNG+과/JKB
함께	함께/MAG
했다"고	하/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.389.2.2
김 총장은 "앞으로 한양인들은 대한민국이 최고의 IT 강국으로 나아가는 데 앞장설 것이며 이를 위해 우수한 인재를 계속 배출하겠다"고 강조했다.

김	김/NNP
총장은	총장/NNG+은/JX
"앞으로	"/SS+앞/NNG+으로/JKB
한양인들은	한양인/NNG+들/XSN+은/JX
대한민국이	대한민국/NNP+이/JKS
최고의	최고/NNG+의/JKG
IT	IT/SL
강국으로	강국/NNG+으로/JKB
