# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.251
metadata : {}


# id : NWRW1800000024.251.1.1
쑥대밭 검찰…핵심 수사라인은 아예 ‘올스톱’

쑥대밭	쑥대밭/NNG
검찰…핵심	검찰/NNG+…/SE+핵심/NNG
수사라인은	수사/NNG+라인/NNG+은/JX
아예	아예/MAG
‘올스톱’	‘/SS+올스톱/NNG+’/SS


# id : NWRW1800000024.251.2.1
노무현 전 대통령 서거를 기점으로 검찰에 불어닥친 ‘인사 폭풍’이 뜻밖에도 길어질 것 같다.

노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
서거를	서거/NNG+를/JKO
기점으로	기점/NNG+으로/JKB
검찰에	검찰/NNG+에/JKB
불어닥친	불어닥치/VV+ㄴ/ETM
‘인사	‘/SS+인사/NNG
폭풍’이	폭풍/NNG+’/SS+이/JKS
뜻밖에도	뜻밖에/MAG+도/JX
길어질	길어지/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000024.251.2.2
천성관 검찰총장 후보자(서울중앙지검장)의 낙마로 검찰총장직과 고검장급 아홉 자리, 검사장급 세 자리 등 검사장 이상 13개 자리가 새 총장 취임 때까지 상당 기간 비어 있을 수밖에 없는 상황이다.

천성관	천성관/NNP
검찰총장	검찰/NNG+총장/NNG
후보자(서울중앙지검장)의	후보자/NNG+(/SS+서울중앙지검장/NNG+)/SS+의/JKG
낙마로	낙마/NNG+로/JKB
검찰총장직과	검찰/NNG+총장직/NNG+과/JC
고검장급	고검장급/NNG
아홉	아홉/NR
자리,	자리/NNG+,/SP
검사장급	검사장급/NNG
세	세/MMN
자리	자리/NNG
등	등/NNB
검사장	검사장/NNG
이상	이상/NNG
13개	13/SN+개/NNB
자리가	자리/NNG+가/JKS
새	새/MMA
총장	총장/NNG
취임	취임/NNG
때까지	때/NNG+까지/JX
상당	상당/NNG
기간	기간/NNG
비어	비/VV+어/EC
있을	있/VX+을/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.251.2.3
검찰 창설 이래 처음 있는 일이다.

검찰	검찰/NNG
창설	창설/NNG
이래	이래/NNB
처음	처음/NNG
있는	있/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.251.3.1
천 후보자의 사퇴가 있고 난 다음날인 15일, 검찰의 겉모습은 여느 때와 크게 다르지 않았다.

천	천/NNP
