# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.289
metadata : {}


# id : NWRW1800000038.289.1.1
[특파원 칼럼] 사회인프라도 늙고 병드는 시대

[특파원	[/SS+특파원/NNG
칼럼]	칼럼/NNG+]/SS
사회인프라도	사회/NNG+인프라/NNG+도/JX
늙고	늙/VV+고/EC
병드는	병들/VV+는/ETM
시대	시대/NNG


# id : NWRW1800000038.289.2.1
사람만이 늙고 병드는 것은 아니다.

사람만이	사람/NNG+만/JX+이/JKS
늙고	늙/VV+고/EC
병드는	병들/VV+는/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.289.2.2
도로·교량 등 인프라도 마찬가지다.

도로·교량	도로/NNG+·/SP+교량/NNG
등	등/NNB
인프라도	인프라/NNG+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.2.3
작년 12월에 발생한 인프라 강국 일본 주오(中央)도로 사사고(笹子) 터널 붕괴사고가 대표적이다.

작년	작년/NNG
12월에	12/SN+월/NNB+에/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
인프라	인프라/NNG
강국	강국/NNG
일본	일본/NNP
주오(中央)도로	주오/NNP+(/SS+中央/SH+)/SS+도로/NNG
사사고(笹子)	사사고/NNP+(/SS+笹子/SH+)/SS
터널	터널/NNG
붕괴사고가	붕괴/NNG+사고/NNG+가/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.2.4
안전 점검을 한 지 얼마 되지 않은 터널이 갑자기 붕괴, 9명이 숨진 사고다.

안전	안전/NNG
점검을	점검/NNG+을/JKO
한	하/VV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
되지	되/VV+지/EC
않은	않/VX+은/ETM
터널이	터널/NNG+이/JKS
갑자기	갑자기/MAG
붕괴,	붕괴/NNG+,/SP
9명이	9/SN+명/NNB+이/JKS
숨진	숨지/VV+ㄴ/ETM
사고다.	사고/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.3.1
고속철도 탈선 등 중국의 사고에 대해 "일본이라면 절대 있을 수 없는 일"이라고 자부하던 일본인들은 큰 충격에 빠졌다.

고속철도	고속/NNG+철도/NNG
탈선	탈선/NNG
등	등/NNB
중국의	중국/NNP+의/JKG
사고에	사고/NNG+에/JKB
대해	대하/VV+아/EC
"일본이라면	"/SS+일본/NNP+이/VCP+라면/EC
절대	절대/MAG
있을	있/VA+을/ETM
수	수/NNB
없는	없/VA+는/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
자부하던	자부/NNG+하/XSV+던/ETM
일본인들은	일본인/NNG+들/XSN+은/JX
큰	크/VA+ㄴ/ETM
충격에	충격/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.289.3.2
안전신화(安全神話)도 함께 붕괴했다.

안전신화(安全神話)도	안전/NNG+신화/NNG+(/SS+安全神話/SH+)/SS+도/JX
함께	함께/MAG
붕괴했다.	붕괴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.289.3.3
사사고 터널 사고는 1960~1970년대 고도성장기에 건설된 시설들이 한꺼번에 노후화되면서 나타난 것으로, 빙산의 일각에 불과하다.

사사고	사사고/NNP
터널	터널/NNG
사고는	사고/NNG+는/JX
1960~1970년대	1960/SN+~/SO+1970/SN+년대/NNB
고도성장기에	고도/NNG+성장기/NNG+에/JKB
건설된	건설/NNG+되/XSV+ㄴ/ETM
시설들이	시설/NNG+들/XSN+이/JKS
한꺼번에	한꺼번에/MAG
노후화되면서	노후/NNG+화/XSN+되/XSV+면서/EC
나타난	나타나/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
빙산의	빙산/NNG+의/JKG
일각에	일각/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000038.289.3.4
일본 정부는 안전 점검 등 대책을 마련하고 있지만, '인프라 고령화'에는 근본 대책이 되지 않는다.

일본	일본/NNP
정부는	정부/NNG+는/JX
안전	안전/NNG
점검	점검/NNG
등	등/NNB
대책을	대책/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
'인프라	'/SS+인프라/NNG
고령화'에는	고령/NNG+화/XSN+'/SS+에/JKB+는/JX
근본	근본/NNG
대책이	대책/NNG+이/JKC
되지	되/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000038.289.4.1
도쿄권 시내외를 가로지르는 수도권 고속도로의 경우 30%가 건설된 지 40년이 지났다.

도쿄권	도쿄/NNP+권/XSN
시내외를	시내외/NNG+를/JKO
가로지르는	가로지르/VV+는/ETM
수도권	수도/NNG+권/XSN
고속도로의	고속/NNG+도로/NNG+의/JKG
경우	경우/NNG
30%가	30/SN+%/SW+가/JKS
건설된	건설/NNG+되/XSV+ㄴ/ETM
지	지/NNB
40년이	40/SN+년/NNB+이/JKS
지났다.	지나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.289.4.2
30년이 지난 도로는 전체의 50%다.

30년이	30/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
도로는	도로/NNG+는/JX
전체의	전체/NNG+의/JKG
50%다.	50/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.4.3
보수작업이 필요한 곳만도 공식적으로 9만4000곳이다.

보수작업이	보수/NNG+작업/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
곳만도	곳/NNG+만/JX+도/JX
공식적으로	공식/NNG+적/XSN+으로/JKB
9만4000곳이다.	9/SN+만/NR+4000/SN+곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.289.5.1
대대적인 개보수를 할 경우, 보수비가 1조엔이 넘는다.

대대적인	대대적/NNG+이/VCP+ㄴ/ETM
개보수를	개보수/NNG+를/JKO
할	하/VV+ㄹ/ETM
경우,	경우/NNG+,/SP
보수비가	보수비/NNG+가/JKS
1조엔이	1/SN+조/NR+엔/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000038.289.5.2
전국 도로·교량의 경우, 향후 40년간 개보수 비용으로 600조엔이 넘게 들 것이라는 추산이 나온다.

전국	전국/NNG
도로·교량의	도로/NNG+·/SP+교량/NNG+의/JKG
