# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.4
metadata : {}


# id : NWRW1800000037.4.1.1
[시선집중, 이 주식]하이트진로…소주 가격 인상으로 실적 개선 기대

[시선집중,	[/SS+시선/NNG+집중/NNG+,/SP
이	이/MMD
주식]하이트진로…소주	주식/NNG+]/SS+하이트진로/NNP+…/SE+소주/NNG
가격	가격/NNG
인상으로	인상/NNG+으로/JKB
실적	실적/NNG
개선	개선/NNG
기대	기대/NNG


# id : NWRW1800000037.4.2.1
하이트진로가 지난해 말 소주 가격 인상을 계기로 본격적인 실적 개선에 나설 것으로 보인다.

하이트진로가	하이트진로/NNP+가/JKS
지난해	지난해/NNG
말	말/NNB
소주	소주/NNG
가격	가격/NNG
인상을	인상/NNG+을/JKO
계기로	계기/NNG+로/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
실적	실적/NNG
개선에	개선/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.4.2.2
소주시장에서 수익성을 회복해 최근 맥주 부분에서 부진했던 영업실적을 개선하겠다는 전략이다.

소주시장에서	소주/NNG+시장/NNG+에서/JKB
수익성을	수익/NNG+성/XSN+을/JKO
회복해	회복/NNG+하/XSV+아/EC
최근	최근/NNG
맥주	맥주/NNG
부분에서	부분/NNG+에서/JKB
부진했던	부진/NNG+하/XSA+았/EP+던/ETM
영업실적을	영업/NNG+실적/NNG+을/JKO
개선하겠다는	개선/NNG+하/XSV+겠/EP+다는/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.4.3.1
다만 음식점 등에서 소줏값을 지나치게 올리면 소주 매출이 떨어져 되레 실적이 나빠질 수 있다는 전망도 나온다.

다만	다만/MAG
음식점	음식점/NNG
등에서	등/NNB+에서/JKB
소줏값을	소줏값/NNG+을/JKO
지나치게	지나치/VA+게/EC
올리면	올리/VV+면/EC
소주	소주/NNG
매출이	매출/NNG+이/JKS
떨어져	떨어지/VV+어/EC
되레	되레/MAG
실적이	실적/NNG+이/JKS
나빠질	나빠지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
전망도	전망/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.4.4.1
○ 주춤한 맥주 소비, 소주로 극복

○	○/SW
주춤한	주춤/MAG+하/XSV+ㄴ/ETM
맥주	맥주/NNG
소비,	소비/NNG+,/SP
소주로	소주/NNG+로/JKB
극복	극복/NNG


# id : NWRW1800000037.4.5.1
하이트진로는 2011년 하이트맥주와 진로가 합병해 탄생한 국내 최대 주류업체다.

하이트진로는	하이트진로/NNP+는/JX
2011년	2011/SN+년/NNB
하이트맥주와	하이트맥주/NNP+와/JC
진로가	진로/NNP+가/JKS
합병해	합병/NNG+하/XSV+아/EC
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
국내	국내/NNG
최대	최대/NNG
주류업체다.	주류업체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.4.5.2
당시 업계에서는 하이트와 진로의 시너지 효과가 폭발적일 것으로 기대했지만 합병 이후 실적은 오히려 주춤했다.

당시	당시/NNG
업계에서는	업계/NNG+에서/JKB+는/JX
하이트와	하이트/NNP+와/JC
진로의	진로/NNP+의/JKG
시너지	시너지/NNG
효과가	효과/NNG+가/JKS
폭발적일	폭발/NNG+적/XSN+이/VCP+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대했지만	기대/NNG+하/XSV+았/EP+지만/EC
합병	합병/NNG
이후	이후/NNG
실적은	실적/NNG+은/JX
오히려	오히려/MAG
주춤했다.	주춤/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.4.6.1
합병 전 50%를 웃돌던 맥주시장 점유율은 40%대로 떨어졌고 오비맥주에 시장 1위 자리를 내줘야 했다.

합병	합병/NNG
전	전/NNG
50%를	50/SN+%/SW+를/JKO
웃돌던	웃돌/VV+던/ETM
맥주시장	맥주/NNG+시장/NNG
점유율은	점유/NNG+율/XSN+은/JX
40%대로	40/SN+%/SW+대/XSN+로/JKB
떨어졌고	떨어지/VV+었/EP+고/EC
오비맥주에	오비맥주/NNP+에/JKB
시장	시장/NNG
1위	1/SN+위/NNB
자리를	자리/NNG+를/JKO
내줘야	내주/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.4.6.2
합병 전 4만 원대이던 주가는 지난해 2만 원대 초반으로 떨어졌다.

합병	합병/NNG
전	전/NNG
4만	4/SN+만/NR
원대이던	원/NNB+대/XSN+이/VCP+던/ETM
주가는	주가/NNG+는/JX
지난해	지난해/NNG
2만	2/SN+만/NR
원대	원/NNB+대/XSN
초반으로	초반/NNG+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.4.7.1
지난해 말 단행한 소주 출고가 인상은 맥주시장의 부진을 상쇄해줄 호재로 꼽힌다.

지난해	지난해/NNG
말	말/NNB
단행한	단행/NNG+하/XSV+ㄴ/ETM
소주	소주/NNG
출고가	출고/NNG+가/XSN
인상은	인상/NNG+은/JX
맥주시장의	맥주/NNG+시장/NNG+의/JKG
부진을	부진/NNG+을/JKO
상쇄해줄	상쇄/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
호재로	호재/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.4.7.2
하이트진로는 지난해 말 소주 출고가를 8.19% 인상했다.

하이트진로는	하이트진로/NNP+는/JX
지난해	지난해/NNG
말	말/NNB
소주	소주/NNG
출고가를	출고/NNG+가/XSN+를/JKO
8.19%	8/SN+./SP+19/SN+%/SW
인상했다.	인상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.4.7.3
이에 따라 하이트진로가 만드는 ‘참이슬’은 360mL 한 병에 888.9원에서 961.7원으로 72.8원 올랐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
하이트진로가	하이트진로/NNP+가/JKS
만드는	만들/VV+는/ETM
‘참이슬’은	‘/SS+참이슬/NNP+’/SS+은/JX
360mL	360/SN+mL/SW
한	한/MMN
병에	병/NNG+에/JKB
888.9원에서	888/SN+./SP+9/SN+원/NNB+에서/JKB
961.7원으로	961/SN+./SP+7/SN+원/NNB+으로/JKB
72.8원	72/SN+./SP+8/SN+원/NNB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.4.7.4
대형마트 기준 소비자가격은 100원 정도 인상된 셈이다.

대형마트	대형/NNG+마트/NNG
기준	기준/NNG
소비자가격은	소비자/NNG+가격/NNG+은/JX
100원	100/SN+원/NNB
정도	정도/NNG
인상된	인상/NNG+되/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.4.8.1
참이슬의 가격이 오른 건 2008년 12월 이후 4년 만이다.

참이슬의	참이슬/NNP+의/JKG
가격이	가격/NNG+이/JKS
오른	오르/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
2008년	2008/SN+년/NNB
12월	12/SN+월/NNB
이후	이후/NNG
4년	4/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.4.8.2
소주의 원료인 주정 가격이 약 6% 오른 게 가격을 올린 원인이었다.

소주의	소주/NNG+의/JKG
원료인	원료/NNG+이/VCP+ㄴ/ETM
주정	주정/NNG
가격이	가격/NNG+이/JKS
약	약/MMA
6%	6/SN+%/SW
오른	오르/VV+ㄴ/ETM
게	거/NNB+이/JKS
가격을	가격/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
원인이었다.	원인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.4.8.3
금융투자 업계에서는 소주 가격 인상이 하이트진로의 실적에 긍정적으로 작용할 것으로 내다봤다.

금융투자	금융/NNG+투자/NNG
업계에서는	업계/NNG+에서/JKB+는/JX
소주	소주/NNG
가격	가격/NNG
인상이	인상/NNG+이/JKS
하이트진로의	하이트진로/NNP+의/JKG
실적에	실적/NNG+에/JKB
긍정적으로	긍정/NNG+적/XSN+으로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.4.9.1
여전히 탄탄한 소주시장 점유율도 실적 개선 전망을 밝게 했다.

여전히	여전히/MAG
탄탄한	탄탄하/VA+ㄴ/ETM
소주시장	소주/NNG+시장/NNG
점유율도	점유/NNG+율/XSN+도/JX
실적	실적/NNG
개선	개선/NNG
전망을	전망/NNG+을/JKO
밝게	밝/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.4.9.2
2011년 하반기 47%이던 소주시장 점유율은 지난해 49%로 올랐다.

2011년	2011/SN+년/NNB
하반기	하반기/NNG
47%이던	47/SN+%/SW+이/VCP+던/ETM
소주시장	소주/NNG+시장/NNG
점유율은	점유/NNG+율/XSN+은/JX
지난해	지난해/NNG
49%로	49/SN+%/SW+로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.4.9.3
2013년에는 점유율 50% 달성도 가능할 것으로 전문가들은 내다봤다.

2013년에는	2013/SN+년/NNB+에/JKB+는/JX
점유율	점유/NNG+율/XSN
50%	50/SN+%/SW
달성도	달성/NNG+도/JX
가능할	가능/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.4.9.4
송광수 메리츠종금증권 연구원은 “소줏값 인상으로 연간 매출은 약 130억 원, 이익은 90억 원 이상 오를 것”이라고 말했다.

송광수	송광수/NNP
메리츠종금증권	메리츠종금증권/NNP
연구원은	연구원/NNG+은/JX
“소줏값	“/SS+소줏값/NNG
인상으로	인상/NNG+으로/JKB
연간	연간/NNG
매출은	매출/NNG+은/JX
약	약/MMA
130억	130/SN+억/NR
원,	원/NNB+,/SP
이익은	이익/NNG+은/JX
90억	90/SN+억/NR
원	원/NNB
이상	이상/NNG
오를	오르/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.4.10.1
○ 음식점 소주 가격 인상이 관건

○	○/SW
음식점	음식점/NNG
소주	소주/NNG
가격	가격/NNG
인상이	인상/NNG+이/JKS
관건	관건/NNG


# id : NWRW1800000037.4.11.1
소주 출고가 인상은 단기적으로 하이트진로에 호재로 작용하겠지만 불안요소는 아직 남아있다.

소주	소주/NNG
출고가	출고/NNG+가/XSN
인상은	인상/NNG+은/JX
단기적으로	단기/NNG+적/XSN+으로/JKB
하이트진로에	하이트진로/NNP+에/JKB
호재로	호재/NNG+로/JKB
작용하겠지만	작용/NNG+하/XSV+겠/EP+지만/EC
불안요소는	불안/NNG+요소/NNG+는/JX
아직	아직/MAG
남아있다.	남/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000037.4.11.2
음식점 등 소매점에서 소주 가격을 지나치게 높게 책정할 경우 매출 감소로 이어질 수 있기 때문이다.

음식점	음식점/NNG
등	등/NNB
소매점에서	소매점/NNG+에서/JKB
소주	소주/NNG
가격을	가격/NNG+을/JKO
지나치게	지나치/VA+게/EC
높게	높/VA+게/EC
책정할	책정/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
매출	매출/NNG
감소로	감소/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.4.12.1
백운목 KDB대우증권 연구원은 “음식점과 주점에서 소주 가격을 4000원으로 인상할 경우 장기적으로 소주 소비 감소로 이어질 수 있다”며 “하이트진로는 새로운 주류 제품을 출시해 매출 규모를 유지해야 한다”고 강조했다.

백운목	백운목/NNP
KDB대우증권	KDB대우증권/NNP
연구원은	연구원/NNG+은/JX
“음식점과	“/SS+음식점/NNG+과/JC
