# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.286
metadata : {}


# id : NWRW1800000032.286.1.1
‘내신 절대평가’ 전국서 반발

‘내신	‘/SS+내신/NNG
절대평가’	절대/NNG+평가/NNG+’/SS
전국서	전국/NNG+서/JKB
반발	반발/NNG


# id : NWRW1800000032.286.2.1
“자사고·특목고 살리자고 농어촌고·일반고 죽이나”

“자사고·특목고	“/SS+자사고/NNG+·/SP+특목고/NNG
살리자고	살리/VV+자고/EC
농어촌고·일반고	농어촌고/NNG+·/SP+일반고/NNG
죽이나”	죽이/VV+나/EF+”/SS


# id : NWRW1800000032.286.3.1
교육청·학교들 비판 잇따라…교과위 야당 의원들도 “반대”

교육청·학교들	교육청/NNG+·/SP+학교/NNG+들/XSN
비판	비판/NNG
잇따라…교과위	잇따르/VV+아/EC+…/SE+교과위/NNG
야당	야당/NNG
의원들도	의원/NNG+들/XSN+도/JX
“반대”	“/SS+반대/NNG+”/SS


# id : NWRW1800000032.286.4.1
교육과학기술부가 2014학년도부터 고등학교 내신평가를 절대평가로 바꾸기로 하자 곳곳의 우려가 크다.

교육과학기술부가	교육/NNG+과학/NNG+기술부/NNG+가/JKS
2014학년도부터	2014/SN+학년도/NNG+부터/JX
고등학교	고등학교/NNG
내신평가를	내신/NNG+평가/NNG+를/JKO
절대평가로	절대/NNG+평가/NNG+로/JKB
바꾸기로	바꾸/VV+기/ETN+로/JKB
하자	하/VV+자/EC
곳곳의	곳곳/NNG+의/JKG
우려가	우려/NNG+가/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000032.286.5.1
민병희 강원도교육감은 15일 “현행 입시제도의 개선이 전제되지 않으면 자율형사립고와 특수목적고는 특혜를, 농산어촌 고교와 일반고는 황폐화되는 결과를 가져올 것”이라고 비판했다.

민병희	민병희/NNP
강원도교육감은	강원도/NNP+교육감/NNG+은/JX
15일	15/SN+일/NNB
“현행	“/SS+현행/NNG
입시제도의	입시/NNG+제도/NNG+의/JKG
개선이	개선/NNG+이/JKS
전제되지	전제/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
자율형사립고와	자율/NNG+형/XSN+사립고/NNG+와/JC
특수목적고는	특수/NNG+목적고/NNG+는/JX
특혜를,	특혜/NNG+를/JKO+,/SP
농산어촌	농산어촌/NNG
고교와	고교/NNG+와/JC
일반고는	일반고/NNG+는/JX
황폐화되는	황폐/NNG+화/XSN+되/XSV+는/ETM
결과를	결과/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.286.5.2
그는 이날 보도자료를 통해 “절대평가 도입으로 고교 내신 부풀리기와 사교육 증가, 국·영·수 중심의 몰입교육, 교사 평가권 불신, 고교 등급제 출현 등이 우려된다”며 “대입제도와 대학서열화 개선 등의 종합적인 대책을 마련한 뒤 고교 내신 절대평가제를 도입해야 한다”고 밝혔다.

그는	그/NP+는/JX
이날	이날/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
“절대평가	“/SS+절대/NNG+평가/NNG
도입으로	도입/NNG+으로/JKB
고교	고교/NNG
내신	내신/NNG
부풀리기와	부풀리기/NNG+와/JC
사교육	사교육/NNG
증가,	증가/NNG+,/SP
국·영·수	국·영·수/NNG
중심의	중심/NNG+의/JKG
몰입교육,	몰입/NNG+교육/NNG+,/SP
교사	교사/NNG
평가권	평가/NNG+권/XSN
불신,	불신/NNG+,/SP
등급제	등급/NNG+제/XSN
출현	출현/NNG
등이	등/NNB+이/JKS
우려된다”며	우려/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“대입제도와	“/SS+대입/NNG+제도/NNG+와/JC
대학서열화	대학/NNG+서열/NNG+화/XSN
개선	개선/NNG
등의	등/NNB+의/JKG
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
대책을	대책/NNG+을/JKO
마련한	마련/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
절대평가제를	절대/NNG+평가/NNG+제/XSN+를/JKO
도입해야	도입/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.286.6.1
안민석 민주당 의원 등 국회 교육과학기술위원회 소속 야당 의원들은 이날 오전 국회 정론관에서 기자회견을 열어 “이명박 정부 4년 동안 자사고 등 입시 명문고를 대거 양산해 기존의 특목고와 함께 고교 교육을 서열화·계층화시켜왔다”며 “이런 상황에서 (고교 내신의) 절대평가 전환은 자사고와 특목고 살리기 방안이 될 것이고, 고교등급제 도입과 특목고 학생 유치에 혈안이 됐던 주요 대학들의 욕구까지 충족하는 내신 무력화 방안이 될 것”이라고 지적했다.

안민석	안민석/NNP
민주당	민주당/NNP
의원	의원/NNG
등	등/NNB
국회	국회/NNG
교육과학기술위원회	교육/NNG+과학/NNG+기술/NNG+위원회/NNG
소속	소속/NNG
야당	야당/NNG
의원들은	의원/NNG+들/XSN+은/JX
이날	이날/NNG
오전	오전/NNG
정론관에서	정론관/NNG+에서/JKB
