# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.20
metadata : {}


# id : NWRW1800000032.20.1.1
주식 배당금 ‘이건희’ 위에 ‘홍석현’

주식	주식/NNG
배당금	배당금/NNG
‘이건희’	‘/SS+이건희/NNP+’/SS
위에	위/NNG+에/JKB
‘홍석현’	‘/SS+홍석현/NNP+’/SS


# id : NWRW1800000032.20.2.1
홍회장, 삼성코닝서 2464억 상장·비상장사 통틀어 1위 종편 설립자금으로 흘러든듯

홍회장,	홍/NNP+회장/NNG+,/SP
삼성코닝서	삼성코닝/NNP+서/JKB
2464억	2464/SN+억/NR
상장·비상장사	상장/NNG+·/SP+비상장사/NNG
통틀어	통틀어/MAG
1위	1/SN+위/NNB
종편	종편/NNG
설립자금으로	설립/NNG+자금/NNG+으로/JKB
흘러든듯	흘러들/VV+ㄴ/ETM+듯/NNB


# id : NWRW1800000032.20.3.1
홍석현 중앙일보 회장이 역대 최고액의 배당을 받은 ‘배당 갑부’가 됐다.

홍석현	홍석현/NNP
중앙일보	중앙일보/NNP
회장이	회장/NNG+이/JKS
역대	역대/NNG
최고액의	최고액/NNG+의/JKG
배당을	배당/NNG+을/JKO
받은	받/VV+은/ETM
‘배당	‘/SS+배당/NNG
갑부’가	갑부/NNG+’/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.20.3.2
홍 회장은 7.32%의 지분을 보유한 비상장사인 삼성코닝정밀소재에서 올해 2464억원의 배당금을 받아 상장사와 비상장사를 통틀어 역대 최고액을 기록했다.

홍	홍/NNP
회장은	회장/NNG+은/JX
7.32%의	7/SN+./SP+32/SN+%/SW+의/JKG
지분을	지분/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
비상장사인	비상장사/NNG+이/VCP+ㄴ/ETM
삼성코닝정밀소재에서	삼성코닝정밀소재/NNP+에서/JKB
올해	올해/NNG
2464억원의	2464/SN+억/NR+원/NNB+의/JKG
배당금을	배당금/NNG+을/JKO
받아	받/VV+아/EC
상장사와	상장사/NNG+와/JC
비상장사를	비상장사/NNG+를/JKO
통틀어	통틀어/MAG
역대	역대/NNG
최고액을	최고액/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.20.3.3
올 상장사 배당부자 1위인 이건희 삼성전자 회장이 비상장사를 포함해 받은 배당금 총액 1346억원보다 무려 1000억원 이상 많다.

올	올/NNG
상장사	상장사/NNG
배당부자	배당/NNG+부자/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
이건희	이건희/NNP
삼성전자	삼성전자/NNP
회장이	회장/NNG+이/JKS
비상장사를	비상장사/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
받은	받/VV+은/ETM
배당금	배당금/NNG
총액	총액/NNG
1346억원보다	1346/SN+억/NR+원/NNB+보다/JKB
무려	무려/MAG
1000억원	1000/SN+억/NR+원/NNB
이상	이상/NNG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000032.20.4.1
삼성코닝정밀소재는 지난해 당기순이익 3조2900억원을 기록했는데, 순이익보다 많은 3조3600억원을 배당했다.

삼성코닝정밀소재는	삼성코닝정밀소재/NNP+는/JX
지난해	지난해/NNG
