# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.179
metadata : {}


# id : NWRW1800000041.179.1.1
“해양클러스터, 바다영토 확장 첨병”

“해양클러스터,	“/SS+해양/NNG+클러스터/NNG+,/SP
바다영토	바다/NNG+영토/NNG
확장	확장/NNG
첨병”	첨병/NNG+”/SS


# id : NWRW1800000041.179.2.1
취임 2년 맞는 박한일 해양대 총장

취임	취임/NNG
2년	2/SN+년/NNB
맞는	맞/VV+는/ETM
박한일	박한일/NNP
해양대	해양대/NNG
총장	총장/NNG


# id : NWRW1800000041.179.3.1
“대한민국이 세계 조선 1위, 항만 5위, 해운 8위의 해양강국으로 성장하는 데는 한국해양대의 기여도가 컸다고 자부합니다.”

“대한민국이	“/SS+대한민국/NNP+이/JKS
세계	세계/NNG
조선	조선/NNG
1위,	1/SN+위/NNB+,/SP
항만	항만/NNG
5위,	5/SN+위/NNB+,/SP
해운	해운/NNG
8위의	8/SN+위/NNB+의/JKG
해양강국으로	해양/NNG+강국/NNG+으로/JKB
성장하는	성장/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
한국해양대의	한국해양대/NNP+의/JKG
기여도가	기여도/NNG+가/JKS
컸다고	크/VA+었/EP+다고/EC
자부합니다.”	자부/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000041.179.4.1
박한일 한국해양대 총장(57·사진)은 17일 총장 접견실에서 본보 기자와 만난 자리에서 개교 68년을 맞는 한국해양대의 역할을 이렇게 평가했다.

박한일	박한일/NNP
한국해양대	한국해양대/NNP
총장(57·사진)은	총장/NNG+(/SS+57/SN+·/SP+사진/NNG+)/SS+은/JX
17일	17/SN+일/NNB
총장	총장/NNG
접견실에서	접견실/NNG+에서/JKB
본보	본보/NNG
기자와	기자/NNG+와/JKB
만난	만나/VV+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
개교	개교/NNG
68년을	68/SN+년/NNB+을/JKO
맞는	맞/VV+는/ETM
한국해양대의	한국해양대/NNP+의/JKG
역할을	역할/NNG+을/JKO
이렇게	이렇/VA+게/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.179.5.1
박 총장은 학내에서 ‘해결사’로 불린다.

박	박/NNP
총장은	총장/NNG+은/JX
학내에서	학내/NNG+에서/JKB
‘해결사’로	‘/SS+해결사/NNG+’/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.179.5.2
2012년 3월 6대 총장으로 취임한 이후 제2캠퍼스 착공, 입학정원 증원, 해양클러스터 구축, 해양과학기술대학원 개교 등 한국해양대의 굵직한 숙원 사업을 성공적으로 수행해 왔기 때문이다.

2012년	2012/SN+년/NNB
3월	3/SN+월/NNB
6대	6/SN+대/NNB
총장으로	총장/NNG+으로/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
제2캠퍼스	제/XPN+2/SN+캠퍼스/NNG
착공,	착공/NNG+,/SP
입학정원	입학/NNG+정원/NNG
증원,	증원/NNG+,/SP
해양클러스터	해양/NNG+클러스터/NNG
구축,	구축/NNG+,/SP
해양과학기술대학원	해양과학기술대학원/NNP
개교	개교/NNG
등	등/NNB
한국해양대의	한국해양대/NNP+의/JKG
굵직한	굵직하/VA+ㄴ/ETM
숙원	숙원/NNG
사업을	사업/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
수행해	수행/NNG+하/XSV+아/EC
왔기	오/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.179.6.1
1945년 11월 해양입국을 기치로 설립된 한국해양대는 항해사 기관사 해기사 등 해양 산업 인재들을 키우는 국립종합대.

1945년	1945/SN+년/NNB
11월	11/SN+월/NNB
해양입국을	해양/NNG+입국/NNG+을/JKO
기치로	기치/NNG+로/JKB
설립된	설립/NNG+되/XSV+ㄴ/ETM
한국해양대는	한국해양대/NNP+는/JX
항해사	항해사/NNG
기관사	기관사/NNG
해기사	해기사/NNG
등	등/NNB
해양	해양/NNG
산업	산업/NNG
인재들을	인재/NNG+들/XSN+을/JKO
키우는	키우/VV+는/ETM
국립종합대.	국립/NNG+종합대/NNG+./SF


# id : NWRW1800000041.179.6.2
최근엔 해양 과학기술, 조선 및 정보기술융합 분야와 해양경찰 인력도 배출하고 있다.

최근엔	최근/NNG+에/JKB+ㄴ/JX
해양	해양/NNG
과학기술,	과학/NNG+기술/NNG+,/SP
조선	조선/NNG
및	및/MAG
정보기술융합	정보/NNG+기술/NNG+융합/NNG
분야와	분야/NNG+와/JC
해양경찰	해양/NNG+경찰/NNG
인력도	인력/NNG+도/JX
배출하고	배출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.179.7.1
그는 우선 역점 사업으로 교육 인프라와 역량 강화를 들었다.

그는	그/NP+는/JX
우선	우선/MAG
역점	역점/NNG
사업으로	사업/NNG+으로/JKB
교육	교육/NNG
인프라와	인프라/NNG+와/JC
역량	역량/NNG
강화를	강화/NNG+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.179.8.1
