# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.231
metadata : {}


# id : NWRW1800000033.231.1.1
[런던 올림픽 D-2 ]“청년실업 신음 속 올림픽 돈 잔치… 폐막 뒤가 걱정”

[런던	[/SS+런던/NNP
올림픽	올림픽/NNG
D-2	D/SL+-/SO+2/SN
]“청년실업	]/SS+“/SS+청년/NNG+실업/NNG
신음	신음/NNG
속	속/NNG
돈	돈/NNG
잔치…	잔치/NNG+…/SE
폐막	폐막/NNG
뒤가	뒤/NNG+가/JKS
걱정”	걱정/NNG+”/SS


# id : NWRW1800000033.231.2.1
‘올림픽 모드’ 트래펄가 광장 20, 30대는 ‘불평 모드’

‘올림픽	‘/SS+올림픽/NNG
모드’	모드/NNG+’/SS
트래펄가	트래펄가/NNP
광장	광장/NNG
20,	20/SN+,/SP
30대는	30/SN+대/NNB+는/JX
‘불평	‘/SS+불평/NNG


# id : NWRW1800000033.231.3.1
“경기장 찾을 생각 있나?”

“경기장	“/SS+경기장/NNG
찾을	찾/VV+을/ETM
생각	생각/NNG
있나?”	있/VA+나/EF+?/SF+”/SS


# id : NWRW1800000033.231.3.2
자원봉사자 빼고 모두 “NO!”… 대부분 ‘K-pop’ 존재 몰라

자원봉사자	자원봉사자/NNG
빼고	빼/VV+고/EC
모두	모두/MAG
“NO!”…	“/SS+NO/SL+!/SF+”/SS+…/SE
대부분	대/XPN+부분/NNG
‘K-pop’	‘/SS+K/SL+-/SO+pop/SL+’/SS
존재	존재/NNG
몰라	모르/VV+아/EC


# id : NWRW1800000033.231.4.1
23일 낮 영국 런던의 심장 트래펄가 광장은 전 세계에서 몰려든 올림픽 관광객들로 인산인해였다.

23일	23/SN+일/NNB
낮	낮/NNG
영국	영국/NNP
런던의	런던/NNP+의/JKG
심장	심장/NNG
트래펄가	트래펄가/NNP
광장은	광장/NNG+은/JX
전	전/MMN
세계에서	세계/NNG+에서/JKB
몰려든	몰려들/VV+ㄴ/ETM
올림픽	올림픽/NNG
관광객들로	관광객/NNG+들/XSN+로/JKB
인산인해였다.	인산인해/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.231.4.2
광장 중심부는 올림픽 개막행사의 무대 설치작업이 한창이었다.

광장	광장/NNG
중심부는	중심부/NNG+는/JX
올림픽	올림픽/NNG
개막행사의	개막/NNG+행사/NNG+의/JKG
무대	무대/NNG
설치작업이	설치/NNG+작업/NNG+이/JKS
한창이었다.	한창/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.231.4.3
광장 뒤편 내셔널갤러리 입구에는 올림픽 개막까지 남은 시간을 알리는 전광판이 축제 분위기를 고조시켰다.

광장	광장/NNG
뒤편	뒤편/NNG
내셔널갤러리	내셔널갤러리/NNP
입구에는	입구/NNG+에/JKB+는/JX
올림픽	올림픽/NNG
개막까지	개막/NNG+까지/JX
남은	남/VV+은/ETM
시간을	시간/NNG+을/JKO
알리는	알리/VV+는/ETM
전광판이	전광판/NNG+이/JKS
축제	축제/NNG
분위기를	분위기/NNG+를/JKO
고조시켰다.	고조/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.231.5.1
런던의 겉모습이 조금씩 올림픽 모드로 탈바꿈하고 있는 그 시각.

런던의	런던/NNP+의/JKG
겉모습이	겉모습/NNG+이/JKS
조금씩	조금/NNG+씩/XSN
올림픽	올림픽/NNG
모드로	모드/NNG+로/JKB
탈바꿈하고	탈바꿈/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
그	그/MMD
시각.	시각/NNG+./SF


# id : NWRW1800000033.231.5.2
영국의 젊은이들도 모처럼 햇볕을 쬐기 위해 광장으로 나왔다.

영국의	영국/NNP+의/JKG
젊은이들도	젊은이/NNG+들/XSN+도/JX
모처럼	모처럼/MAG
햇볕을	햇볕/NNG+을/JKO
쬐기	쬐/VV+기/ETN
위해	위하/VV+아/EC
광장으로	광장/NNG+으로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.231.5.3
하지만 그들은 올림픽을 앞둔 나라의 청년이라고 보기엔 너무나 차분했다.

하지만	하지만/MAJ
그들은	그/NP+들/XSN+은/JX
올림픽을	올림픽/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
나라의	나라/NNG+의/JKG
청년이라고	청년/NNG+이/VCP+라고/EC
보기엔	보/VV+기/ETN+에/JKB+ㄴ/JX
너무나	너무나/MAG
차분했다.	차분하/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.231.5.4
런던 트래펄가 광장, 런던대 주변을 돌며 영국 20, 30대 젊은이 30여 명과 만나 올림픽에 무관심한 세태를 들여다봤다.

런던	런던/NNP
트래펄가	트래펄가/NNP
광장,	광장/NNG+,/SP
런던대	런던대/NNP
주변을	주변/NNG+을/JKO
돌며	돌/VV+며/EC
영국	영국/NNP
20,	20/SN+,/SP
