# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.349
metadata : {}


# id : NWRW1800000037.349.1.1
黨대표 김한길 만든 내조대표 최명길

黨대표	黨/SH+대표/NNG
김한길	김한길/NNP
만든	만들/VV+ㄴ/ETM
내조대표	내조/NNG+대표/NNG
최명길	최명길/NNP


# id : NWRW1800000037.349.2.1
대의원에 전화 등 당선 일등공신… 배우로 두번째 야당대표 부인에

대의원에	대의원/NNG+에/JKB
전화	전화/NNG
등	등/NNB
당선	당선/NNG
일등공신…	일등/NNG+공신/NNG+…/SE
배우로	배우/NNG+로/JKB
두번째	두/MMN+번/NNB+째/XSN
야당대표	야당/NNG+대표/NNG
부인에	부인/NNG+에/JKB


# id : NWRW1800000037.349.3.1
내조의 여왕?

내조의	내조/NNG+의/JKG
여왕?	여왕/NNG+?/SF


# id : NWRW1800000037.349.4.1
민주당 김한길 대표(60)의 뒤에는 늘 탤런트 최명길 씨(51·사진)가 있었다.

민주당	민주당/NNP
김한길	김한길/NNP
대표(60)의	대표/NNG+(/SS+60/SN+)/SS+의/JKG
뒤에는	뒤/NNG+에/JKB+는/JX
늘	늘/MAG
탤런트	탤런트/NNG
최명길	최명길/NNP
씨(51·사진)가	씨/NNB+(/SS+51/SN+·/SP+사진/NNG+)/SS+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.349.4.2
이번 5·4전당대회 때 최 씨는 드라마 출연으로 인해 김 대표와 모든 일정을 함께 뛰지는 못했지만 울산과 광주 대의원 개편대회, 경기 고양시 일산킨텍스에서 열린 전당대회 당일에 참석해 남편에 대한 지지를 호소했다.

이번	이번/NNG
5·4전당대회	5/SN+·/SP+4/SN+전당/NNG+대회/NNG
때	때/NNG
최	최/NNP
씨는	씨/NNB+는/JX
드라마	드라마/NNG
출연으로	출연/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
김	김/NNP
대표와	대표/NNG+와/JKB
모든	모든/MMN
일정을	일정/NNG+을/JKO
함께	함께/MAG
뛰지는	뛰/VV+지/EC+는/JX
못했지만	못하/VX+았/EP+지만/EC
울산과	울산/NNP+과/JC
광주	광주/NNP
대의원	대의원/NNG
개편대회,	개편/NNG+대회/NNG+,/SP
경기	경기/NNP
고양시	고양시/NNP
일산킨텍스에서	일산/NNP+킨텍스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
전당대회	전당/NNG+대회/NNG
당일에	당일/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
남편에	남편/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.349.4.3
