# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.143
metadata : {}


# id : NWRW1800000049.143.1.1
청춘 주제 책 고르고 대형 그라피티 함께 만들어요

청춘	청춘/NNG
주제	주제/NNG
책	책/NNG
고르고	고르/VV+고/EC
대형	대형/NNG
그라피티	그라피티/NNG
함께	함께/MAG
만들어요	만들/VV+어요/EF


# id : NWRW1800000049.143.2.1
채널A 개국 5주년 맞아 ‘하이파이브 북카페’ 열어

채널A	채널A/NNP
개국	개국/NNG
5주년	5/SN+주년/NNB
맞아	맞/VV+아/EC
‘하이파이브	‘/SS+하이파이브/NNG
북카페’	북카페/NNG+’/SS
열어	열/VV+어/EF


# id : NWRW1800000049.143.3.1
채널A가 12월 1일 개국 5주년을 맞아 ‘하이파이브 북카페’를 열고 청년 공공미술 프로젝트인 ‘청춘과 하이파이브’를 진행한다.

채널A가	채널A/NNP+가/JKS
12월	12/SN+월/NNB
1일	1/SN+일/NNB
개국	개국/NNG
5주년을	5/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
‘하이파이브	‘/SS+하이파이브/NNG
북카페’를	북카페/NNG+’/SS+를/JKO
열고	열/VV+고/EC
청년	청년/NNG
공공미술	공공/NNG+미술/NNG
프로젝트인	프로젝트/NNG+이/VCP+ㄴ/ETM
‘청춘과	‘/SS+청춘/NNG+과/JKB
하이파이브’를	하이파이브/NNG+’/SS+를/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.4.1
교보문고와 함께 운영하는 ‘하이파이브 북카페’는 서울 종로구 청계천로 동아미디어그룹 사옥 앞에 설치한 투명 컨테이너에서 30일부터 다음 달 9일까지 열흘간 문을 연다.

교보문고와	교보문고/NNP+와/JKB
함께	함께/MAG
운영하는	운영/NNG+하/XSV+는/ETM
‘하이파이브	‘/SS+하이파이브/NNG
북카페’는	북카페/NNG+’/SS+는/JX
서울	서울/NNP
종로구	종로구/NNP
청계천로	청계천로/NNP
동아미디어그룹	동아미디어그룹/NNP
사옥	사옥/NNG
앞에	앞/NNG+에/JKB
설치한	설치/NNG+하/XSV+ㄴ/ETM
투명	투명/NNG
컨테이너에서	컨테이너/NNG+에서/JKB
30일부터	30/SN+일/NNB+부터/JX
다음	다음/NNG
달	달/NNG
9일까지	9/SN+일/NNB+까지/JX
열흘간	열흘/NNG+간/XSN
문을	문/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.5.1
북카페에서는 채널A의 개국 5주년 슬로건인 ‘하이파이브’의 취지에 맞춰 응원과 격려, 소통을 주제로 한 책들을 선보인다.

북카페에서는	북카페/NNG+에서/JKB+는/JX
채널A의	채널A/NNP+의/JKG
개국	개국/NNG
5주년	5/SN+주년/NNB
슬로건인	슬로건/NNG+이/VCP+ㄴ/ETM
‘하이파이브’의	‘/SS+하이파이브/NNG+’/SS+의/JKG
취지에	취지/NNG+에/JKB
맞춰	맞추/VV+어/EC
응원과	응원/NNG+과/JC
격려,	격려/NNG+,/SP
소통을	소통/NNG+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
책들을	책/NNG+들/XSN+을/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.5.2
교보문고가 특정 주제에 맞춰 책과 소품을 소개하는 큐레이션 코너인 ‘편집샵: K’에서는 청춘을 테마로 한 책과 함께 관련된 물건과 문장 등을 전시한다.

교보문고가	교보문고/NNP+가/JKS
특정	특정/NNG
주제에	주제/NNG+에/JKB
맞춰	맞추/VV+어/EC
책과	책/NNG+과/JKB
소품을	소품/NNG+을/JKO
소개하는	소개/NNG+하/XSV+는/ETM
큐레이션	큐레이션/NNG
코너인	코너/NNG+이/VCP+ㄴ/ETM
‘편집샵:	‘/SS+편집/NNG+샵/NNG+:/SP
K’에서는	K/SL+’/SS+에서/JKB+는/JX
청춘을	청춘/NNG+을/JKO
테마로	테마/NNG+로/JKB
한	하/VV+ㄴ/ETM
함께	함께/MAG
관련된	관련/NNG+되/XSV+ㄴ/ETM
물건과	물건/NNG+과/JC
문장	문장/NNG
등을	등/NNB+을/JKO
전시한다.	전시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.143.5.3
교보문고의 지식서비스 ‘북모닝CEO’가 청춘에게 보내는 격려와 응원을 다룬 50여 종의 책도 만날 수 있다.

교보문고의	교보문고/NNP+의/JKG
지식서비스	지식/NNG+서비스/NNG
‘북모닝CEO’가	‘/SS+북/NNG+모닝/NNG+CEO/SL+’/SS+가/JKS
청춘에게	청춘/NNG+에게/JKB
