# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.269
metadata : {}


# id : NWRW1800000053.269.1.1
[홍수영의 뉴스룸]끝내 보수의 샛별은 빛나지 않는가

[홍수영의	[/SS+홍수영/NNP+의/JKG
뉴스룸]끝내	뉴스룸/NNG+]/SS+끝내/MAG
보수의	보수/NNG+의/JKG
샛별은	샛별/NNG+은/JX
빛나지	빛나/VV+지/EC
않는가	않/VX+는가/EF


# id : NWRW1800000053.269.2.1
보수 재건의 스타트를 자유한국당 서청원, 최경환 의원이 끊어줬으면 했다.

보수	보수/NNG
재건의	재건/NNG+의/JKG
스타트를	스타트/NNG+를/JKO
자유한국당	자유한국당/NNP
서청원,	서청원/NNP+,/SP
최경환	최경환/NNP
의원이	의원/NNG+이/JKS
끊어줬으면	끊/VV+어/EC+주/VX+었/EP+으면/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.269.2.2
정치인들에게는 ‘목숨’과 같겠지만 21대 총선 불출마를 선언하는 일이다.

정치인들에게는	정치인/NNG+들/XSN+에게/JKB+는/JX
‘목숨’과	‘/SS+목숨/NNG+’/SS+과/JKB
같겠지만	같/VA+겠/EP+지만/EC
21대	21/SN+대/NNB
총선	총선/NNG
불출마를	불/XPN+출마/NNG+를/JKO
선언하는	선언/NNG+하/XSV+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.269.2.3
대선 때 하지 못한 박근혜 전 대통령과 한국당의 ‘정치적 결별’을 이들이 고해줬으면 했다.

대선	대선/NNG
때	때/NNG
하지	하/VV+지/EC
못한	못하/VX+ㄴ/ETM
박근혜	박근혜/NNP
전	전/MMD
대통령과	대통령/NNG+과/JKB
한국당의	한국당/NNP+의/JKG
‘정치적	‘/SS+정치/NNG+적/XSN
결별’을	결별/NNG+’/SS+을/JKO
이들이	이/NP+들/XSN+이/JKS
고해줬으면	고하/VV+아/EC+주/VX+었/EP+으면/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.269.2.4
안 그래도 잔뜩 웅크리고 지내는데 왜 들쑤시느냐고 억울해할 수도 있다.

안	안/MAG
그래도	그러/VV+어도/EC
잔뜩	잔뜩/MAG
웅크리고	웅크리/VV+고/EC
지내는데	지내/VV+는데/EC
왜	왜/MAG
들쑤시느냐고	들쑤시/VV+느냐고/EC
억울해할	억울/NNG+하/XSA+아/EC+하/VX+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.269.2.5
최 의원은 자신을 향한 비난에 심적 고통을 겪으며 생니가 여러 개 빠졌다고 한다.

최	최/NNP
의원은	의원/NNG+은/JX
자신을	자신/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
비난에	비난/NNG+에/JKB
심적	심적/NNG
고통을	고통/NNG+을/JKO
겪으며	겪/VV+으며/EC
생니가	생/XPN+니/NNG+가/JKS
여러	여러/MMN
개	개/NNB
