# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.2
metadata : {}


# id : NWRW1800000030.2.1.1
'아이패드 앱'은 3주만에 다운로드 4만건

'아이패드	'/SS+아이패드/NNP
앱'은	앱/NNG+'/SS+은/JX
3주만에	3/SN+주/NNB+만/NNB+에/JKB
다운로드	다운로드/NNG
4만건	4/SN+만/NR+건/NNB


# id : NWRW1800000030.2.2.1
•다양한 태블릿PC 앱 개발… '옵티머스 패드 앱'도 예정

•다양한	•/SW+다양/NNG+하/XSA+ㄴ/ETM
태블릿PC	태블릿/NNG+PC/SL
앱	앱/NNG
개발…	개발/NNG+…/SE
'옵티머스	'/SS+옵티머스/NNP
패드	패드/NNP
앱'도	앱/NNG+'/SS+도/JX
예정	예정/NNG


# id : NWRW1800000030.2.3.1
"통 큰 화면에 통 크게 맞춰라!"

"통	"/SS+통/NNG
큰	크/VA+ㄴ/ETM
화면에	화면/NNG+에/JKB
통	통/NNG
크게	크/VA+게/EC
맞춰라!"	맞추/VV+어라/EF+!/SF+"/SS


# id : NWRW1800000030.2.4.1
조선일보가 이달 초 아이패드 앱을 성공적으로 출시한 데 이어 3주 만에 갤럭시탭 전용 앱을 선보이면서, 다양한 태블릿PC에 대응한 '조선일보 뉴스 앱 완비(完備) 체제'에 한 걸음 더 다가섰다.

조선일보가	조선일보/NNP+가/JKS
이달	이달/NNG
초	초/NNB
아이패드	아이패드/NNP
앱을	앱/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
출시한	출시/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
3주	3/SN+주/NNB
만에	만/NNB+에/JKB
갤럭시탭	갤럭시탭/NNP
전용	전용/NNG
선보이면서,	선보이/VV+면서/EC+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
태블릿PC에	태블릿/NNG+PC/SL+에/JKB
대응한	대응/NNG+하/XSV+ㄴ/ETM
'조선일보	'/SS+조선일보/NNP
뉴스	뉴스/NNG
앱	앱/NNG
완비(完備)	완비/NNG+(/SS+完備/SH+)/SS
체제'에	체제/NNG+'/SS+에/JKB
한	한/MMN
걸음	걸음/NNG
더	더/MAG
다가섰다.	다가서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.2.5.1
조선일보가 갤럭시탭 전용 앱을 새로 출시한 것은 기존에 갤럭시탭에 제공되던 뉴스 서비스의 한계 때문이었다.

조선일보가	조선일보/NNP+가/JKS
갤럭시탭	갤럭시탭/NNP
전용	전용/NNG
앱을	앱/NNG+을/JKO
새로	새로/MAG
출시한	출시/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
기존에	기존/NNG+에/JKB
갤럭시탭에	갤럭시탭/NNP+에/JKB
제공되던	제공/NNG+되/XSV+던/ETM
뉴스	뉴스/NNG
서비스의	서비스/NNG+의/JKG
한계	한계/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.2.5.2
그동안 본사를 비롯한 대부분의 국내 언론사들은 갤럭시S(4인치)와 같은 안드로이드 계열의 스마트폰용 앱 화면을 확대해 갤럭시탭(7인치)에 서비스해왔다.

그동안	그동안/NNG
본사를	본사/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
대부분의	대/XPN+부분/NNG+의/JKG
국내	국내/NNG
언론사들은	언론사/NNG+들/XSN+은/JX
갤럭시S(4인치)와	갤럭시S/NNP+(/SS+4/SN+인치/NNB+)/SS+와/JKB
같은	같/VA+은/ETM
안드로이드	안드로이드/NNG
계열의	계열/NNG+의/JKG
스마트폰용	스마트폰/NNG+용/XSN
앱	앱/NNG
화면을	화면/NNG+을/JKO
확대해	확대/NNG+하/XSV+아/EC
갤럭시탭(7인치)에	갤럭시탭/NNP+(/SS+7/SN+인치/NNB+)/SS+에/JKB
서비스해왔다.	서비스/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.2.6.1
아이패드에는 아이폰과 별도의 전용 뉴스 앱을 개발해 서비스하는 것과는 대조적이다.

아이패드에는	아이패드/NNP+에/JKB+는/JX
아이폰과	아이폰/NNP+과/JKB
별도의	별도/NNG+의/JKG
전용	전용/NNG
뉴스	뉴스/NNG
앱을	앱/NNG+을/JKO
개발해	개발/NNG+하/XSV+아/EC
서비스하는	서비스/NNG+하/XSV+는/ETM
것과는	것/NNB+과/JKB+는/JX
대조적이다.	대조/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.2.6.2
때문에 갤럭시탭 이용자들 사이에서는 7인치 태블릿PC에 최적화된 뉴스 앱이 필요하다는 지적이 줄곧 제기돼왔다.

때문에	때문/NNB+에/JKB
갤럭시탭	갤럭시탭/NNP
이용자들	이용자/NNG+들/XSN
사이에서는	사이/NNG+에서/JKB+는/JX
7인치	7/SN+인치/NNB
태블릿PC에	태블릿/NNG+PC/SL+에/JKB
최적화된	최적/NNG+화/XSN+되/XSV+ㄴ/ETM
뉴스	뉴스/NNG
앱이	앱/NNG+이/JKS
필요하다는	필요/NNG+하/XSA+다는/ETM
지적이	지적/NNG+이/JKS
줄곧	줄곧/MAG
제기돼왔다.	제기/NNG+되/XSV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.2.6.3
이런 사용자의 요구에 부응해 개발한 것이 조선일보의 갤럭시탭 전용 앱이다.

이런	이런/MMD
사용자의	사용자/NNG+의/JKG
요구에	요구/NNG+에/JKB
부응해	부응/NNG+하/XSV+아/EC
개발한	개발/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
조선일보의	조선일보/NNP+의/JKG
갤럭시탭	갤럭시탭/NNP
전용	전용/NNG
앱이다.	앱/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.2.7.1
조선일보의 갤럭시탭 앱은 세로형의 7인치 화면으로 뉴스를 읽기에 적합한 형태로 만들어졌다.

조선일보의	조선일보/NNP+의/JKG
갤럭시탭	갤럭시탭/NNP
앱은	앱/NNG+은/JX
세로형의	세로/NNG+형/XSN+의/JKG
7인치	7/SN+인치/NNB
화면으로	화면/NNG+으로/JKB
뉴스를	뉴스/NNG+를/JKO
읽기에	읽/VV+기/ETN+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
형태로	형태/NNG+로/JKB
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.2.7.2
