# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.407
metadata : {}


# id : NWRW1800000046.407.1.1
기업 구조조정 지원하는 '원샷법' 처리 못해

기업	기업/NNG
구조조정	구조/NNG+조정/NNG
지원하는	지원/NNG+하/XSV+는/ETM
'원샷법'	'/SS+원샷법/NNG+'/SS
처리	처리/NNG
못해	못/MAG+하/VV+아/EF


# id : NWRW1800000046.407.2.1
M&A 간소화·稅制지원 등 과잉 공급 업종 재편 통해 업계 전체 회생 돕는 정책

M&A	M/SL+&/SW+A/SL
간소화·稅制지원	간소/NNG+화/XSN+·/SP+稅制/SH+지원/NNG
등	등/NNB
과잉	과잉/NNG
공급	공급/NNG
업종	업종/NNG
재편	재편/NNG
통해	통하/VV+아/EC
업계	업계/NNG
전체	전체/NNG
회생	회생/NNG
돕는	돕/VV+는/ETM
정책	정책/NNG


# id : NWRW1800000046.407.3.1
정부·여당이 경제 활성화를 위해 추진해온 '기업 활력 제고를 위한 특별법(일명 원샷법)'의 정기국회 처리가 결국 무산됐다.

정부·여당이	정부/NNG+·/SP+여당/NNG+이/JKS
경제	경제/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
추진해온	추진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
'기업	'/SS+기업/NNG
활력	활력/NNG
제고를	제고/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
특별법(일명	특별법/NNG+(/SS+일명/NNG
원샷법)'의	원샷법/NNG+)/SS+'/SS+의/JKG
정기국회	정기/NNG+국회/NNG
처리가	처리/NNG+가/JKS
결국	결국/MAG
무산됐다.	무산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.407.4.1
9일 국회에선 원샷법 통과를 놓고 정부와 재계, 야당의 공방이 하루종일 이어졌다.

9일	9/SN+일/NNB
국회에선	국회/NNG+에서/JKB+ㄴ/JX
원샷법	원샷법/NNG
통과를	통과/NNG+를/JKO
놓고	놓/VV+고/EC
정부와	정부/NNG+와/JC
재계,	재계/NNG+,/SP
야당의	야당/NNG+의/JKG
공방이	공방/NNG+이/JKS
하루종일	하루/NNG+종일/NNG
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.407.4.2
윤상직 산업통상자원부장관은 여당 의원 모임에서 "원샷법은 선제적 구조조정과 사업 재편을 통해 기업을 튼튼하게 만들어 경쟁력을 제고하자는 것"이라며 법안 통과 필요성을 강조했다.

윤상직	윤상직/NNP
산업통상자원부장관은	산업/NNG+통상/NNG+자원부/NNG+장관/NNG+은/JX
여당	여당/NNG
의원	의원/NNG
모임에서	모임/NNG+에서/JKB
"원샷법은	"/SS+원샷법/NNG+은/JX
선제적	선제/NNG+적/XSN
구조조정과	구조/NNG+조정/NNG+과/JC
사업	사업/NNG
재편을	재편/NNG+을/JKO
통해	통하/VV+아/EC
기업을	기업/NNG+을/JKO
튼튼하게	튼튼하/VA+게/EC
만들어	만들/VV+어/EC
경쟁력을	경쟁력/NNG+을/JKO
제고하자는	제고/NNG+하/XSV+자는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
법안	법안/NNG
통과	통과/NNG
필요성을	필요/NNG+성/XSN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.407.4.3
전국경제인연합회·한국무역협회 등 경제 단체와 국회 산업통상자원위원회 여당 간사인 이진복 의원도 국회에서 기자회견을 열어 "원샷법을 연내에 처리해야 한다"고 촉구했다.

전국경제인연합회·한국무역협회	전국경제인연합회/NNP+·/SP+한국무역협회/NNP
등	등/NNB
경제	경제/NNG
단체와	단체/NNG+와/JC
국회	국회/NNG
산업통상자원위원회	산업/NNG+통상/NNG+자원/NNG+위원회/NNG
여당	여당/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
이진복	이진복/NNP
의원도	의원/NNG+도/JX
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
"원샷법을	"/SS+원샷법/NNG+을/JKO
연내에	연내/NNG+에/JKB
처리해야	처리/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.407.5.1
그러나 야당은 '대기업 특혜법'이라며 반대 입장을 분명히 했다.

그러나	그러나/MAJ
야당은	야당/NNG+은/JX
'대기업	'/SS+대/XPN+기업/NNG
특혜법'이라며	특혜법/NNG+'/SS+이/VCP+라며/EC
반대	반대/NNG
입장을	입장/NNG+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.407.5.2
이날 산업위 야당 간사인 홍영표 의원 등 새정치민주연합 의원들은 국회 기자회견에서 "(원샷법은) 재벌의 지배 구조 강화에 악용될 가능성이 있다"며 "정부·여당이 직권 상정을 통해 날치기를 시도한다면 '필리버스터'(합법적 의사 진행 방해)를 할 것"이라고 말했다.

이날	이날/NNG
산업위	산업위/NNP
야당	야당/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
홍영표	홍영표/NNP
의원	의원/NNG
등	등/NNB
새정치민주연합	새정치민주연합/NNP
