# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.117
metadata : {}


# id : NWRW1800000041.117.1.1
[로비에서]출판 표준계약서, 작가-출판사 모두 윈윈 하려면…

[로비에서]출판	[/SS+로비/NNG+에서/JKB+]/SS+출판/NNG
표준계약서,	표준/NNG+계약서/NNG+,/SP
작가-출판사	작가/NNG+-/SO+출판사/NNG
모두	모두/MAG
윈윈	윈윈/NNG
하려면…	하/VV+려면/EC+…/SE


# id : NWRW1800000041.117.2.1
“예상보다 별로 안 싸워서 지켜보기 심심했죠?”

“예상보다	“/SS+예상/NNG+보다/JKB
별로	별로/MAG
안	안/MAG
싸워서	싸우/VV+어서/EC
지켜보기	지켜보/VV+기/ETN
심심했죠?”	심심하/VA+았/EP+죠/EF+?/SF+”/SS


# id : NWRW1800000041.117.3.1
7일 서울 서교동 한국출판인회의 건물에서 열린 ‘출판 분야 표준계약서 제정을 위한 공청회’에서 만난 한 참석자가 공청회가 끝난 뒤 기자에게 건넨 말이었다.

7일	7/SN+일/NNB
서울	서울/NNP
서교동	서교동/NNP
한국출판인회의	한국출판인회의/NNP
건물에서	건물/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘출판	‘/SS+출판/NNG
분야	분야/NNG
표준계약서	표준/NNG+계약서/NNG
제정을	제정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
공청회’에서	공청회/NNG+’/SS+에서/JKB
만난	만나/VV+ㄴ/ETM
한	한/MMN
참석자가	참석자/NNG+가/JKS
공청회가	공청회/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
기자에게	기자/NNG+에게/JKB
건넨	건네/VV+ㄴ/ETM
말이었다.	말/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.117.4.1
이날 공청회는 출판물 저작자의 권리 확대를 골자로 하는 가칭 ‘백희나 표준계약서’의 시안을 출판계 인사들 앞에 공개하고 의견을 묻는 자리였다.

이날	이날/NNG
공청회는	공청회/NNG+는/JX
출판물	출판물/NNG
저작자의	저작자/NNG+의/JKG
권리	권리/NNG
확대를	확대/NNG+를/JKO
골자로	골자/NNG+로/JKB
하는	하/VV+는/ETM
가칭	가칭/NNG
‘백희나	‘/SS+백희나/NNP
표준계약서’의	표준/NNG+계약서/NNG+’/SS+의/JKG
시안을	시안/NNG+을/JKO
출판계	출판/NNG+계/XSN
인사들	인사/NNG+들/XSN
앞에	앞/NNG+에/JKB
공개하고	공개/NNG+하/XSV+고/EC
의견을	의견/NNG+을/JKO
묻는	묻/VV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.117.4.2
4000억 원이 넘는 부가가치를 창출한 문화 콘텐츠인 ‘구름빵’의 원작자인 어린이 그림책 작가 백희나 씨가 불리한 계약 때문에 2차 콘텐츠의 저작권료를 한 푼도 못 받은 사실을 고발한 동아일보 보도를 계기로 김기태 세명대 교수(미디어창작학)가 책임을 맡아 연구한 표준계약서 시안이었다.

4000억	4000/SN+억/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
부가가치를	부가/NNG+가치/NNG+를/JKO
창출한	창출/NNG+하/XSV+ㄴ/ETM
문화	문화/NNG
콘텐츠인	콘텐츠/NNG+이/VCP+ㄴ/ETM
‘구름빵’의	‘/SS+구름빵/NNP+’/SS+의/JKG
원작자인	원작자/NNG+이/VCP+ㄴ/ETM
어린이	어린이/NNG
그림책	그림책/NNG
작가	작가/NNG
백희나	백희나/NNP
씨가	씨/NNB+가/JKS
불리한	불리/NNG+하/XSA+ㄴ/ETM
계약	계약/NNG
때문에	때문/NNB+에/JKB
2차	2/SN+차/NNB
콘텐츠의	콘텐츠/NNG+의/JKG
저작권료를	저작권료/NNG+를/JKO
한	한/MMN
푼도	푼/NNB+도/JX
못	못/MAG
받은	받/VV+은/ETM
사실을	사실/NNG+을/JKO
고발한	고발/NNG+하/XSV+ㄴ/ETM
동아일보	동아일보/NNP
보도를	보도/NNG+를/JKO
계기로	계기/NNG+로/JKB
김기태	김기태/NNP
세명대	세명대/NNP
교수(미디어창작학)가	교수/NNG+(/SS+미디어/NNG+창작학/NNG+)/SS+가/JKS
책임을	책임/NNG+을/JKO
맡아	맡/VV+아/EC
연구한	연구/NNG+하/XSV+ㄴ/ETM
표준계약서	표준/NNG+계약서/NNG
시안이었다.	시안/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.117.5.1
이 시안에 대해 저작자 측인 한국작가회의와 한국문예학술저작권협회, 출판사 측인 대한출판문화협회와 한국출판인회의 패널들이 상대측의 주장만 반영됐다며 볼멘소리를 할 걸로 예상했지만, 정작 공청회에서는 일부 조항의 해석에 대한 지적과 수정 필요성에 대한 언급이 있었을 뿐 전반적으로 시안을 수용하는 분위기였다.

이	이/MMD
시안에	시안/NNG+에/JKB
대해	대하/VV+아/EC
저작자	저작자/NNG
측인	측/NNB+이/VCP+ㄴ/ETM
한국작가회의와	한국작가회의/NNP+와/JC
한국문예학술저작권협회,	한국문예학술저작권협회/NNP+,/SP
출판사	출판사/NNG
대한출판문화협회와	대한출판문화협회/NNP+와/JC
한국출판인회의	한국출판인회의/NNP
패널들이	패널/NNG+들/XSN+이/JKS
상대측의	상대측/NNG+의/JKG
주장만	주장/NNG+만/JX
반영됐다며	반영/NNG+되/XSV+었/EP+다며/EC
볼멘소리를	볼멘소리/NNG+를/JKO
할	하/VV+ㄹ/ETM
걸로	거/NNB+ㄹ로/JKB
예상했지만,	예상/NNG+하/XSV+았/EP+지만/EC+,/SP
정작	정작/MAG
공청회에서는	공청회/NNG+에서/JKB+는/JX
일부	일부/NNG
조항의	조항/NNG+의/JKG
해석에	해석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지적과	지적/NNG+과/JC
수정	수정/NNG
필요성에	필요/NNG+성/XSN+에/JKB
언급이	언급/NNG+이/JKS
있었을	있/VA+었/EP+을/ETM
뿐	뿐/NNB
전반적으로	전반/NNG+적/XSN+으로/JKB
시안을	시안/NNG+을/JKO
수용하는	수용/NNG+하/XSV+는/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.117.5.2
‘이렇게 쉬운 일을 왜 지금까지는 못했지?’

‘이렇게	‘/SS+이렇/VA+게/EC
쉬운	쉽/VA+ㄴ/ETM
일을	일/NNG+을/JKO
왜	왜/MAG
지금까지는	지금/NNG+까지/JX+는/JX
못했지?’	못하/VX+았/EP+지/EF+?/SF+’/SS


# id : NWRW1800000041.117.5.3
하는 의문이 들 정도였다.

하는	하/VV+는/ETM
의문이	의문/NNG+이/JKS
들	들/VV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.117.6.1
김 교수는 “이달 말까지는 표준계약서 최종 문안 수정을 거쳐 최종안을 공정거래위원회에 제출할 수 있을 것”이라고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
“이달	“/SS+이달/NNG
말까지는	말/NNB+까지/JX+는/JX
표준계약서	표준/NNG+계약서/NNG
최종	최종/NNG
문안	문안/NNG
수정을	수정/NNG+을/JKO
거쳐	거치/VV+어/EC
최종안을	최종안/NNG+을/JKO
공정거래위원회에	공정/NNG+거래/NNG+위원회/NNG+에/JKB
제출할	제출/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.117.7.1
표준계약서는 모든 문제를 해결해 줄 요술방망이가 될 수 없다.

표준계약서는	표준/NNG+계약서/NNG+는/JX
모든	모든/MMN
문제를	문제/NNG+를/JKO
해결해	해결/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
요술방망이가	요술/NNG+방망이/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.117.7.2
저작자와 출판사의 이견이 드러난 대목은 일단 절충적인 문구로 정리돼 사후 다툼의 여지가 남아 있고, 상당수 민감한 대목은 특약을 통해 정하도록 한 점은 아쉽다.

저작자와	저작자/NNG+와/JC
출판사의	출판사/NNG+의/JKG
이견이	이견/NNG+이/JKS
드러난	드러나/VV+ㄴ/ETM
대목은	대목/NNG+은/JX
일단	일단/MAG
절충적인	절충/NNG+적/XSN+이/VCP+ㄴ/ETM
문구로	문구/NNG+로/JKB
정리돼	정리/NNG+되/XSV+어/EC
사후	사후/NNG
다툼의	다툼/NNG+의/JKG
여지가	여지/NNB+가/JKS
남아	남/VV+아/EC
있고,	있/VX+고/EC+,/SP
상당수	상당수/NNG
민감한	민감/NNG+하/XSA+ㄴ/ETM
특약을	특약/NNG+을/JKO
통해	통하/VV+아/EC
정하도록	정하/VV+도록/EC
한	하/VX+ㄴ/ETM
점은	점/NNG+은/JX
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000041.117.7.3
하지만 2차 저작물에 대한 원작자 권리 보호 조항이나 창작 대가 지급 절차의 투명화 조항 등이 대거 포함돼 제2, 제3의 구름빵 사태를 예방할 최소한의 제도적 기반을 마련했다는 평가다.

하지만	하지만/MAJ
2차	2/SN+차/NNB
저작물에	저작물/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
원작자	원작자/NNG
권리	권리/NNG
보호	보호/NNG
조항이나	조항/NNG+이나/JC
창작	창작/NNG
대가	대가/NNG
지급	지급/NNG
절차의	절차/NNG+의/JKG
투명화	투명/NNG+화/XSN
조항	조항/NNG
등이	등/NNB+이/JKS
대거	대거/MAG
포함돼	포함/NNG+되/XSV+어/EC
제2,	제/XPN+2/SN+,/SP
제3의	제/XPN+3/SN+의/JKG
구름빵	구름빵/NNP
사태를	사태/NNG+를/JKO
예방할	예방/NNG+하/XSV+ㄹ/ETM
최소한의	최소한/NNG+의/JKG
제도적	제도/NNG+적/XSN
기반을	기반/NNG+을/JKO
마련했다는	마련/NNG+하/XSV+았/EP+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.117.8.1
계약서의 빈칸을 채우는 일도, 계약서에 적힌 약속을 이행하는 일도 결국 사람의 몫이다.

계약서의	계약서/NNG+의/JKG
빈칸을	빈칸/NNG+을/JKO
채우는	채우/VV+는/ETM
일도,	일/NNG+도/JX+,/SP
계약서에	계약서/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
약속을	약속/NNG+을/JKO
이행하는	이행/NNG+하/XSV+는/ETM
일도	일/NNG+도/JX
결국	결국/MAG
사람의	사람/NNG+의/JKG
몫이다.	몫/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.117.8.2
