# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.295
metadata : {}


# id : NWRW1800000022.295.1.1
[MARKET&MONEY] 땅값 4개월째 오름세… "수도권 상승세 막기 힘들 듯"

[MARKET&MONEY]	[/SS+MARKET/SL+&/SW+MONEY/SL+]/SS
땅값	땅값/NNG
4개월째	4/SN+개월/NNB+째/XSN
오름세…	오름세/NNG+…/SE
"수도권	"/SS+수도/NNG+권/XSN
상승세	상승세/NNG
막기	막/VV+기/ETN
힘들	힘들/VA+ㄹ/ETM
듯"	듯/NNB+"/SS


# id : NWRW1800000022.295.2.1
주택 가격이 뛰면서 땅값도 덩달아 뛰고 있다.

주택	주택/NNG
가격이	가격/NNG+이/JKS
뛰면서	뛰/VV+면서/EC
땅값도	땅값/NNG+도/JX
덩달아	덩달/VV+아/EC
뛰고	뛰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.295.3.1
국토해양부는 지난 7월 전국 땅값은 올해 들어 최고치인 0.21%(전달 대비) 오르며 4개월 연속 오름세를 보이고 있다고 26일 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
전국	전국/NNG
땅값은	땅값/NNG+은/JX
올해	올해/NNG
들어	들/VV+어/EC
최고치인	최고/NNG+치/XSN+이/VCP+ㄴ/ETM
0.21%(전달	0/SN+./SP+21/SN+%/SW+(/SS+전달/NNG
대비)	대비/NNG+)/SS
오르며	오르/VV+며/EC
4개월	4/SN+개월/NNB
연속	연속/NNG
오름세를	오름세/NNG+를/JKO
보이고	보이/VV+고/EC
있다고	있/VX+다고/EC
26일	26/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.295.3.2
전국 땅값은 글로벌 금융위기가 닥친 지난해 11월 이후 올해 3월까지 크게 하락했다가 올 4월 이후 연속 4개월째 상승세를 보이고 있다.

전국	전국/NNG
땅값은	땅값/NNG+은/JX
글로벌	글로벌/NNG
금융위기가	금융/NNG+위기/NNG+가/JKS
닥친	닥치/VV+ㄴ/ETM
지난해	지난해/NNG
11월	11/SN+월/NNB
이후	이후/NNG
올해	올해/NNG
3월까지	3/SN+월/NNB+까지/JX
크게	크/VA+게/EC
하락했다가	하락/NNG+하/XSV+았/EP+다가/EC
올	올/NNG
4월	4/SN+월/NNB
연속	연속/NNG
4개월째	4/SN+개월/NNB+째/XSN
상승세를	상승세/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


