# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.268
metadata : {}


# id : NWRW1800000028.268.1.1
벨기에 ‘3%고용’ 안할땐 벌금 /미·영선 세제지원·임금보조도

벨기에	벨기에/NNP
‘3%고용’	‘/SS+3/SN+%/SW+고용/NNG+’/SS
안할땐	안/MAG+하/VV+ㄹ/ETM+때/NNG+ㄴ/JX
벌금	벌금/NNG
/미·영선	//SP+미/NNP+·/SP+영/NNP+서/JKB+ㄴ/JX
세제지원·임금보조도	세제/NNG+지원/NNG+·/SP+임금/NNG+보조/NNG+도/JX


# id : NWRW1800000028.268.2.1
청년층의 고용 부진은 한국만 겪고 있는 일은 아니다.

청년층의	청년/NNG+층/XSN+의/JKG
고용	고용/NNG
부진은	부진/NNG+은/JX
한국만	한국/NNP+만/JX
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
일은	일/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000028.268.2.2
2007년 이후 2009년까지 미국은 10.0%에서 18.0%로, 유럽연합(EU) 회원국들은 15.9%에서 20.2%로 청년 실업률이 치솟았다.

2007년	2007/SN+년/NNB
이후	이후/NNG
2009년까지	2009/SN+년/NNB+까지/JX
미국은	미국/NNP+은/JX
10.0%에서	10/SN+./SP+0/SN+%/SW+에서/JKB
18.0%로,	18/SN+./SP+0/SN+%/SW+로/JKB+,/SP
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
회원국들은	회원국/NNG+들/XSN+은/JX
15.9%에서	15/SN+./SP+9/SN+%/SW+에서/JKB
20.2%로	20/SN+./SP+2/SN+%/SW+로/JKB
청년	청년/NNG
실업률이	실업/NNG+률/XSN+이/JKS
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.268.2.3
이에 따라 각국들은 앞다퉈 적극적 청년고용제도를 펴고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
각국들은	각국/NNG+들/XSN+은/JX
앞다퉈	앞다투/VV+어/EC
적극적	적극/NNG+적/XSN
청년고용제도를	청년/NNG+고용/NNG+제도/NNG+를/JKO
펴고	펴/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.268.3.1
벨기에의 이른바 ‘로제타 플랜’(청년의무고용제도)은 가장 강력한 청년고용 촉진제도로 꼽힌다.

벨기에의	벨기에/NNP+의/JKG
이른바	이른바/MAG
‘로제타	‘/SS+로제타/NNG
플랜’(청년의무고용제도)은	플랜/NNG+’/SS+(/SS+청년/NNG+의무/NNG+고용/NNG+제도/NNG+)/SS+은/JX
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
청년고용	청년/NNG+고용/NNG
촉진제도로	촉진/NNG+제도/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.268.3.2
50명 이상 직원을 둔 기업에 대해 전체 인력의 3%를 청년층으로 새로 채용하도록 의무화한 제도로서, 벨기에의 10대 소녀가 겪은 실업의 고통을 다룬 영화 <로제타>가 큰 반향을 일으키면서 단행된 조처였다.

50명	50/SN+명/NNB
이상	이상/NNG
직원을	직원/NNG+을/JKO
둔	두/VV+ㄴ/ETM
기업에	기업/NNG+에/JKB
대해	대하/VV+아/EC
전체	전체/NNG
인력의	인력/NNG+의/JKG
3%를	3/SN+%/SW+를/JKO
청년층으로	청년/NNG+층/XSN+으로/JKB
새로	새로/MAG
채용하도록	채용/NNG+하/XSV+도록/EC
의무화한	의무/NNG+화/XSN+하/XSV+ㄴ/ETM
제도로서,	제도/NNG+로서/JKB+,/SP
벨기에의	벨기에/NNP+의/JKG
10대	10/SN+대/NNB
소녀가	소녀/NNG+가/JKS
겪은	겪/VV+은/ETM
실업의	실업/NNG+의/JKG
고통을	고통/NNG+을/JKO
다룬	다루/VV+ㄴ/ETM
영화	영화/NNG
<로제타>가	</SS+로제타/NNP+>/SS+가/JKS
큰	크/VA+ㄴ/ETM
반향을	반향/NNG+을/JKO
일으키면서	일으키/VV+면서/EC
단행된	단행/NNG+되/XSV+ㄴ/ETM
조처였다.	조처/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.268.4.1
3% 의무고용 비율을 지키지 못한 기업엔 벌금을 물리고, 의무를 지킨 경우에는 기업이 부담하는 사회보장기금 일부를 감면해준다.

3%	3/SN+%/SW
의무고용	의무/NNG+고용/NNG
비율을	비율/NNG+을/JKO
지키지	지키/VV+지/EC
못한	못하/VX+ㄴ/ETM
기업엔	기업/NNG+에/JKB+ㄴ/JX
벌금을	벌금/NNG+을/JKO
물리고,	물리/VV+고/EC+,/SP
의무를	의무/NNG+를/JKO
지킨	지키/VV+ㄴ/ETM
경우에는	경우/NNG+에/JKB+는/JX
기업이	기업/NNG+이/JKS
부담하는	부담/NNG+하/XSV+는/ETM
사회보장기금	사회/NNG+보장/NNG+기금/NNG
일부를	일부/NNG+를/JKO
감면해준다.	감면/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.268.4.2
특히 고용계약이 종료된 뒤에도 청년들이 해고되지 않도록 계속 고용을 정식으로 문서화하는 기업에는 사회보장기여의 10%를 추가로 줄여줬다.

특히	특히/MAG
고용계약이	고용/NNG+계약/NNG+이/JKS
종료된	종료/NNG+되/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
청년들이	청년/NNG+들/XSN+이/JKS
해고되지	해고/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
계속	계속/MAG
고용을	고용/NNG+을/JKO
정식으로	정식/NNG+으로/JKB
문서화하는	문서/NNG+화/XSN+하/XSV+는/ETM
기업에는	기업/NNG+에/JKB+는/JX
사회보장기여의	사회/NNG+보장/NNG+기여/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
추가로	추가/NNG+로/JKB
줄여줬다.	줄이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.268.4.3
2000년 시행된 로제타 플랜은 1년 만에 약 5만명의 신규채용이 이뤄지는 등 큰 효과를 거둔 것으로 평가받는다.

2000년	2000/SN+년/NNB
시행된	시행/NNG+되/XSV+ㄴ/ETM
로제타	로제타/NNG
플랜은	플랜/NNG+은/JX
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
약	약/MMA
5만명의	5/SN+만/NR+명/NNB+의/JKG
신규채용이	신규/NNG+채용/NNG+이/JKS
이뤄지는	이뤄지/VV+는/ETM
등	등/NNB
큰	크/VA+ㄴ/ETM
효과를	효과/NNG+를/JKO
거둔	거두/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
평가받는다.	평가/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000028.268.5.1
청년층을 적극적으로 고용한 기업에 세제 지원을 하는 나라도 여럿 있다.

청년층을	청년/NNG+층/XSN+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
고용한	고용/NNG+하/XSV+ㄴ/ETM
기업에	기업/NNG+에/JKB
세제	세제/NNG
지원을	지원/NNG+을/JKO
하는	하/VV+는/ETM
나라도	나라/NNG+도/JX
여럿	여럿/NNG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.268.5.2
미국의 버락 오바마 행정부와 의회는 ‘경기부양법’ 등을 통해 청년층의 직업훈련과 고용확대를 위해 15억달러를 지원했고 비숙련 청년 등을 고용하는 기업에는 1명당 1200~2400달러의 세금을 공제해줬다.

미국의	미국/NNP+의/JKG
버락	버락/NNP
오바마	오바마/NNP
행정부와	행정부/NNG+와/JC
의회는	의회/NNG+는/JX
‘경기부양법’	‘/SS+경기/NNG+부양/NNG+법/NNG+’/SS
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
청년층의	청년/NNG+층/XSN+의/JKG
직업훈련과	직업/NNG+훈련/NNG+과/JC
고용확대를	고용/NNG+확대/NNG+를/JKO
위해	위하/VV+아/EC
15억달러를	15/SN+억/NR+달러/NNB+를/JKO
지원했고	지원/NNG+하/XSV+았/EP+고/EC
비숙련	비/XPN+숙련/NNG
청년	청년/NNG
고용하는	고용/NNG+하/XSV+는/ETM
기업에는	기업/NNG+에/JKB+는/JX
1명당	1/SN+명/NNB+당/XSN
1200~2400달러의	1200/SN+~/SO+2400/SN+달러/NNB+의/JKG
세금을	세금/NNG+을/JKO
공제해줬다.	공제/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.268.5.3
프랑스도 지난해 4월 ‘청년층을 위한 긴급조치’(Acting for Youth)를 단행한 바 있다.

프랑스도	프랑스/NNP+도/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
‘청년층을	‘/SS+청년/NNG+층/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
긴급조치’(Acting	긴급/NNG+조치/NNG+’/SS+(/SS+Acting/SL
for	for/SL
Youth)를	Youth/SL+)/SS+를/JKO
단행한	단행/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.268.5.4
26살 이하의 청년을 견습직원으로 채용하면 1명당 1000유로를 보조금으로 지급했고, 올해 6월까지는 한시적으로 청년 견습직원을 채용한 기업에 사회보장기여금도 면제해줬다.

26살	26/SN+살/NNB
이하의	이하/NNG+의/JKG
청년을	청년/NNG+을/JKO
견습직원으로	견습/NNG+직원/NNG+으로/JKB
채용하면	채용/NNG+하/XSV+면/EC
1명당	1/SN+명/NNB+당/XSN
1000유로를	1000/SN+유로/NNB+를/JKO
보조금으로	보조금/NNG+으로/JKB
지급했고,	지급/NNG+하/XSV+았/EP+고/EC+,/SP
올해	올해/NNG
6월까지는	6/SN+월/NNB+까지/JX+는/JX
한시적으로	한시/NNG+적/XSN+으로/JKB
청년	청년/NNG
견습직원을	견습/NNG+직원/NNG+을/JKO
채용한	채용/NNG+하/XSV+ㄴ/ETM
기업에	기업/NNG+에/JKB
사회보장기여금도	사회/NNG+보장/NNG+기여금/NNG+도/JX
면제해줬다.	면제/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.268.5.5
인턴사원을 정규직원으로 채용할 경우엔 1명당 3000유로의 보조금을 지급하기도 했다.

인턴사원을	인턴사원/NNG+을/JKO
정규직원으로	정규직원/NNG+으로/JKB
채용할	채용/NNG+하/XSV+ㄹ/ETM
경우엔	경우/NNG+에/JKB+ㄴ/JX
1명당	1/SN+명/NNB+당/XSN
3000유로의	3000/SN+유로/NNB+의/JKG
보조금을	보조금/NNG+을/JKO
지급하기도	지급/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.268.6.1
영국은 1998년부터 18~24살 청년층을 대상으로 펼치고 있는 ‘뉴딜 프로그램’으로 청년실업 문제에 대처하고 있다.

영국은	영국/NNP+은/JX
1998년부터	1998/SN+년/NNB+부터/JX
18~24살	18/SN+~/SO+24/SN+살/NNB
청년층을	청년/NNG+층/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
‘뉴딜	‘/SS+뉴딜/NNG
프로그램’으로	프로그램/NNG+’/SS+으로/JKB
청년실업	청년/NNG+실업/NNG
문제에	문제/NNG+에/JKB
대처하고	대처/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.268.6.2
청년층의 장기실업 탈출을 돕기 위해 심층상담 및 직업훈련, 민간기업 취업 때 임금보조 등을 패키지로 지원하는 대책이다.

청년층의	청년/NNG+층/XSN+의/JKG
장기실업	장기/NNG+실업/NNG
탈출을	탈출/NNG+을/JKO
돕기	돕/VV+기/ETN
위해	위하/VV+아/EC
심층상담	심층/NNG+상담/NNG
및	및/MAG
직업훈련,	직업/NNG+훈련/NNG+,/SP
민간기업	민간/NNG+기업/NNG
취업	취업/NNG
때	때/NNG
임금보조	임금/NNG+보조/NNG
등을	등/NNB+을/JKO
패키지로	패키지/NNG+로/JKB
지원하는	지원/NNG+하/XSV+는/ETM
대책이다.	대책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.268.6.3
