# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.52
metadata : {}


# id : NWRW1800000026.52.1.1
[도서] 칠레의 밤

[도서]	[/SS+도서/NNG+]/SS
칠레의	칠레/NNP+의/JKG
밤	밤/NNG


# id : NWRW1800000026.52.2.1
◆ 로베르토 볼라뇨 장편소설|우석균 옮김|열린책들|176쪽|9800원

◆	◆/SW
로베르토	로베르토/NNP
볼라뇨	볼라뇨/NNP
장편소설|우석균	장편/NNG+소설/NNG+|/SW+우석균/NNP
옮김|열린책들|176쪽|9800원	옮기/VV+ㅁ/ETN+|/SW+열린책들/NNP+|/SW+176/SN+쪽/NNG+|/SW+9800/SN+원/NNB


# id : NWRW1800000026.52.3.1
마르케스 이후 라틴아메리카에 등장한 가장 위대한 소설가로까지 추앙받는 칠레 작가 볼라뇨(1953~2003)의 작품이 처음으로 번역 소개됐다.

마르케스	마르케스/NNP
이후	이후/NNG
라틴아메리카에	라틴아메리카/NNP+에/JKB
등장한	등장/NNG+하/XSV+ㄴ/ETM
가장	가장/MAG
위대한	위대하/VA+ㄴ/ETM
소설가로까지	소설가/NNG+로/JKB+까지/JX
추앙받는	추앙/NNG+받/XSV+는/ETM
칠레	칠레/NNP
작가	작가/NNG
볼라뇨(1953~2003)의	볼라뇨/NNP+(/SS+1953/SN+~/SO+2003/SN+)/SS+의/JKG
작품이	작품/NNG+이/JKS
처음으로	처음/NNG+으로/JKB
번역	번역/NNG
소개됐다.	소개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.52.3.2
천주교 사제이자 문학평론가로 활동하는 남자의 독백으로 이뤄진 이 소설은 처음에는 난해함과 지루함으로 시작하지만 그의 독백을 차근차근 곱씹다가 책을 덮을 때쯤이면 놀라운 충격과 깊은 여운을 느끼게 한다.

천주교	천주교/NNG
사제이자	사제/NNG+이/VCP+자/EC
문학평론가로	문학/NNG+평론가/NNG+로/JKB
활동하는	활동/NNG+하/XSV+는/ETM
남자의	남자/NNG+의/JKG
독백으로	독백/NNG+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
이	이/MMD
소설은	소설/NNG+은/JX
처음에는	처음/NNG+에/JKB+는/JX
난해함과	난해하/VA+ㅁ/ETN+과/JC
지루함으로	지루하/VA+ㅁ/ETN+으로/JKB
시작하지만	시작/NNG+하/XSV+지만/EC
그의	그/NP+의/JKG
독백을	독백/NNG+을/JKO
차근차근	차근차근/MAG
곱씹다가	곱씹/VV+다가/EC
책을	책/NNG+을/JKO
덮을	덮/VV+을/ETM
때쯤이면	때/NNG+쯤/XSN+이/VCP+면/EC
놀라운	놀랍/VA+ㄴ/ETM
충격과	충격/NNG+과/JC
깊은	깊/VA+은/ETM
여운을	여운/NNG+을/JKO
느끼게	느끼/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.52.4.1
소설은 가톨릭 사제인 세바스티안 우루티아 라크루아가 죽음을 앞두고 자신의 생을 돌이켜보는 장면에서 시작된다.

소설은	소설/NNG+은/JX
가톨릭	가톨릭/NNG
사제인	사제/NNG+이/VCP+ㄴ/ETM
세바스티안	세바스티안/NNP
우루티아	우루티아/NNP
라크루아가	라크루아/NNP+가/JKS
죽음을	죽음/NNG+을/JKO
앞두고	앞두/VV+고/EC
자신의	자신/NNG+의/JKG
생을	생/NNG+을/JKO
돌이켜보는	돌이키/VV+어/EC+보/VX+는/ETM
장면에서	장면/NNG+에서/JKB
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.52.4.2
그는 자신의 삶에서 모순으로 남아 있던 몇몇 사건들과 그것에 어쩔 수 없이 휘말린 자신의 행위를 정당화시켜줄 구실을 찾는다.

그는	그/NP+는/JX
자신의	자신/NNG+의/JKG
삶에서	삶/NNG+에서/JKB
모순으로	모순/NNG+으로/JKB
남아	남/VV+아/EC
있던	있/VX+던/ETM
몇몇	몇몇/NR
사건들과	사건/NNG+들/XSN+과/JC
그것에	그것/NP+에/JKB
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
휘말린	휘말리/VV+ㄴ/ETM
행위를	행위/NNG+를/JKO
정당화시켜줄	정당화/NNG+시키/XSV+어/EC+주/VX+ㄹ/ETM
구실을	구실/NNG+을/JKO
찾는다.	찾/VV+는다/EF+./SF


# id : NWRW1800000026.52.4.3
그는 어떤 사건에 휘말린 것일까.

그는	그/NP+는/JX
어떤	어떤/MMD
사건에	사건/NNG+에/JKB
휘말린	휘말리/VV+ㄴ/ETM
것일까.	것/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000026.52.5.1
그는 독재자 프랑코 치하의 스페인과 칠레에서 정권에 협력하던 가톨릭 결사의 회원으로 활동했다.

그는	그/NP+는/JX
독재자	독재자/NNG
프랑코	프랑코/NNP
치하의	치하/NNG+의/JKG
스페인과	스페인/NNP+과/JC
칠레에서	칠레/NNP+에서/JKB
정권에	정권/NNG+에/JKB
협력하던	협력/NNG+하/XSV+던/ETM
가톨릭	가톨릭/NNG
결사의	결사/NNG+의/JKG
회원으로	회원/NNG+으로/JKB
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.52.5.2
아옌데 대통령을 몰아내고 들어선 피노체트 군부정권하에서는 군부 실력자들 앞에서 교양 강의를 했다.

아옌데	아옌데/NNP
대통령을	대통령/NNG+을/JKO
몰아내고	몰아내/VV+고/EC
들어선	들어서/VV+ㄴ/ETM
피노체트	피노체트/NNP
군부정권하에서는	군부/NNG+정권/NNG+하/XSN+에서/JKB+는/JX
군부	군부/NNG
실력자들	실력자/NNG+들/XSN
앞에서	앞/NNG+에서/JKB
교양	교양/NNG
강의를	강의/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.52.5.3
문학에 대한 열망 때문에 이바카체라는 필명으로 문학평론가 활동을 했지만 양심과 기회주의 사이에서 끊임없이 서성이는 회색인간이었던 것이다.

문학에	문학/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열망	열망/NNG
