# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.323
metadata : {}


# id : NWRW1800000033.323.1.1
[北 로켓발사 실패 이후]北 실패가 한국 미사일 사거리 연장 막나?

[北	[/SS+北/SH
로켓발사	로켓/NNG+발사/NNG
실패	실패/NNG
이후]北	이후/NNG+]/SS+北/SH
실패가	실패/NNG+가/JKS
한국	한국/NNP
미사일	미사일/NNG
사거리	사거리/NNG
연장	연장/NNG
막나?	막/VV+나/EF+?/SF


# id : NWRW1800000033.323.2.1
이달말 열리는 한미 안보정책구상 회의 안건서 제외

이달말	이달/NNG+말/NNB
열리는	열리/VV+는/ETM
한미	한미/NNP
안보정책구상	안보/NNG+정책/NNG+구상/NNG
회의	회의/NNG
안건서	안건/NNG+서/JKB
제외	제외/NNG


# id : NWRW1800000033.323.3.1
북한의 장거리 로켓 발사 이후 한국군 탄도미사일의 사거리 연장을 위한 한미 미사일지침 개정에 대해 미국이 뜨뜻미지근한 태도를 보이는 것으로 알려졌다.

북한의	북한/NNP+의/JKG
장거리	장거리/NNG
로켓	로켓/NNG
발사	발사/NNG
이후	이후/NNG
한국군	한국군/NNG
탄도미사일의	탄도/NNG+미사일/NNG+의/JKG
사거리	사거리/NNG
연장을	연장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
한미	한미/NNP
미사일지침	미사일/NNG+지침/NNG
개정에	개정/NNG+에/JKB
대해	대하/VV+아/EC
미국이	미국/NNP+이/JKS
뜨뜻미지근한	뜨뜻미지근하/VA+ㄴ/ETM
태도를	태도/NNG+를/JKO
보이는	보이/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.323.3.2
북한의 로켓 발사가 실패로 끝나면서 미사일 사거리 연장 문제도 흐지부지되는 것 아니냐는 관측이 나온다.

북한의	북한/NNP+의/JKG
로켓	로켓/NNG
발사가	발사/NNG+가/JKS
실패로	실패/NNG+로/JKB
끝나면서	끝나/VV+면서/EC
미사일	미사일/NNG
사거리	사거리/NNG
연장	연장/NNG
문제도	문제/NNG+도/JX
흐지부지되는	흐지부지/MAG+되/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.323.4.1
정부는 당초 이달 말 미국 워싱턴에서 열리는 한미 안보정책구상(SPI) 회의에서 미사일 사거리 연장 문제를 논의할 방침이었다.

정부는	정부/NNG+는/JX
당초	당초/NNG
이달	이달/NNG
말	말/NNB
미국	미국/NNP
워싱턴에서	워싱턴/NNP+에서/JKB
열리는	열리/VV+는/ETM
한미	한미/NNP
안보정책구상(SPI)	안보/NNG+정책/NNG+구상/NNG+(/SS+SPI/SL+)/SS
회의에서	회의/NNG+에서/JKB
미사일	미사일/NNG
사거리	사거리/NNG
연장	연장/NNG
문제를	문제/NNG+를/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
방침이었다.	방침/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.323.4.2
그러나 최근 이 회의 안건들을 최종 조율하는 과정에서 이 이슈는 제외된 것으로 알려졌다.

그러나	그러나/MAJ
최근	최근/MAG
이	이/MMD
회의	회의/NNG
안건들을	안건/NNG+들/XSN+을/JKO
최종	최종/NNG
조율하는	조율/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
이슈는	이슈/NNG+는/JX
제외된	제외/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.323.4.3
