# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.34
metadata : {}


# id : NWRW1800000026.34.1.1
[수도권Ⅱ] 가평 겨울축제 "화천 산천어축제 물렀거라";송어 얼음낚시로 대박 지난 주말까지 61만명 방문 지역경제 유발효과 엄청

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SW+]/SS
가평	가평/NNP
겨울축제	겨울/NNG+축제/NNG
"화천	"/SS+화천/NNP
산천어축제	산천어/NNG+축제/NNG
물렀거라";송어	무르/VV+었/EP+거라/EF+"/SS+;/SP+송어/NNG
얼음낚시로	얼음낚시/NNG+로/JKB
대박	대/XPN+박/NNG
지난	지나/VV+ㄴ/ETM
주말까지	주말/NNG+까지/JX
61만명	61/SN+만/NR+명/NNB
방문	방문/NNG
지역경제	지역/NNG+경제/NNG
유발효과	유발/NNG+효과/NNG
엄청	엄청/MAG


# id : NWRW1800000026.34.2.1
일요일이었던 지난 24일 경기도 가평군에는 유사 이래 가장 많은 관광객이 몰려왔다.

일요일이었던	일요일/NNG+이/VCP+었/EP+던/ETM
지난	지나/VV+ㄴ/ETM
24일	24/SN+일/NNB
경기도	경기도/NNP
가평군에는	가평군/NNP+에/JKB+는/JX
유사	유사/NNG
이래	이래/NNB
가장	가장/MAG
많은	많/VA+은/ETM
관광객이	관광객/NNG+이/JKS
몰려왔다.	몰려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.34.2.2
가평읍내 가평천과 자라섬 일대에서 열리고 있는 제2회 '자라섬 씽씽 겨울축제' 덕분이다.

가평읍내	가평읍/NNP+내/NNB
가평천과	가평천/NNP+과/JC
자라섬	자라섬/NNP
일대에서	일대/NNG+에서/JKB
열리고	열리/VV+고/EC
있는	있/VX+는/ETM
제2회	제/XPN+2/SN+회/NNB
'자라섬	'/SS+자라섬/NNP
씽씽	씽씽/MAG
겨울축제'	겨울/NNG+축제/NNG+'/SS
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.34.2.3
가평군에 따르면 이날 14만5000여명이 행사장을 찾아 작년 1회 축제 전체 방문객보다 많았다.

가평군에	가평군/NNP+에/JKB
따르면	따르/VV+면/EC
이날	이날/NNG
14만5000여명이	14/SN+만/NR+5000/SN+여/XSN+명/NNB+이/JKS
행사장을	행사장/NNG+을/JKO
찾아	찾/VV+아/EC
작년	작년/NNG
1회	1/SN+회/NNB
축제	축제/NNG
전체	전체/NNG
방문객보다	방문객/NNG+보다/JKB
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000026.34.2.4
지난 9일 시작해 31일까지 예정돼 있는 축제의 누적 입장객은 61만명을 돌파하며 대박을 터뜨리고 있다.

지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
시작해	시작/NNG+하/XSV+아/EC
31일까지	31/SN+일/NNB+까지/JX
예정돼	예정/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
축제의	축제/NNG+의/JKG
누적	누적/NNG
입장객은	입장객/NNG+은/JX
61만명을	61/SN+만/NR+명/NNB+을/JKO
돌파하며	돌파/NNG+하/XSV+며/EC
대박을	대/XPN+박/NNG+을/JKO
터뜨리고	터뜨리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.34.2.5
특히 올해는 전국적으로 유명세를 얻고 있는 강원도 화천군의 제8회 산천어축제와 같은 기간에 열려 더욱 주목을 받는다.

특히	특히/MAG
올해는	올해/NNG+는/JX
전국적으로	전국/NNG+적/XSN+으로/JKB
유명세를	유명세/NNG+를/JKO
얻고	얻/VV+고/EC
있는	있/VX+는/ETM
강원도	강원도/NNP
화천군의	화천군/NNP+의/JKG
제8회	제/XPN+8/SN+회/NNB
산천어축제와	산천어/NNG+축제/NNG+와/JKB
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
열려	열리/VV+어/EC
더욱	더욱/MAG
주목을	주목/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000026.34.2.6
