# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.337
metadata : {}


# id : NWRW1800000025.337.1.1
日라쿠텐, 한국선수들의 새 둥지?

日라쿠텐,	日/SH+라쿠텐/NNP+,/SP
한국선수들의	한국/NNP+선수/NNG+들/XSN+의/JKG
새	새/MMA
둥지?	둥지/NNG+?/SF


# id : NWRW1800000025.337.2.1
스토브리그가 조용한 한국과는 달리 일본 프로야구는 뜨거운 오프시즌을 보내고 있다.

스토브리그가	스토브/NNG+리그/NNG+가/JKS
조용한	조용하/VA+ㄴ/ETM
한국과는	한국/NNP+과/JKB+는/JX
달리	달리/MAG
일본	일본/NNP
프로야구는	프로/NNG+야구/NNG+는/JX
뜨거운	뜨겁/VA+ㄴ/ETM
오프시즌을	오프시즌/NNG+을/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.337.2.2
중심에는 2005년 창단한 퍼시픽리그 신생 구단 라쿠텐이 있다.

중심에는	중심/NNG+에/JKB+는/JX
2005년	2005/SN+년/NNB
창단한	창단/NNG+하/XSV+ㄴ/ETM
퍼시픽리그	퍼시픽리그/NNG
신생	신생/NNG
구단	구단/NNG
라쿠텐이	라쿠텐/NNP+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.337.2.3
라쿠텐은 국내 야구팬들에게는 익숙한 팀이 아니다.

라쿠텐은	라쿠텐/NNP+은/JX
국내	국내/NNG
야구팬들에게는	야구팬/NNG+들/XSN+에게/JKB+는/JX
익숙한	익숙하/VA+ㄴ/ETM
팀이	팀/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000025.337.2.4
창단 후 줄곧 하위권에 머무르다 작년에 퍼시픽리그 2위로 포스트시즌에 진출했지만 올해 다시 최하위로 추락했다.

창단	창단/NNG
후	후/NNG
줄곧	줄곧/MAG
하위권에	하위/NNG+권/XSN+에/JKB
머무르다	머무르/VV+다/EC
작년에	작년/NNG+에/JKB
퍼시픽리그	퍼시픽리그/NNG
2위로	2/SN+위/NNB+로/JKB
포스트시즌에	포스트시즌/NNG+에/JKB
진출했지만	진출/NNG+하/XSV+았/EP+지만/EC
올해	올해/NNG
다시	다시/MAG
최하위로	최/XPN+하위/NNG+로/JKB
추락했다.	추락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.337.3.1
라쿠텐이 스토브리그를 주도하기 시작한 것은 시즌 직후 ‘열혈남아’ 호시노 센이치 감독(63)이 지휘봉을 잡은 뒤부터다.

라쿠텐이	라쿠텐/NNP+이/JKS
스토브리그를	스토브/NNG+리그/NNG+를/JKO
주도하기	주도/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
시즌	시즌/NNG
직후	직후/NNG
‘열혈남아’	‘/SS+열혈남아/NNG+’/SS
호시노	호시노/NNP
센이치	센이치/NNP
감독(63)이	감독/NNG+(/SS+63/SN+)/SS+이/JKS
지휘봉을	지휘봉/NNG+을/JKO
잡은	잡/VV+은/ETM
뒤부터다.	뒤/NNG+부터/JX+이/VCP+다/EF+./SF


# id : NWRW1800000025.337.3.2
대대적인 전력 보강을 선언한 호시노 감독은 메이저리그에서 뛰던 내야수 이와무라 아키노리(전 오클랜드)를 붙잡는 데 성공했고, 콜로라도에서 뛰던 내야수 마쓰이 가즈오의 영입도 추진하고 있다.

대대적인	대대적/NNG+이/VCP+ㄴ/ETM
전력	전력/NNG
보강을	보강/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
호시노	호시노/NNP
감독은	감독/NNG+은/JX
메이저리그에서	메이저리그/NNG+에서/JKB
뛰던	뛰/VV+던/ETM
내야수	내야수/NNG
이와무라	이와무라/NNP
아키노리(전	아키노리/NNP+(/SS+전/MMD
오클랜드)를	오클랜드/NNP+)/SS+를/JKO
붙잡는	붙잡/VV+는/ETM
데	데/NNB
성공했고,	성공/NNG+하/XSV+았/EP+고/EC+,/SP
콜로라도에서	콜로라도/NNP+에서/JKB
마쓰이	마쓰이/NNP
가즈오의	가즈오/NNP+의/JKG
영입도	영입/NNG+도/JX
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.337.3.3
애틀랜타에서 더블A로 떨어진 투수 가와카미 겐신에게도 관심을 갖고 있다.

애틀랜타에서	애틀랜타/NNP+에서/JKB
더블A로	더블/NNG+A/SL+로/JKB
떨어진	떨어지/VV+ㄴ/ETM
투수	투수/NNG
가와카미	가와카미/NNP
겐신에게도	겐신/NNP+에게/JKB+도/JX
관심을	관심/NNG+을/JKO
