# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.293
metadata : {}


# id : NWRW1800000024.293.1.1
첨단의료단지 대구 신서·충북 오송 확정선정

첨단의료단지	첨단/NNG+의료/NNG+단지/NNG
대구	대구/NNP
신서·충북	신서/NNP+·/SP+충북/NNP
오송	오송/NNP
확정선정	확정/NNG+선정/NNG


# id : NWRW1800000024.293.2.1
대형 국책사업인 첨단의료복합단지가 대구·경북 신서혁신도시와 충북 오송생명과학단지 2곳에 들어선다.

대형	대형/NNG
국책사업인	국책/NNG+사업/NNG+이/VCP+ㄴ/ETM
첨단의료복합단지가	첨단/NNG+의료/NNG+복합/NNG+단지/NNG+가/JKS
대구·경북	대구/NNP+·/SP+경북/NNP
신서혁신도시와	신서/NNP+혁신/NNG+도시/NNG+와/JC
충북	충북/NNP
오송생명과학단지	오송생명과학단지/NNP
2곳에	2/SN+곳/NNG+에/JKB
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.293.2.2
▶관련기사 8면

▶관련기사	▶/SW+관련/NNG+기사/NNG
8면	8/SN+면/NNG


# id : NWRW1800000024.293.3.1
정부는 10일 오후 한승수 국무총리 주재로 제5차 첨단의료복합단지위원회를 열어, 10개 지방자치단체가 치열한 유치경쟁을 벌여온 첨단의료복합단지의 최종 입지로 이 두 곳을 선정했다고 발표했다.

정부는	정부/NNG+는/JX
10일	10/SN+일/NNB
오후	오후/NNG
한승수	한승수/NNP
국무총리	국무총리/NNG
주재로	주재/NNG+로/JKB
제5차	제/XPN+5/SN+차/NNB
첨단의료복합단지위원회를	첨단/NNG+의료/NNG+복합/NNG+단지/NNG+위원회/NNG+를/JKO
열어,	열/VV+어/EC+,/SP
10개	10/SN+개/NNB
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
유치경쟁을	유치/NNG+경쟁/NNG+을/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
첨단의료복합단지의	첨단/NNG+의료/NNG+복합/NNG+단지/NNG+의/JKG
최종	최종/NNG
입지로	입지/NNG+로/JKB
이	이/MMD
두	두/MMN
곳을	곳/NNG+을/JKO
선정했다고	선정/NNG+하/XSV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.293.4.1
전재희 보건복지가족부 장관은 이날 “우리나라 경제규모와 일본·미국 등 선진국 사례 등을 고려하고 단지간 경쟁과 특화를 통한 성과 도출이 가능하다는 점을 감안했다”고 2곳을 복수로 선정한 배경을 설명했다.

전재희	전재희/NNP
보건복지가족부	보건/NNG+복지/NNG+가족부/NNG
장관은	장관/NNG+은/JX
이날	이날/NNG
“우리나라	“/SS+우리나라/NNG
경제규모와	경제/NNG+규모/NNG+와/JC
일본·미국	일본/NNP+·/SP+미국/NNP
등	등/NNB
선진국	선진국/NNG
사례	사례/NNG
등을	등/NNB+을/JKO
고려하고	고려/NNG+하/XSV+고/EC
단지간	단지/NNG+간/NNB
경쟁과	경쟁/NNG+과/JC
특화를	특화/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
성과	성과/NNG
도출이	도출/NNG+이/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
점을	점/NNG+을/JKO
감안했다”고	감안/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
2곳을	2/SN+곳/NNG+을/JKO
복수로	복수/NNG+로/JKB
선정한	선정/NNG+하/XSV+ㄴ/ETM
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.293.4.2
전 장관은 “선의의 경쟁을 하는 두 지역이 상호 보완적인 관계를 유지하고 특화한다면 궁극적으로 (한 곳을 결정하는 것보다) 의료산업의 발전뿐만 아니라 국토 균형발전에도 크게 기여할 것이라고 판단했다”고 덧붙였다.

전	전/NNP
장관은	장관/NNG+은/JX
“선의의	“/SS+선의/NNG+의/JKG
경쟁을	경쟁/NNG+을/JKO
하는	하/VV+는/ETM
두	두/MMN
지역이	지역/NNG+이/JKS
상호	상호/NNG
보완적인	보완/NNG+적/XSN+이/VCP+ㄴ/ETM
관계를	관계/NNG+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
특화한다면	특화/NNG+하/XSV+ㄴ다면/EC
궁극적으로	궁극/NNG+적/XSN+으로/JKB
(한	(/SS+한/MMN
곳을	곳/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
것보다)	것/NNB+보다/JKB+)/SS
의료산업의	의료/NNG+산업/NNG+의/JKG
발전뿐만	발전/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
국토	국토/NNG
균형발전에도	균형/NNG+발전/NNG+에/JKB+도/JX
크게	크/VA+게/EC
기여할	기여/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
판단했다”고	판단/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.293.5.1
정부는 선정 과정에 대해 “평가단의 평가 결과 상위 점수를 받은 4개 후보지를 대상으로 논의를 벌여, 가장 높은 등급(A등급)을 받은 대구 신서혁신도시를 입지로 선정했다”며 “그 뒤 차하위 등급(B등급) 후보지 3개 중 복수 단지 조성 때 기대효과 등을 고려해 충북 오송생명과학단지를 선정하게 됐다”고 밝혔다.

정부는	정부/NNG+는/JX
선정	선정/NNG
과정에	과정/NNG+에/JKB
대해	대하/VV+아/EC
“평가단의	“/SS+평가단/NNG+의/JKG
평가	평가/NNG
결과	결과/NNG
상위	상위/NNG
점수를	점수/NNG+를/JKO
받은	받/VV+은/ETM
4개	4/SN+개/NNB
후보지를	후보지/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
논의를	논의/NNG+를/JKO
벌여,	벌이/VV+어/EC+,/SP
가장	가장/MAG
높은	높/VA+은/ETM
등급(A등급)을	등급/NNG+(/SS+A/SL+등급/NNG+)/SS+을/JKO
대구	대구/NNP
신서혁신도시를	신서/NNP+혁신/NNG+도시/NNG+를/JKO
입지로	입지/NNG+로/JKB
선정했다”며	선정/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“그	“/SS+그/MMD
뒤	뒤/NNG
차하위	차하위/NNG
