# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.165
metadata : {}


# id : NWRW1800000044.165.1.1
노조탄압 ‘S그룹 문건’…법원 “삼성이 작성자로 보여”

노조탄압	노조/NNG+탄압/NNG
‘S그룹	‘/SS+S/SL+그룹/NNG
문건’…법원	문건/NNG+’/SS+…/SE+법원/NNG
“삼성이	“/SS+삼성/NNP+이/JKS
작성자로	작성자/NNG+로/JKB
보여”	보이/VV+어/EF+”/SS


# id : NWRW1800000044.165.2.1
[한겨레] 에버랜드 노조간부 부당해고 판결

[한겨레]	[/SS+한겨레/NNP+]/SS
에버랜드	에버랜드/NNP
노조간부	노조/NNG+간부/NNG
부당해고	부당/NNG+해고/NNG
판결	판결/NNG


# id : NWRW1800000044.165.3.1
재판부 “노조 소멸용 징계로 보여”

재판부	재판부/NNG
“노조	“/SS+노조/NNG
소멸용	소멸/NNG+용/XSN
징계로	징계/NNG+로/JKB
보여”	보이/VV+어/EF+”/SS


# id : NWRW1800000044.165.4.1
삼성의 노조 와해 전략이 담긴 ‘에스(S)그룹 노사 전략’ 문건을 삼성이 직접 작성했다는 법원 판단이 나왔다.

삼성의	삼성/NNP+의/JKG
노조	노조/NNG
와해	와해/NNG
전략이	전략/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
‘에스(S)그룹	‘/SS+에스/NNG+(/SS+S/SL+)/SS+그룹/NNG
노사	노사/NNG
전략’	전략/NNG+’/SS
문건을	문건/NNG+을/JKO
삼성이	삼성/NNP+이/JKS
직접	직접/MAG
작성했다는	작성/NNG+하/XSV+았/EP+다는/ETM
법원	법원/NNG
판단이	판단/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.165.4.2
삼성은 지금껏 이 문서를 작성하지 않았다고 주장해왔다.

삼성은	삼성/NNP+은/JX
지금껏	지금껏/MAG
이	이/MMD
문서를	문서/NNG+를/JKO
작성하지	작성/NNG+하/XSV+지/EC
않았다고	않/VX+았/EP+다고/EC
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.165.5.1
서울행정법원 행정12부(재판장 이승한)는 23일 노조 활동을 하다 해고된 조아무개(42) 삼성노조 부위원장이 중앙노동위원회를 상대로 낸 부당 해고 재심 판정 취소 소송에서 원고 승소 판결했다.

서울행정법원	서울행정법원/NNP
행정12부(재판장	행정/NNG+12/SN+부/NNG+(/SS+재판장/NNG
이승한)는	이승한/NNP+)/SS+는/JX
23일	23/SN+일/NNB
노조	노조/NNG
활동을	활동/NNG+을/JKO
하다	하/VV+다/EC
해고된	해고/NNG+되/XSV+ㄴ/ETM
조아무개(42)	조/NNP+아무개/NP+(/SS+42/SN+)/SS
삼성노조	삼성노조/NNP
부위원장이	부위원장/NNG+이/JKS
중앙노동위원회를	중앙/NNG+노동/NNG+위원회/NNG+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
부당	부당/NNG
해고	해고/NNG
재심	재심/NNG
판정	판정/NNG
취소	취소/NNG
소송에서	소송/NNG+에서/JKB
원고	원고/NNG
승소	승소/NNG
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.165.6.1
재판부는 ‘2012년 에스그룹 노사 전략’ 문건에 대해 “삼성그룹 내부 고위 관계자가 아니면 알 수 없는 계열사의 노조 설립 현황과 노조에 대한 대처 방안 등 자료가 포함돼 있다.

재판부는	재판부/NNG+는/JX
‘2012년	‘/SS+2012/SN+년/NNB
에스그룹	에스/NNG+그룹/NNG
노사	노사/NNG
전략’	전략/NNG+’/SS
문건에	문건/NNG+에/JKB
대해	대하/VV+아/EC
“삼성그룹	“/SS+삼성그룹/NNP
내부	내부/NNG
고위	고위/NNG
관계자가	관계자/NNG+가/JKS
아니면	아니/VCN+면/EC
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
계열사의	계열사/NNG+의/JKG
노조	노조/NNG
설립	설립/NNG
현황과	현황/NNG+과/JC
노조에	노조/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대처	대처/NNG
방안	방안/NNG
등	등/NNB
자료가	자료/NNG+가/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.165.6.2
노조 설립 진행 사실이 문건 내용과 일치하는 점 등을 종합하면 이 문건은 삼성그룹에 의해 작성된 사실이 추인된다(미루어 인정된다)”고 밝혔다.

노조	노조/NNG
설립	설립/NNG
진행	진행/NNG
사실이	사실/NNG+이/JKS
문건	문건/NNG
내용과	내용/NNG+과/JKB
일치하는	일치/NNG+하/XSV+는/ETM
점	점/NNG
등을	등/NNB+을/JKO
종합하면	종합/NNG+하/XSV+면/EC
이	이/MMD
문건은	문건/NNG+은/JX
삼성그룹에	삼성그룹/NNP+에/JKB
의해	의하/VV+아/EC
작성된	작성/NNG+되/XSV+ㄴ/ETM
추인된다(미루어	추인/NNG+되/XSV+ㄴ다/EF+(/SS+미루/VV+어/EC
인정된다)”고	인정/NNG+되/XSV+ㄴ다/EF+)/SS+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.165.7.1
지난해 10월 심상정 정의당 의원이 이 문건을 언론에 공개하자 삼성에버랜드 쪽은 “세미나를 준비하며 바람직한 조직 문화에 대해 토의하려 작성했다”고 시인했다가, 일주일 뒤 입장을 번복해 지금껏 삼성이 만든 자료가 아니라고 주장해왔다.

지난해	지난해/NNG
10월	10/SN+월/NNB
심상정	심상정/NNP
정의당	정의당/NNP
의원이	의원/NNG+이/JKS
이	이/MMD
문건을	문건/NNG+을/JKO
언론에	언론/NNG+에/JKB
공개하자	공개/NNG+하/XSV+자/EC
삼성에버랜드	삼성에버랜드/NNP
쪽은	쪽/NNB+은/JX
“세미나를	“/SS+세미나/NNG+를/JKO
준비하며	준비/NNG+하/XSV+며/EC
바람직한	바람직하/VA+ㄴ/ETM
조직	조직/NNG
문화에	문화/NNG+에/JKB
대해	대하/VV+아/EC
토의하려	토의/NNG+하/XSV+려/EC
작성했다”고	작성/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
시인했다가,	시인/NNG+하/XSV+았/EP+다가/EC+,/SP
일주일	일주일/NNG
뒤	뒤/NNG
입장을	입장/NNG+을/JKO
번복해	번복/NNG+하/XSV+아/EC
지금껏	지금껏/MAG
삼성이	삼성/NNP+이/JKS
만든	만들/VV+ㄴ/ETM
자료가	자료/NNG+가/JKC
아니라고	아니/VCN+라고/EC
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.165.8.1
이 문건은 조 부위원장 등 노조 설립을 주도한 노동자들을 ‘문제 인력’이라고 지칭하며, 이들을 징계하기 위해 사전에 근태를 정밀하게 채증해야 한다는 내용 등을 담고 있다.

이	이/MMD
문건은	문건/NNG+은/JX
조	조/NNP
부위원장	부위원장/NNG
등	등/NNB
노조	노조/NNG
설립을	설립/NNG+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
노동자들을	노동자/NNG+들/XSN+을/JKO
‘문제	‘/SS+문제/NNG
인력’이라고	인력/NNG+’/SS+이라고/JKQ
지칭하며,	지칭/NNG+하/XSV+며/EC+,/SP
이들을	이/NP+들/XSN+을/JKO
