# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.264
metadata : {}


# id : NWRW1800000041.264.1.1
‘선두 오리온스 9연승’ 오세근이 막았다

‘선두	‘/SS+선두/NNG
오리온스	오리온스/NNP
9연승’	9/SN+연승/NNG+’/SS
오세근이	오세근/NNP+이/JKS
막았다	막/VV+았/EP+다/EF


# id : NWRW1800000041.264.2.1
제대 복귀전서 24분 뛰며 16점-10R 꼴찌 인삼공사 3연패 탈출

제대	제대/NNG
복귀전서	복귀전/NNG+서/JKB
24분	24/SN+분/NNB
뛰며	뛰/VV+며/EC
16점-10R	16/SN+점/NNB+-/SO+10/SN+R/SL
꼴찌	꼴찌/NNG
인삼공사	인삼공사/NNP
3연패	3/SN+연패/NNG
탈출	탈출/NNG


# id : NWRW1800000041.264.3.1
꼴찌 인삼공사가 시즌 개막 후 1패도 없이 8연승을 달리던 선두 오리온스를 무너뜨렸다.

꼴찌	꼴찌/NNG
인삼공사가	인삼공사/NNP+가/JKS
시즌	시즌/NNG
개막	개막/NNG
후	후/NNG
1패도	1/SN+패/NNB+도/JX
없이	없이/MAG
8연승을	8/SN+연승/NNG+을/JKO
달리던	달리/VV+던/ETM
선두	선두/NNG
오리온스를	오리온스/NNP+를/JKO
무너뜨렸다.	무너뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.264.3.2
그 중심에는 돌아온 예비역 일병 오세근(200cm)이 있었다.

그	그/MMD
중심에는	중심/NNG+에/JKB+는/JX
돌아온	돌아오/VV+ㄴ/ETM
예비역	예비역/NNG
일병	일병/NNG
오세근(200cm)이	오세근/NNP+(/SS+200/SN+cm/SW+)/SS+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.264.4.1
인삼공사는 30일 안양에서 열린 오리온스와의 안방경기에서 인천 아시아경기 금메달로 병역 혜택을 받아 입대 후 6개월 만에 제대한 오세근이 시즌 처음 출전한 데 힘입어 68-59로 이겼다.

인삼공사는	인삼공사/NNP+는/JX
30일	30/SN+일/NNB
안양에서	안양/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
오리온스와의	오리온스/NNP+와/JKB+의/JKG
안방경기에서	안방/NNG+경기/NNG+에서/JKB
인천	인천/NNP
아시아경기	아시아/NNP+경기/NNG
금메달로	금메달/NNG+로/JKB
병역	병역/NNG
혜택을	혜택/NNG+을/JKO
받아	받/VV+아/EC
입대	입대/NNG
후	후/NNG
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
제대한	제대/NNG+하/XSV+ㄴ/ETM
오세근이	오세근/NNP+이/JKS
시즌	시즌/NNG
처음	처음/NNG
출전한	출전/NNG+하/XSV+ㄴ/ETM
데	데/NNB
힘입어	힘입/VV+어/EC
68-59로	68/SN+-/SO+59/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.264.5.1
경기 전 오세근의 팬클럽은 기자석에 ‘제대를 축하하며 좋은 기사를 부탁한다’는 메시지가 담긴 기념 떡을 돌렸다.

경기	경기/NNP
전	전/NNG
오세근의	오세근/NNP+의/JKG
팬클럽은	팬클럽/NNG+은/JX
기자석에	기자석/NNG+에/JKB
‘제대를	‘/SS+제대/NNG+를/JKO
축하하며	축하/NNG+하/XSV+며/EC
좋은	좋/VA+은/ETM
기사를	기사/NNG+를/JKO
부탁한다’는	부탁/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
메시지가	메시지/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
기념	기념/NNG
떡을	떡/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.264.5.2
주위의 높은 관심 속에 코트에 복귀한 오세근은 대표팀 차출에 따른 컨디션 난조에도 24분을 뛰며 16득점, 10리바운드의 ‘더블더블’로 맹활약했다.

주위의	주위/NNG+의/JKG
높은	높/VA+은/ETM
관심	관심/NNG
속에	속/NNG+에/JKB
코트에	코트/NNG+에/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
오세근은	오세근/NNP+은/JX
대표팀	대표/NNG+팀/NNG
차출에	차출/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
컨디션	컨디션/NNG
난조에도	난조/NNG+에/JKB+도/JX
24분을	24/SN+분/NNB+을/JKO
뛰며	뛰/VV+며/EC
16득점,	16/SN+득점/NNG+,/SP
10리바운드의	10/SN+리바운드/NNG+의/JKG
‘더블더블’로	‘/SS+더블/NNG+더블/NNG+’/SS+로/JKB
맹활약했다.	맹활약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.264.5.3
오세근은 “동료 선수 모두가 이기고자 하는 의지가 강했다.

오세근은	오세근/NNP+은/JX
“동료	“/SS+동료/NNG
선수	선수/NNG
모두가	모두/NNG+가/JKS
이기고자	이기/VV+고자/EC
하는	하/VX+는/ETM
의지가	의지/NNG+가/JKS
강했다.	강하/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.264.5.4
수비에서 구심점 역할을 했던 것 같아 기쁘다.

수비에서	수비/NNG+에서/JKB
구심점	구심점/NNG
역할을	역할/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
것	것/NNB
같아	같/VA+아/EC
기쁘다.	기쁘/VA+다/EF+./SF


# id : NWRW1800000041.264.5.5
너무 힘들어 빨리 쉬고 싶다”고 말했다.

너무	너무/MAG
힘들어	힘들/VA+어/EC
빨리	빨리/MAG
쉬고	쉬/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


