# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.93
metadata : {}


# id : NWRW1800000024.93.1.1
국내 교과서에 ‘일본해’ 발칵

국내	국내/NNG
교과서에	교과서/NNG+에/JKB
‘일본해’	‘/SS+일본해/NNP+’/SS
발칵	발칵/MAG


# id : NWRW1800000024.93.2.1
‘동해’를 ‘일본해’로 표기한 지구본 그림이 고등학교 교과서 표지에 실려 출판사가 수거에 나섰다.

‘동해’를	‘/SS+동해/NNP+’/SS+를/JKO
‘일본해’로	‘/SS+일본해/NNP+’/SS+로/JKB
표기한	표기/NNG+하/XSV+ㄴ/ETM
지구본	지구본/NNG
그림이	그림/NNG+이/JKS
고등학교	고등학교/NNG
교과서	교과서/NNG
표지에	표지/NNG+에/JKB
실려	실리/VV+어/EC
출판사가	출판사/NNG+가/JKS
수거에	수거/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.93.3.1
18일 중·고교 교과서 출판사인 중앙교육진흥연구소와 교사들의 말을 종합하면, 이 출판사가 펴낸 고교 1학년 사회 교과서 표지에 동해가 일본해(Sea of Japan)로 표기된 지구본 그림이 실렸다.

18일	18/SN+일/NNB
중·고교	중·고교/NNG
교과서	교과서/NNG
출판사인	출판사/NNG+이/VCP+ㄴ/ETM
중앙교육진흥연구소와	중앙교육진흥연구소/NNP+와/JC
교사들의	교사/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
이	이/MMD
출판사가	출판사/NNG+가/JKS
펴낸	펴내/VV+ㄴ/ETM
고교	고교/NNG
1학년	1/SN+학년/NNG
사회	사회/NNG
표지에	표지/NNG+에/JKB
동해가	동해/NNP+가/JKS
일본해(Sea	일본해/NNP+(/SS+Sea/SL
of	of/SL
Japan)로	Japan/SL+)/SS+로/JKB
표기된	표기/NNG+되/XSV+ㄴ/ETM
지구본	지구본/NNG
그림이	그림/NNG+이/JKS
실렸다.	실리/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.93.3.2
