# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.82
metadata : {}


# id : NWRW1800000025.82.1.1
“성장 멈추면 ‘죽은 조직’ 불과… 글로벌 공항전문기업 만들것”

“성장	“/SS+성장/NNG
멈추면	멈추/VV+면/EC
‘죽은	‘/SS+죽/VV+은/ETM
조직’	조직/NNG+’/SS
불과…	불과/MAG+…/SE
글로벌	글로벌/NNG
공항전문기업	공항/NNG+전문/NNG+기업/NNG
만들것”	만들/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000025.82.2.1
인천국제공항은 올해 세계 공항 역사상 유례없는 금자탑을 세웠다.

인천국제공항은	인천국제공항/NNP+은/JX
올해	올해/NNG
세계	세계/NNG
공항	공항/NNG
역사상	역사/NNG+상/XSN
유례없는	유례없/VA+는/ETM
금자탑을	금자탑/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.82.2.2
국제공항협의회(ACI)가 평가하는 서비스 부문에서 ‘세계 1위 공항’ 5연패를 이룬 데 이어 ‘글로벌 트래블러’ ‘비즈니스 트래블러’ ‘스카이 트랙스’ ‘카파’ 등 세계적으로 권위 있는 5개 공항 관련 기관으로부터 ‘세계 최고 공항’으로 선정돼 ‘그랜드슬램’을 달성했다.

국제공항협의회(ACI)가	국제공항협의회/NNP+(/SS+ACI/SL+)/SS+가/JKS
평가하는	평가/NNG+하/XSV+는/ETM
서비스	서비스/NNG
부문에서	부문/NNG+에서/JKB
‘세계	‘/SS+세계/NNG
1위	1/SN+위/NNB
공항’	공항/NNG+’/SS
5연패를	5/SN+연패/NNG+를/JKO
이룬	이루/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
‘글로벌	‘/SS+글로벌/NNP
트래블러’	트래블러/NNP+’/SS
‘비즈니스	‘/SS+비즈니스/NNP
‘스카이	‘/SS+스카이/NNP
트랙스’	트랙스/NNP+’/SS
‘카파’	‘/SS+카파/NNP+’/SS
등	등/NNB
세계적으로	세계/NNG+적/XSN+으로/JKB
