# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.131
metadata : {}


# id : NWRW1800000048.131.1.1
“러시아 ‘아사드 퇴진안’, 서방이 3년전 묵살”

“러시아	“/SS+러시아/NNP
‘아사드	‘/SS+아사드/NNP
퇴진안’,	퇴진/NNG+안/NNG+’/SS+,/SP
서방이	서방/NNG+이/JKS
3년전	3/SN+년/NNB+전/NNG
묵살”	묵살/NNG+”/SS


# id : NWRW1800000048.131.2.1
아티사리 전 핀란드 대통령 주장

아티사리	아티사리/NNP
전	전/MMD
핀란드	핀란드/NNP
대통령	대통령/NNG
주장	주장/NNG


# id : NWRW1800000048.131.3.1
“반군에 지원 중단하면 주선” 내용

“반군에	“/SS+반군/NNG+에/JKB
지원	지원/NNG
중단하면	중단/NNG+하/XSV+면/EC
주선”	주선/NNG+”/SS
내용	내용/NNG


# id : NWRW1800000048.131.4.1
“시리아 난민 위기 막을 기회 놓쳐”

“시리아	“/SS+시리아/NNP
난민	난민/NNG
위기	위기/NNG
막을	막/VV+을/ETM
기회	기회/NNG
놓쳐”	놓치/VV+어/EF+”/SS


# id : NWRW1800000048.131.5.1
러시아가 3년 전 막후 채널을 통해 ‘평화협상의 일환으로 바샤르 아사드 시리아 대통령이 물러날 수 있다’고 제안했었다는 고위 외교사절의 주장이 나왔다.

러시아가	러시아/NNP+가/JKS
3년	3/SN+년/NNB
전	전/NNG
막후	막후/NNG
채널을	채널/NNG+을/JKO
통해	통하/VV+아/EC
‘평화협상의	‘/SS+평화/NNG+협상/NNG+의/JKG
일환으로	일환/NNG+으로/JKB
바샤르	바샤르/NNP
아사드	아사드/NNP
시리아	시리아/NNP
대통령이	대통령/NNG+이/JKS
물러날	물러나/VV+ㄹ/ETM
수	수/NNB
있다’고	있/VA+다/EF+’/SS+고/JKQ
제안했었다는	제안/NNG+하/XSV+았었/EP+다는/ETM
고위	고위/NNG
외교사절의	외교/NNG+사절/NNG+의/JKG
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.131.5.2
서방이 러시아의 제안을 묵살하지 않았다면, 시리아 내전의 계속되는 비극과 2차대전 이후 최대의 난민 위기를 막을 수 있었을까?

서방이	서방/NNG+이/JKS
러시아의	러시아/NNP+의/JKG
제안을	제안/NNG+을/JKO
묵살하지	묵살/NNG+하/XSV+지/EC
않았다면,	않/VX+았/EP+다면/EC+,/SP
시리아	시리아/NNP
내전의	내전/NNG+의/JKG
계속되는	계속/NNG+되/XSV+는/ETM
비극과	비극/NNG+과/JC
2차대전	2/SN+차/NNB+대전/NNG
이후	이후/NNG
최대의	최대/NNG+의/JKG
난민	난민/NNG
위기를	위기/NNG+를/JKO
막을	막/VV+을/ETM
수	수/NNB
있었을까?	있/VA+었/EP+을까/EF+?/SF


# id : NWRW1800000048.131.6.1
2008년 노벨평화상 수상자인 마르티 아티사리 전 핀란드 대통령은 최근 인터뷰에서 당시 상황을 밝히면서 “2012년에 놓친 기회”라고 말했다고 <가디언>이 15일 전했다.

2008년	2008/SN+년/NNB
노벨평화상	노벨/NNP+평화상/NNG
수상자인	수상자/NNG+이/VCP+ㄴ/ETM
마르티	마르티/NNP
아티사리	아티사리/NNP
전	전/MMD
핀란드	핀란드/NNP
대통령은	대통령/NNG+은/JX
최근	최근/MAG
인터뷰에서	인터뷰/NNG+에서/JKB
당시	당시/NNG
상황을	상황/NNG+을/JKO
밝히면서	밝히/VV+면서/EC
“2012년에	“/SS+2012/SN+년/NNB+에/JKB
놓친	놓치/VV+ㄴ/ETM
기회”라고	기회/NNG+”/SS+이라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
<가디언>이	</SS+가디언/NNP+>/SS+이/JKS
15일	15/SN+일/NNB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.131.6.2
<가디언>의 보도를 종합해 보면, 아티사리는 2012년 2월22일 유엔본부에서 안보리 상임이사국 대표들과 시리아 문제 해결을 위한 막후 회담을 열었다.

<가디언>의	</SS+가디언/NNP+>/SS+의/JKG
보도를	보도/NNG+를/JKO
종합해	종합/NNG+하/XSV+아/EC
