# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.104
metadata : {}


# id : NWRW1800000025.104.1.1
‘한국인 노가다’는 옛얘기… 중동 사막에서 ‘나이스 샷’

‘한국인	‘/SS+한국인/NNG
노가다’는	노가다/NNG+’/SS+는/JX
옛얘기…	옛/MMA+얘기/NNG+…/SE
중동	중동/NNP
사막에서	사막/NNG+에서/JKB
‘나이스	‘/SS+나이스/NNG
샷’	샷/NNG+’/SS


# id : NWRW1800000025.104.2.1
1970, 80년대 중동 건설현장의 한국인이라면 으레 뜨거운 태양 아래서 구슬땀을 뻘뻘 흘리며 일하는 이미지였다.

1970,	1970/SN+,/SP
80년대	80/SN+년대/NNB
중동	중동/NNP
건설현장의	건설/NNG+현장/NNG+의/JKG
한국인이라면	한국인/NNG+이/VCP+라면/EC
으레	으레/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
태양	태양/NNG
아래서	아래/NNG+서/JKB
구슬땀을	구슬땀/NNG+을/JKO
뻘뻘	뻘뻘/MAG
흘리며	흘리/VV+며/EC
일하는	일/NNG+하/XSV+는/ETM
이미지였다.	이미지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.104.2.2
연장을 쥔 손에는 항상 굳은살이 박여있고 얼굴은 햇빛에 까맣게 그을렸으며 작업복은 온통 흙먼지로 뒤덮여 있었다.

연장을	연장/NNG+을/JKO
쥔	쥐/VV+ㄴ/ETM
손에는	손/NNG+에/JKB+는/JX
항상	항상/MAG
굳은살이	굳은살/NNG+이/JKS
박여있고	박이/VV+어/EC+있/VX+고/EC
얼굴은	얼굴/NNG+은/JX
햇빛에	햇빛/NNG+에/JKB
까맣게	까맣/VA+게/EC
그을렸으며	그을리/VV+었/EP+으며/EC
작업복은	작업복/NNG+은/JX
온통	온통/MAG
흙먼지로	흙먼지/NNG+로/JKB
뒤덮여	뒤덮이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.104.3.1
하지만 지난달 15∼20일 오만과 카타르, 아랍에미리트 등 중동에 진출한 한국 건설업체들의 현장을 둘러본 결과 한국 근로자들의 생활상은 과거와는 비교할 수 없을 만큼 달라졌다.

하지만	하지만/MAJ
지난달	지난달/NNG
15∼20일	15/SN+∼/SO+20/SN+일/NNB
오만과	오만/NNP+과/JC
카타르,	카타르/NNP+,/SP
아랍에미리트	아랍에미리트/NNP
등	등/NNB
중동에	중동/NNP+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
한국	한국/NNP
건설업체들의	건설업체/NNG+들/XSN+의/JKG
현장을	현장/NNG+을/JKO
둘러본	둘러보/VV+ㄴ/ETM
결과	결과/NNG
근로자들의	근로자/NNG+들/XSN+의/JKG
생활상은	생활상/NNG+은/JX
과거와는	과거/NNG+와/JKB+는/JX
비교할	비교/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
만큼	만큼/NNB
달라졌다.	달라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.104.3.2
세계무대에서 급부상한 한국 경제의 위상이 ‘해외건설 역군’들의 삶에도 고스란히 반영된 것이다.

세계무대에서	세계/NNG+무대/NNG+에서/JKB
급부상한	급부상/NNG+하/XSV+ㄴ/ETM
한국	한국/NNP
경제의	경제/NNG+의/JKG
위상이	위상/NNG+이/JKS
‘해외건설	‘/SS+해외/NNG+건설/NNG
역군’들의	역군/NNG+’/SS+들/XSN+의/JKG
삶에도	삶/NNG+에/JKB+도/JX
고스란히	고스란히/MAG
반영된	반영/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.104.4.1
○ 사막 위의 골프, 외국인 조리사

○	○/SW
사막	사막/NNG
위의	위/NNG+의/JKG
골프,	골프/NNG+,/SP
외국인	외국인/NNG
조리사	조리사/NNG


# id : NWRW1800000025.104.5.1
“나이스 샷.”

“나이스	“/SS+나이스/NNG
샷.”	샷/NNG+./SF+”/SS


# id : NWRW1800000025.104.6.1
지난달 19일 오만 두쿰 시의 대우건설 수리조선소 현장.

지난달	지난달/NNG
19일	19/SN+일/NNB
오만	오만/NNP
두쿰	두쿰/NNP
시의	시/NNG+의/JKG
대우건설	대우건설/NNP
수리조선소	수리/NNG+조선소/NNG
현장.	현장/NNG+./SF


# id : NWRW1800000025.104.6.2
수도 무스카트에서 동남쪽으로 500km 떨어진 이곳에서 9홀 골프장이 눈에 들어왔다.

수도	수도/NNG
무스카트에서	무스카트/NNP+에서/JKB
동남쪽으로	동남쪽/NNG+으로/JKB
500km	500/SN+km/SW
떨어진	떨어지/VV+ㄴ/ETM
이곳에서	이곳/NP+에서/JKB
9홀	9/SN+홀/NNG
골프장이	골프장/NNG+이/JKS
눈에	눈/NNG+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.104.6.3
사막 위에 지은 것이라 숲이나 호수 같은 해저드(골프코스의 장애물)는 없지만 현장 근로자인 한국인 골퍼들은 인조잔디가 붙은 패드를 모래 위에 깔고 제법 그럴싸하게 골프를 즐기고 있었다.

사막	사막/NNG
위에	위/NNG+에/JKB
지은	짓/VV+ㄴ/ETM
것이라	것/NNB+이/VCP+라/EC
숲이나	숲/NNG+이나/JC
호수	호수/NNG
같은	같/VA+은/ETM
해저드(골프코스의	해저드/NNG+(/SS+골프/NNG+코스/NNG+의/JKG
장애물)는	장애물/NNG+)/SS+는/JX
없지만	없/VA+지만/EC
현장	현장/NNG
근로자인	근로자/NNG+이/VCP+ㄴ/ETM
한국인	한국인/NNG
골퍼들은	골퍼/NNG+들/XSN+은/JX
인조잔디가	인조/NNG+잔디/NNG+가/JKS
붙은	붙/VV+은/ETM
패드를	패드/NNG+를/JKO
모래	모래/NNG
깔고	깔/VV+고/EC
제법	제법/MAG
그럴싸하게	그럴싸하/VA+게/EC
골프를	골프/NNG+를/JKO
즐기고	즐기/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.104.6.4
이들의 옆에선 건장한 파키스탄 출신 남자 캐디가 클럽을 날랐다.

이들의	이/NP+들/XSN+의/JKG
옆에선	옆/NNG+에서/JKB+ㄴ/JX
건장한	건장하/VA+ㄴ/ETM
파키스탄	파키스탄/NNP
출신	출신/NNG
남자	남자/NNG
캐디가	캐디/NNG+가/JKS
클럽을	클럽/NNG+을/JKO
날랐다.	나르/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.104.6.5
이곳에서 만난 한 한국인 근로자는 “주말이면 날씨가 선선한 오전 시간을 이용해 사막 골프를 즐긴다”고 말했다.

이곳에서	이곳/NP+에서/JKB
만난	만나/VV+ㄴ/ETM
한	한/MMN
한국인	한국인/NNG
근로자는	근로자/NNG+는/JX
“주말이면	“/SS+주말/NNG+이/VCP+면/EC
날씨가	날씨/NNG+가/JKS
선선한	선선하/VA+ㄴ/ETM
오전	오전/NNG
시간을	시간/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
사막	사막/NNG
골프를	골프/NNG+를/JKO
즐긴다”고	즐기/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.104.7.1
이들이 숙소로 쓰는 곳은 컨테이너를 연결해 만든 조립식 건물.

이들이	이/NP+들/XSN+이/JKS
숙소로	숙소/NNG+로/JKB
쓰는	쓰/VV+는/ETM
곳은	곳/NNG+은/JX
컨테이너를	컨테이너/NNG+를/JKO
연결해	연결/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
조립식	조립식/NNG
건물.	건물/NNG+./SF


# id : NWRW1800000025.104.7.2
식당에서는 한국인 주방장 1명이 외국인 조리사들을 지휘해 중동에서 먹기 어려운 된장찌개, 육개장, 삼겹살 등 한식을 내놓는다.

식당에서는	식당/NNG+에서/JKB+는/JX
한국인	한국인/NNG
주방장	주방장/NNG
1명이	1/SN+명/NNB+이/JKS
외국인	외국인/NNG
조리사들을	조리사/NNG+들/XSN+을/JKO
지휘해	지휘/NNG+하/XSV+아/EC
중동에서	중동/NNP+에서/JKB
먹기	먹/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
된장찌개,	된장찌개/NNG+,/SP
육개장,	육개장/NNG+,/SP
삼겹살	삼겹살/NNG
등	등/NNB
한식을	한식/NNG+을/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000025.104.7.3
식재료는 매달 컨테이너선으로 한국에서 직접 조달한다.

식재료는	식재료/NNG+는/JX
매달	매달/MAG
컨테이너선으로	컨테이너선/NNG+으로/JKB
한국에서	한국/NNP+에서/JKB
직접	직접/MAG
조달한다.	조달/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.104.7.4
직원들은 쉬는 시간엔 화상 메신저를 통해 가족들과 얼굴을 보며 대화를 하거나 인터넷전화로 통화한다.

직원들은	직원/NNG+들/XSN+은/JX
쉬는	쉬/VV+는/ETM
시간엔	시간/NNG+에/JKB+ㄴ/JX
화상	화상/NNG
메신저를	메신저/NNG+를/JKO
통해	통하/VV+아/EC
가족들과	가족/NNG+들/XSN+과/JKB
얼굴을	얼굴/NNG+을/JKO
보며	보/VV+며/EC
대화를	대화/NNG+를/JKO
하거나	하/VV+거나/EC
인터넷전화로	인터넷/NNG+전화/NNG+로/JKB
통화한다.	통화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.104.8.1
한국인이 일하는 대부분의 외국 건설현장에는 골프연습장과 헬스클럽이 마련돼 있다.

한국인이	한국인/NNG+이/JKS
일하는	일/NNG+하/XSV+는/ETM
대부분의	대/XPN+부분/NNG+의/JKG
외국	외국/NNG
건설현장에는	건설/NNG+현장/NNG+에/JKB+는/JX
골프연습장과	골프/NNG+연습장/NNG+과/JC
헬스클럽이	헬스클럽/NNG+이/JKS
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.104.8.2
아랍에미리트 아부다비의 GS건설 직원 숙소에는 국내에서 인기를 끌고 있는 스크린골프장 시설이 4개나 들어서 있다.

아랍에미리트	아랍에미리트/NNP
아부다비의	아부다비/NNP+의/JKG
GS건설	GS건설/NNP
직원	직원/NNG
숙소에는	숙소/NNG+에/JKB+는/JX
국내에서	국내/NNG+에서/JKB
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있는	있/VX+는/ETM
스크린골프장	스크린/NNG+골프장/NNG
시설이	시설/NNG+이/JKS
4개나	4/SN+개/NNB+나/JX
들어서	들어서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.104.9.1
○ 건설현장의 노동자에서 관리인으로

○	○/SW
건설현장의	건설/NNG+현장/NNG+의/JKG
노동자에서	노동자/NNG+에서/JKB
관리인으로	관리인/NNG+으로/JKB


# id : NWRW1800000025.104.10.1
대우건설 두쿰 현장의 근로인력 2252명 가운데 한국인은 103명으로 4.6%에 불과하다.

대우건설	대우건설/NNP
두쿰	두쿰/NNP
현장의	현장/NNG+의/JKG
근로인력	근로/NNG+인력/NNG
2252명	2252/SN+명/NNB
가운데	가운데/NNG
한국인은	한국인/NNG+은/JX
103명으로	103/SN+명/NNB+으로/JKB
4.6%에	4/SN+./SP+6/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000025.104.10.2
조기석 두쿰 수리조선소 현장소장은 “과거 우리 선배들은 그야말로 ‘노동’을 했지만 이제는 소수의 한국인이 전체 현장을 지휘하고 있다”며 “그만큼 한국의 국격이 높아졌다는 사실을 실감한다”고 말했다.

조기석	조기석/NNP
두쿰	두쿰/NNP
수리조선소	수리/NNG+조선소/NNG
현장소장은	현장/NNG+소장/NNG+은/JX
“과거	“/SS+과거/NNG
우리	우리/NP
선배들은	선배/NNG+들/XSN+은/JX
그야말로	그야말로/MAG
‘노동’을	‘/SS+노동/NNG+’/SS+을/JKO
했지만	하/VV+았/EP+지만/EC
이제는	이제/NNG+는/JX
소수의	소수/NNG+의/JKG
한국인이	한국인/NNG+이/JKS
전체	전체/NNG
현장을	현장/NNG+을/JKO
지휘하고	지휘/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“그만큼	“/SS+그만큼/MAG
한국의	한국/NNP+의/JKG
국격이	국격/NNG+이/JKS
높아졌다는	높아지/VV+었/EP+다는/ETM
사실을	사실/NNG+을/JKO
실감한다”고	실감/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.104.11.1
이곳뿐 아니라 대부분의 중동 건설현장에서는 한국인이 파키스탄과 필리핀, 방글라데시 등 외국인 노동자들을 고용하고 있다.

이곳뿐	이곳/NP+뿐/JX
아니라	아니/VCN+라/EC
대부분의	대/XPN+부분/NNG+의/JKG
중동	중동/NNP
건설현장에서는	건설/NNG+현장/NNG+에서/JKB+는/JX
한국인이	한국인/NNG+이/JKS
파키스탄과	파키스탄/NNP+과/JC
필리핀,	필리핀/NNP+,/SP
방글라데시	방글라데시/NNP
등	등/NNB
외국인	외국인/NNG
노동자들을	노동자/NNG+들/XSN+을/JKO
고용하고	고용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.104.11.2
숙소에서는 ‘하우스 보이’ ‘오피스 보이’로 불리는 외국인 남성 가사도우미들이 빨래, 요리, 기타 심부름 등을 한다.

숙소에서는	숙소/NNG+에서/JKB+는/JX
‘하우스	‘/SS+하우스/NNG
보이’	보이/NNG+’/SS
‘오피스	‘/SS+오피스/NNG
보이’로	보이/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
외국인	외국인/NNG
남성	남성/NNG
가사도우미들이	가사/NNG+도우미/NNG+들/XSN+이/JKS
빨래,	빨래/NNG+,/SP
요리,	요리/NNG+,/SP
기타	기타/NNG
심부름	심부름/NNG
등을	등/NNB+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.104.11.3
대우건설의 한 현장 간부는 “4개월에 한번씩 2주간 한국으로 휴가를 가서 집에서 쉬고 있으면 아내가 설거지 같은 집안일을 도와달라고 하기도 한다”며 “오히려 이곳에서는 가사도우미 덕분에 귀족 같은 생활을 누릴 수 있다”고 말했다.

대우건설의	대우건설/NNP+의/JKG
한	한/MMN
현장	현장/NNG
간부는	간부/NNG+는/JX
“4개월에	“/SS+4/SN+개월/NNB+에/JKB
한번씩	한번/NNG+씩/XSN
2주간	2/SN+주간/NNB
한국으로	한국/NNP+으로/JKB
휴가를	휴가/NNG+를/JKO
가서	가/VV+아서/EC
집에서	집/NNG+에서/JKB
쉬고	쉬/VV+고/EC
있으면	있/VX+으면/EC
아내가	아내/NNG+가/JKS
설거지	설거지/NNG
같은	같/VA+은/ETM
집안일을	집안일/NNG+을/JKO
도와달라고	돕/VV+아/EC+달/VX+라고/EC
하기도	하/VV+기/ETN+도/JX
