# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.324
metadata : {}


# id : NWRW1800000026.324.1.1
[中·日 '영토 분쟁' 격화] 日 "순시선 망가뜨린 비용 내라" 요구;여야 당파초월 '국가 지키는 모임' 결성

[中·日	[/SS+中/SH+·/SP+日/SH
'영토	'/SS+영토/NNG
분쟁'	분쟁/NNG+'/SS
격화]	격화/NNG+]/SS
日	日/SH
"순시선	"/SS+순시선/NNG
망가뜨린	망가뜨리/VV+ㄴ/ETM
비용	비용/NNG
내라"	내/VV+라/EF+"/SS
요구;여야	요구/NNG+;/SW+여야/NNG
당파초월	당파/NNG+초월/NNG
'국가	'/SS+국가/NNG
지키는	지키/VV+는/ETM
모임'	모임/NNG+'/SS
결성	결성/NNG


# id : NWRW1800000026.324.2.1
센카쿠(尖閣)열도(중국명 댜오위다오)를 둘러싼 중·일 분쟁에서 일본 정부가 공세 태세를 정비하기 시작했다.

센카쿠(尖閣)열도(중국명	센카쿠/NNP+(/SS+尖閣/SH+)/SS+열도/NNG+(/SS+중국/NNP+명/NNG
댜오위다오)를	댜오위다오/NNP+)/SS+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
중·일	중·일/NNP
분쟁에서	분쟁/NNG+에서/JKB
일본	일본/NNP
정부가	정부/NNG+가/JKS
공세	공세/NNG
태세를	태세/NNG+를/JKO
정비하기	정비/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.324.2.2
중국과의 관계 개선을 바라고 있지만, 중국의 공세를 마냥 방관할 수 없다는 판단이다.

중국과의	중국/NNP+과/JKB+의/JKG
관계	관계/NNG
개선을	개선/NNG+을/JKO
바라고	바라/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
중국의	중국/NNP+의/JKG
공세를	공세/NNG+를/JKO
마냥	마냥/MAG
방관할	방관/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.324.2.3
여당에서도 정부를 비판하는 성명이 나오고 러시아도 쿠릴열도(일본명 북방영토) 영유권 분쟁에 이번 사태를 활용하려는 모습을 보이고 있어, 일본 정부의 위기감은 시간이 갈수록 커지고 있다.

여당에서도	여당/NNG+에서/JKB+도/JX
정부를	정부/NNG+를/JKO
비판하는	비판/NNG+하/XSV+는/ETM
성명이	성명/NNG+이/JKS
나오고	나오/VV+고/EC
러시아도	러시아/NNP+도/JX
쿠릴열도(일본명	쿠릴열도/NNP+(/SS+일본/NNP+명/NNG
북방영토)	북방영토/NNP+)/SS
영유권	영유/NNG+권/XSN
분쟁에	분쟁/NNG+에/JKB
이번	이번/NNG
사태를	사태/NNG+를/JKO
활용하려는	활용/NNG+하/XSV+려는/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있어,	있/VX+어/EC+,/SP
일본	일본/NNP
정부의	정부/NNG+의/JKG
위기감은	위기감/NNG+은/JX
시간이	시간/NNG+이/JKS
갈수록	갈수록/MAG
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.324.3.1
간 나오토(菅直人) 총리는 27일 당정 간부회의를 열고 센카쿠 분쟁과 관련, 오는 10월 4·5일 필리핀에서 열리는 아시아·유럽정상회의에 참여하는 방향으로 일정을 조정하기로 했다.

간	간/NNP
나오토(菅直人)	나오토/NNP+(/SS+菅直人/SH+)/SS
총리는	총리/NNG+는/JX
27일	27/SN+일/NNB
당정	당정/NNG
간부회의를	간부/NNG+회의/NNG+를/JKO
열고	열/VV+고/EC
센카쿠	센카쿠/NNP
분쟁과	분쟁/NNG+과/JKB
관련,	관련/NNG+,/SP
오는	오/VV+는/ETM
10월	10/SN+월/NNB
4·5일	4/SN+·/SP+5/SN+일/NNB
필리핀에서	필리핀/NNP+에서/JKB
열리는	열리/VV+는/ETM
아시아·유럽정상회의에	아시아/NNP+·/SP+유럽정상회의/NNP+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
