# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.352
metadata : {}


# id : NWRW1800000025.352.1.1
서울, 홈 불패 행진 이어갈까… 제주, 마지막 반전 보여줄까

서울,	서울/NNP+,/SP
홈	홈/NNG
불패	불패/NNG
행진	행진/NNG
이어갈까…	잇/VV+어/EC+가/VX+ㄹ까/EF+…/SE
제주,	제주/NNP+,/SP
마지막	마지막/NNG
반전	반전/NNG
보여줄까	보이/VV+어/EC+주/VX+ㄹ까/EF


# id : NWRW1800000025.352.2.1
정규리그 2위 제주 유나이티드와 1위 FC 서울이 1일 제주의 홈에서 맞붙은 프로축구 챔피언결정 1차전 결과는 흥미로웠다.

정규리그	정규/NNG+리그/NNG
2위	2/SN+위/NNB
제주	제주/NNP
유나이티드와	유나이티드/NNP+와/JC
1위	1/SN+위/NNB
FC	FC/SL
서울이	서울/NNP+이/JKS
1일	1/SN+일/NNB
제주의	제주/NNP+의/JKG
홈에서	홈/NNG+에서/JKB
맞붙은	맞붙/VV+은/ETM
프로축구	프로/NNG+축구/NNG
챔피언결정	챔피언/NNG+결정/NNG
1차전	1/SN+차전/NNB
결과는	결과/NNG+는/JX
흥미로웠다.	흥미/NNG+롭/XSA+었/EP+다/EF+./SF


# id : NWRW1800000025.352.2.2
제주는 올해 K리그 15개 구단 중 유일하게 홈 무패의 기록을 갖고 있었고 한편으론 서울 상대로 2006년부터 홈에서 한 번도 이기지 못한 징크스가 있었는데 제주가 2-0으로 앞서다 후반 두 골을 허용해 2-2로 비기는 바람에 결과적으로 제주의 홈 무패 기록과 서울 상대 홈 무승 징크스 모두 유지됐다.

제주는	제주/NNP+는/JX
올해	올해/NNG
K리그	K리그/NNP
15개	15/SN+개/NNB
구단	구단/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
홈	홈/NNG
무패의	무패/NNG+의/JKG
기록을	기록/NNG+을/JKO
갖고	갖/VV+고/EC
있었고	있/VX+었/EP+고/EC
한편으론	한편/NNG+으로/JKB+ㄴ/JX
서울	서울/NNP
상대로	상대/NNG+로/JKB
2006년부터	2006/SN+년/NNB+부터/JX
홈에서	홈/NNG+에서/JKB
한	한/MMN
번도	번/NNB+도/JX
이기지	이기/VV+지/EC
못한	못하/VX+ㄴ/ETM
징크스가	징크스/NNG+가/JKS
있었는데	있/VA+었/EP+는데/EC
제주가	제주/NNP+가/JKS
2-0으로	2/SN+-/SO+0/SN+으로/JKB
앞서다	앞서/VV+다/EC
후반	후반/NNG
두	두/MMN
골을	골/NNG+을/JKO
허용해	허용/NNG+하/XSV+아/EC
2-2로	2/SN+-/SO+2/SN+로/JKB
비기는	비기/VV+는/ETM
바람에	바람/NNB+에/JKB
결과적으로	결과/NNG+적/XSN+으로/JKB
제주의	제주/NNP+의/JKG
무패	무패/NNG
기록과	기록/NNG+과/JC
상대	상대/NNG
무승	무/XPN+승/NNG
징크스	징크스/NNG
모두	모두/MAG
유지됐다.	유지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.352.3.1
두 팀은 5일 오후 2시 서울월드컵경기장으로 옮겨 마지막 일전을 벌인다.

두	두/MMN
팀은	팀/NNG+은/JX
5일	5/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
서울월드컵경기장으로	서울월드컵경기장/NNP+으로/JKB
옮겨	옮기/VV+어/EC
마지막	마지막/NNG
일전을	일전/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.352.3.2
무승부 없는 끝장 승부.

무승부	무/XPN+승부/NNG
없는	없/VA+는/ETM
끝장	끝장/NNG
승부.	승부/NNG+./SF


# id : NWRW1800000025.352.3.3
승리의 여신은 어느 팀에 미소 지을까.

승리의	승리/NNG+의/JKG
여신은	여신/NNG+은/JX
어느	어느/MMD
팀에	팀/NNG+에/JKB
미소	미소/NNG
지을까.	짓/VV+을까/EF+./SF


# id : NWRW1800000025.352.3.4
해답은 심리적인 부분에 있다.

해답은	해답/NNG+은/JX
심리적인	심리/NNG+적/XSN+이/VCP+ㄴ/ETM
부분에	부분/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.352.4.1
○ 심리적 관성, 깨거나 지키거나

○	○/SW
심리적	심리/NNG+적/XSN
관성,	관성/NNG+,/SP
깨거나	깨/VV+거나/EC
지키거나	지키/VV+거나/EC


# id : NWRW1800000025.352.5.1
관성의 법칙은 물리에만 있는 게 아니라 연속 기록에도 작용한다.

